CREATIVE_ID,CAMPAIGN_ID,HERO_TITLE_ID,FORMAT,VARIANT,CREATIVE_CODE
37,102,,VIDEO_30S,FEATURE_CUT,CR-102-VIDEO_30S-FEATURE_CUT
38,102,,VIDEO_30S,HERO_A,CR-102-VIDEO_30S-HERO_A
39,102,,VIDEO_30S,HERO_B,CR-102-VIDEO_30S-HERO_B
40,102,,VIDEO_30S,SOCIAL_CUT,CR-102-VIDEO_30S-SOCIAL_CUT
41,103,,CAROUSEL,FEATURE_CUT,CR-103-CAROUSEL-FEATURE_CUT
42,103,,CAROUSEL,HERO_A,CR-103-CAROUSEL-HERO_A
43,103,,CAROUSEL,HERO_B,CR-103-CAROUSEL-HERO_B
44,103,,CAROUSEL,SOCIAL_CUT,CR-103-CAROUSEL-SOCIAL_CUT
45,103,,STATIC,FEATURE_CUT,CR-103-STATIC-FEATURE_CUT
46,103,,STATIC,HERO_A,CR-103-STATIC-HERO_A
47,103,,STATIC,HERO_B,CR-103-STATIC-HERO_B
48,103,,STATIC,SOCIAL_CUT,CR-103-STATIC-SOCIAL_CUT
49,103,,VIDEO_06S,FEATURE_CUT,CR-103-VIDEO_06S-FEATURE_CUT
50,103,,VIDEO_06S,HERO_A,CR-103-VIDEO_06S-HERO_A
51,103,,VIDEO_06S,HERO_B,CR-103-VIDEO_06S-HERO_B
52,103,,VIDEO_06S,SOCIAL_CUT,CR-103-VIDEO_06S-SOCIAL_CUT
53,103,,VIDEO_15S,FEATURE_CUT,CR-103-VIDEO_15S-FEATURE_CUT
54,103,,VIDEO_15S,HERO_A,CR-103-VIDEO_15S-HERO_A
55,103,,VIDEO_15S,HERO_B,CR-103-VIDEO_15S-HERO_B
56,103,,VIDEO_15S,SOCIAL_CUT,CR-103-VIDEO_15S-SOCIAL_CUT
57,103,,VIDEO_30S,FEATURE_CUT,CR-103-VIDEO_30S-FEATURE_CUT
58,103,,VIDEO_30S,HERO_A,CR-103-VIDEO_30S-HERO_A
59,103,,VIDEO_30S,HERO_B,CR-103-VIDEO_30S-HERO_B
60,103,,VIDEO_30S,SOCIAL_CUT,CR-103-VIDEO_30S-SOCIAL_CUT
61,104,2,CAROUSEL,FEATURE_CUT,CR-104-CAROUSEL-FEATURE_CUT
62,104,2,CAROUSEL,HERO_A,CR-104-CAROUSEL-HERO_A
63,104,2,CAROUSEL,HERO_B,CR-104-CAROUSEL-HERO_B
64,104,2,CAROUSEL,SOCIAL_CUT,CR-104-CAROUSEL-SOCIAL_CUT
65,104,2,STATIC,FEATURE_CUT,CR-104-STATIC-FEATURE_CUT
66,104,2,STATIC,HERO_A,CR-104-STATIC-HERO_A
67,104,2,STATIC,HERO_B,CR-104-STATIC-HERO_B
68,104,2,STATIC,SOCIAL_CUT,CR-104-STATIC-SOCIAL_CUT
69,104,2,VIDEO_06S,FEATURE_CUT,CR-104-VIDEO_06S-FEATURE_CUT
70,104,2,VIDEO_06S,HERO_A,CR-104-VIDEO_06S-HERO_A
71,104,2,VIDEO_06S,HERO_B,CR-104-VIDEO_06S-HERO_B
72,104,2,VIDEO_06S,SOCIAL_CUT,CR-104-VIDEO_06S-SOCIAL_CUT
73,104,2,VIDEO_15S,FEATURE_CUT,CR-104-VIDEO_15S-FEATURE_CUT
74,104,2,VIDEO_15S,HERO_A,CR-104-VIDEO_15S-HERO_A
75,104,2,VIDEO_15S,HERO_B,CR-104-VIDEO_15S-HERO_B
76,104,2,VIDEO_15S,SOCIAL_CUT,CR-104-VIDEO_15S-SOCIAL_CUT
77,104,2,VIDEO_30S,FEATURE_CUT,CR-104-VIDEO_30S-FEATURE_CUT
78,104,2,VIDEO_30S,HERO_A,CR-104-VIDEO_30S-HERO_A
79,104,2,VIDEO_30S,HERO_B,CR-104-VIDEO_30S-HERO_B
80,104,2,VIDEO_30S,SOCIAL_CUT,CR-104-VIDEO_30S-SOCIAL_CUT
81,105,1,CAROUSEL,FEATURE_CUT,CR-105-CAROUSEL-FEATURE_CUT
82,105,1,CAROUSEL,HERO_A,CR-105-CAROUSEL-HERO_A
83,105,1,CAROUSEL,HERO_B,CR-105-CAROUSEL-HERO_B
84,105,1,CAROUSEL,SOCIAL_CUT,CR-105-CAROUSEL-SOCIAL_CUT
85,105,1,STATIC,FEATURE_CUT,CR-105-STATIC-FEATURE_CUT
86,105,1,STATIC,HERO_A,CR-105-STATIC-HERO_A
87,105,1,STATIC,HERO_B,CR-105-STATIC-HERO_B
88,105,1,STATIC,SOCIAL_CUT,CR-105-STATIC-SOCIAL_CUT
89,105,1,VIDEO_06S,FEATURE_CUT,CR-105-VIDEO_06S-FEATURE_CUT
90,105,1,VIDEO_06S,HERO_A,CR-105-VIDEO_06S-HERO_A
91,105,1,VIDEO_06S,HERO_B,CR-105-VIDEO_06S-HERO_B
92,105,1,VIDEO_06S,SOCIAL_CUT,CR-105-VIDEO_06S-SOCIAL_CUT
93,105,1,VIDEO_15S,FEATURE_CUT,CR-105-VIDEO_15S-FEATURE_CUT
94,105,1,VIDEO_15S,HERO_A,CR-105-VIDEO_15S-HERO_A
95,105,1,VIDEO_15S,HERO_B,CR-105-VIDEO_15S-HERO_B
96,105,1,VIDEO_15S,SOCIAL_CUT,CR-105-VIDEO_15S-SOCIAL_CUT
97,105,1,VIDEO_30S,FEATURE_CUT,CR-105-VIDEO_30S-FEATURE_CUT
98,105,1,VIDEO_30S,HERO_A,CR-105-VIDEO_30S-HERO_A
99,105,1,VIDEO_30S,HERO_B,CR-105-VIDEO_30S-HERO_B
100,105,1,VIDEO_30S,SOCIAL_CUT,CR-105-VIDEO_30S-SOCIAL_CUT
101,106,10,CAROUSEL,FEATURE_CUT,CR-106-CAROUSEL-FEATURE_CUT
102,106,10,CAROUSEL,HERO_A,CR-106-CAROUSEL-HERO_A
103,106,10,CAROUSEL,HERO_B,CR-106-CAROUSEL-HERO_B
104,106,10,CAROUSEL,SOCIAL_CUT,CR-106-CAROUSEL-SOCIAL_CUT
105,106,10,STATIC,FEATURE_CUT,CR-106-STATIC-FEATURE_CUT
106,106,10,STATIC,HERO_A,CR-106-STATIC-HERO_A
107,106,10,STATIC,HERO_B,CR-106-STATIC-HERO_B
108,106,10,STATIC,SOCIAL_CUT,CR-106-STATIC-SOCIAL_CUT
109,106,10,VIDEO_06S,FEATURE_CUT,CR-106-VIDEO_06S-FEATURE_CUT
110,106,10,VIDEO_06S,HERO_A,CR-106-VIDEO_06S-HERO_A
111,106,10,VIDEO_06S,HERO_B,CR-106-VIDEO_06S-HERO_B
112,106,10,VIDEO_06S,SOCIAL_CUT,CR-106-VIDEO_06S-SOCIAL_CUT
113,106,10,VIDEO_15S,FEATURE_CUT,CR-106-VIDEO_15S-FEATURE_CUT
114,106,10,VIDEO_15S,HERO_A,CR-106-VIDEO_15S-HERO_A
115,106,10,VIDEO_15S,HERO_B,CR-106-VIDEO_15S-HERO_B
116,106,10,VIDEO_15S,SOCIAL_CUT,CR-106-VIDEO_15S-SOCIAL_CUT
117,106,10,VIDEO_30S,FEATURE_CUT,CR-106-VIDEO_30S-FEATURE_CUT
118,106,10,VIDEO_30S,HERO_A,CR-106-VIDEO_30S-HERO_A
119,106,10,VIDEO_30S,HERO_B,CR-106-VIDEO_30S-HERO_B
120,106,10,VIDEO_30S,SOCIAL_CUT,CR-106-VIDEO_30S-SOCIAL_CUT
121,107,,CAROUSEL,FEATURE_CUT,CR-107-CAROUSEL-FEATURE_CUT
122,107,,CAROUSEL,HERO_A,CR-107-CAROUSEL-HERO_A
123,107,,CAROUSEL,HERO_B,CR-107-CAROUSEL-HERO_B
124,107,,CAROUSEL,SOCIAL_CUT,CR-107-CAROUSEL-SOCIAL_CUT
125,107,,STATIC,FEATURE_CUT,CR-107-STATIC-FEATURE_CUT
126,107,,STATIC,HERO_A,CR-107-STATIC-HERO_A
127,107,,STATIC,HERO_B,CR-107-STATIC-HERO_B
128,107,,STATIC,SOCIAL_CUT,CR-107-STATIC-SOCIAL_CUT
129,107,,VIDEO_06S,FEATURE_CUT,CR-107-VIDEO_06S-FEATURE_CUT
130,107,,VIDEO_06S,HERO_A,CR-107-VIDEO_06S-HERO_A
131,107,,VIDEO_06S,HERO_B,CR-107-VIDEO_06S-HERO_B
132,107,,VIDEO_06S,SOCIAL_CUT,CR-107-VIDEO_06S-SOCIAL_CUT
133,107,,VIDEO_15S,FEATURE_CUT,CR-107-VIDEO_15S-FEATURE_CUT
134,107,,VIDEO_15S,HERO_A,CR-107-VIDEO_15S-HERO_A
135,107,,VIDEO_15S,HERO_B,CR-107-VIDEO_15S-HERO_B
136,107,,VIDEO_15S,SOCIAL_CUT,CR-107-VIDEO_15S-SOCIAL_CUT
137,107,,VIDEO_30S,FEATURE_CUT,CR-107-VIDEO_30S-FEATURE_CUT
138,107,,VIDEO_30S,HERO_A,CR-107-VIDEO_30S-HERO_A
139,107,,VIDEO_30S,HERO_B,CR-107-VIDEO_30S-HERO_B
140,107,,VIDEO_30S,SOCIAL_CUT,CR-107-VIDEO_30S-SOCIAL_CUT
141,108,,CAROUSEL,FEATURE_CUT,CR-108-CAROUSEL-FEATURE_CUT
142,108,,CAROUSEL,HERO_A,CR-108-CAROUSEL-HERO_A
143,108,,CAROUSEL,HERO_B,CR-108-CAROUSEL-HERO_B
144,108,,CAROUSEL,SOCIAL_CUT,CR-108-CAROUSEL-SOCIAL_CUT
145,108,,STATIC,FEATURE_CUT,CR-108-STATIC-FEATURE_CUT
146,108,,STATIC,HERO_A,CR-108-STATIC-HERO_A
147,108,,STATIC,HERO_B,CR-108-STATIC-HERO_B
148,108,,STATIC,SOCIAL_CUT,CR-108-STATIC-SOCIAL_CUT
149,108,,VIDEO_06S,FEATURE_CUT,CR-108-VIDEO_06S-FEATURE_CUT
150,108,,VIDEO_06S,HERO_A,CR-108-VIDEO_06S-HERO_A
151,108,,VIDEO_06S,HERO_B,CR-108-VIDEO_06S-HERO_B
152,108,,VIDEO_06S,SOCIAL_CUT,CR-108-VIDEO_06S-SOCIAL_CUT
153,108,,VIDEO_15S,FEATURE_CUT,CR-108-VIDEO_15S-FEATURE_CUT
154,108,,VIDEO_15S,HERO_A,CR-108-VIDEO_15S-HERO_A
155,108,,VIDEO_15S,HERO_B,CR-108-VIDEO_15S-HERO_B
156,108,,VIDEO_15S,SOCIAL_CUT,CR-108-VIDEO_15S-SOCIAL_CUT
157,108,,VIDEO_30S,FEATURE_CUT,CR-108-VIDEO_30S-FEATURE_CUT
158,108,,VIDEO_30S,HERO_A,CR-108-VIDEO_30S-HERO_A
159,108,,VIDEO_30S,HERO_B,CR-108-VIDEO_30S-HERO_B
160,108,,VIDEO_30S,SOCIAL_CUT,CR-108-VIDEO_30S-SOCIAL_CUT
161,109,8,CAROUSEL,FEATURE_CUT,CR-109-CAROUSEL-FEATURE_CUT
162,109,8,CAROUSEL,HERO_A,CR-109-CAROUSEL-HERO_A
163,109,8,CAROUSEL,HERO_B,CR-109-CAROUSEL-HERO_B
164,109,8,CAROUSEL,SOCIAL_CUT,CR-109-CAROUSEL-SOCIAL_CUT
165,109,8,STATIC,FEATURE_CUT,CR-109-STATIC-FEATURE_CUT
166,109,8,STATIC,HERO_A,CR-109-STATIC-HERO_A
167,109,8,STATIC,HERO_B,CR-109-STATIC-HERO_B
168,109,8,STATIC,SOCIAL_CUT,CR-109-STATIC-SOCIAL_CUT
169,109,8,VIDEO_06S,FEATURE_CUT,CR-109-VIDEO_06S-FEATURE_CUT
170,109,8,VIDEO_06S,HERO_A,CR-109-VIDEO_06S-HERO_A
171,109,8,VIDEO_06S,HERO_B,CR-109-VIDEO_06S-HERO_B
172,109,8,VIDEO_06S,SOCIAL_CUT,CR-109-VIDEO_06S-SOCIAL_CUT
173,109,8,VIDEO_15S,FEATURE_CUT,CR-109-VIDEO_15S-FEATURE_CUT
174,109,8,VIDEO_15S,HERO_A,CR-109-VIDEO_15S-HERO_A
175,109,8,VIDEO_15S,HERO_B,CR-109-VIDEO_15S-HERO_B
176,109,8,VIDEO_15S,SOCIAL_CUT,CR-109-VIDEO_15S-SOCIAL_CUT
177,109,8,VIDEO_30S,FEATURE_CUT,CR-109-VIDEO_30S-FEATURE_CUT
178,109,8,VIDEO_30S,HERO_A,CR-109-VIDEO_30S-HERO_A
179,109,8,VIDEO_30S,HERO_B,CR-109-VIDEO_30S-HERO_B
180,109,8,VIDEO_30S,SOCIAL_CUT,CR-109-VIDEO_30S-SOCIAL_CUT
181,110,,CAROUSEL,FEATURE_CUT,CR-110-CAROUSEL-FEATURE_CUT
182,110,,CAROUSEL,HERO_A,CR-110-CAROUSEL-HERO_A
183,110,,CAROUSEL,HERO_B,CR-110-CAROUSEL-HERO_B
184,110,,CAROUSEL,SOCIAL_CUT,CR-110-CAROUSEL-SOCIAL_CUT
185,110,,STATIC,FEATURE_CUT,CR-110-STATIC-FEATURE_CUT
186,110,,STATIC,HERO_A,CR-110-STATIC-HERO_A
187,110,,STATIC,HERO_B,CR-110-STATIC-HERO_B
188,110,,STATIC,SOCIAL_CUT,CR-110-STATIC-SOCIAL_CUT
189,110,,VIDEO_06S,FEATURE_CUT,CR-110-VIDEO_06S-FEATURE_CUT
190,110,,VIDEO_06S,HERO_A,CR-110-VIDEO_06S-HERO_A
191,110,,VIDEO_06S,HERO_B,CR-110-VIDEO_06S-HERO_B
192,110,,VIDEO_06S,SOCIAL_CUT,CR-110-VIDEO_06S-SOCIAL_CUT
193,110,,VIDEO_15S,FEATURE_CUT,CR-110-VIDEO_15S-FEATURE_CUT
194,110,,VIDEO_15S,HERO_A,CR-110-VIDEO_15S-HERO_A
195,110,,VIDEO_15S,HERO_B,CR-110-VIDEO_15S-HERO_B
196,110,,VIDEO_15S,SOCIAL_CUT,CR-110-VIDEO_15S-SOCIAL_CUT
197,110,,VIDEO_30S,FEATURE_CUT,CR-110-VIDEO_30S-FEATURE_CUT
198,110,,VIDEO_30S,HERO_A,CR-110-VIDEO_30S-HERO_A
199,110,,VIDEO_30S,HERO_B,CR-110-VIDEO_30S-HERO_B
200,110,,VIDEO_30S,SOCIAL_CUT,CR-110-VIDEO_30S-SOCIAL_CUT
201,111,,CAROUSEL,FEATURE_CUT,CR-111-CAROUSEL-FEATURE_CUT
202,111,,CAROUSEL,HERO_A,CR-111-CAROUSEL-HERO_A
203,111,,CAROUSEL,HERO_B,CR-111-CAROUSEL-HERO_B
204,111,,CAROUSEL,SOCIAL_CUT,CR-111-CAROUSEL-SOCIAL_CUT
205,111,,STATIC,FEATURE_CUT,CR-111-STATIC-FEATURE_CUT
206,111,,STATIC,HERO_A,CR-111-STATIC-HERO_A
207,111,,STATIC,HERO_B,CR-111-STATIC-HERO_B
208,111,,STATIC,SOCIAL_CUT,CR-111-STATIC-SOCIAL_CUT
209,111,,VIDEO_06S,FEATURE_CUT,CR-111-VIDEO_06S-FEATURE_CUT
210,111,,VIDEO_06S,HERO_A,CR-111-VIDEO_06S-HERO_A
211,111,,VIDEO_06S,HERO_B,CR-111-VIDEO_06S-HERO_B
212,111,,VIDEO_06S,SOCIAL_CUT,CR-111-VIDEO_06S-SOCIAL_CUT
213,111,,VIDEO_15S,FEATURE_CUT,CR-111-VIDEO_15S-FEATURE_CUT
214,111,,VIDEO_15S,HERO_A,CR-111-VIDEO_15S-HERO_A
215,111,,VIDEO_15S,HERO_B,CR-111-VIDEO_15S-HERO_B
216,111,,VIDEO_15S,SOCIAL_CUT,CR-111-VIDEO_15S-SOCIAL_CUT
217,111,,VIDEO_30S,FEATURE_CUT,CR-111-VIDEO_30S-FEATURE_CUT
218,111,,VIDEO_30S,HERO_A,CR-111-VIDEO_30S-HERO_A
219,111,,VIDEO_30S,HERO_B,CR-111-VIDEO_30S-HERO_B
220,111,,VIDEO_30S,SOCIAL_CUT,CR-111-VIDEO_30S-SOCIAL_CUT
221,112,,CAROUSEL,FEATURE_CUT,CR-112-CAROUSEL-FEATURE_CUT
222,112,,CAROUSEL,HERO_A,CR-112-CAROUSEL-HERO_A
223,112,,CAROUSEL,HERO_B,CR-112-CAROUSEL-HERO_B
224,112,,CAROUSEL,SOCIAL_CUT,CR-112-CAROUSEL-SOCIAL_CUT
225,112,,STATIC,FEATURE_CUT,CR-112-STATIC-FEATURE_CUT
226,112,,STATIC,HERO_A,CR-112-STATIC-HERO_A
227,112,,STATIC,HERO_B,CR-112-STATIC-HERO_B
228,112,,STATIC,SOCIAL_CUT,CR-112-STATIC-SOCIAL_CUT
229,112,,VIDEO_06S,FEATURE_CUT,CR-112-VIDEO_06S-FEATURE_CUT
230,112,,VIDEO_06S,HERO_A,CR-112-VIDEO_06S-HERO_A
231,112,,VIDEO_06S,HERO_B,CR-112-VIDEO_06S-HERO_B
232,112,,VIDEO_06S,SOCIAL_CUT,CR-112-VIDEO_06S-SOCIAL_CUT
233,112,,VIDEO_15S,FEATURE_CUT,CR-112-VIDEO_15S-FEATURE_CUT
234,112,,VIDEO_15S,HERO_A,CR-112-VIDEO_15S-HERO_A
235,112,,VIDEO_15S,HERO_B,CR-112-VIDEO_15S-HERO_B
236,112,,VIDEO_15S,SOCIAL_CUT,CR-112-VIDEO_15S-SOCIAL_CUT
237,112,,VIDEO_30S,FEATURE_CUT,CR-112-VIDEO_30S-FEATURE_CUT
238,112,,VIDEO_30S,HERO_A,CR-112-VIDEO_30S-HERO_A
239,112,,VIDEO_30S,HERO_B,CR-112-VIDEO_30S-HERO_B
240,112,,VIDEO_30S,SOCIAL_CUT,CR-112-VIDEO_30S-SOCIAL_CUT
241,113,19,CAROUSEL,FEATURE_CUT,CR-113-CAROUSEL-FEATURE_CUT
242,113,19,CAROUSEL,HERO_A,CR-113-CAROUSEL-HERO_A
243,113,19,CAROUSEL,HERO_B,CR-113-CAROUSEL-HERO_B
244,113,19,CAROUSEL,SOCIAL_CUT,CR-113-CAROUSEL-SOCIAL_CUT
245,113,19,STATIC,FEATURE_CUT,CR-113-STATIC-FEATURE_CUT
246,113,19,STATIC,HERO_A,CR-113-STATIC-HERO_A
247,113,19,STATIC,HERO_B,CR-113-STATIC-HERO_B
248,113,19,STATIC,SOCIAL_CUT,CR-113-STATIC-SOCIAL_CUT
249,113,19,VIDEO_06S,FEATURE_CUT,CR-113-VIDEO_06S-FEATURE_CUT
250,113,19,VIDEO_06S,HERO_A,CR-113-VIDEO_06S-HERO_A
251,113,19,VIDEO_06S,HERO_B,CR-113-VIDEO_06S-HERO_B
252,113,19,VIDEO_06S,SOCIAL_CUT,CR-113-VIDEO_06S-SOCIAL_CUT
253,113,19,VIDEO_15S,FEATURE_CUT,CR-113-VIDEO_15S-FEATURE_CUT
254,113,19,VIDEO_15S,HERO_A,CR-113-VIDEO_15S-HERO_A
255,113,19,VIDEO_15S,HERO_B,CR-113-VIDEO_15S-HERO_B
256,113,19,VIDEO_15S,SOCIAL_CUT,CR-113-VIDEO_15S-SOCIAL_CUT
257,113,19,VIDEO_30S,FEATURE_CUT,CR-113-VIDEO_30S-FEATURE_CUT
258,113,19,VIDEO_30S,HERO_A,CR-113-VIDEO_30S-HERO_A
259,113,19,VIDEO_30S,HERO_B,CR-113-VIDEO_30S-HERO_B
260,113,19,VIDEO_30S,SOCIAL_CUT,CR-113-VIDEO_30S-SOCIAL_CUT
261,114,30,CAROUSEL,FEATURE_CUT,CR-114-CAROUSEL-FEATURE_CUT
262,114,30,CAROUSEL,HERO_A,CR-114-CAROUSEL-HERO_A
263,114,30,CAROUSEL,HERO_B,CR-114-CAROUSEL-HERO_B
264,114,30,CAROUSEL,SOCIAL_CUT,CR-114-CAROUSEL-SOCIAL_CUT
265,114,30,STATIC,FEATURE_CUT,CR-114-STATIC-FEATURE_CUT
266,114,30,STATIC,HERO_A,CR-114-STATIC-HERO_A
267,114,30,STATIC,HERO_B,CR-114-STATIC-HERO_B
268,114,30,STATIC,SOCIAL_CUT,CR-114-STATIC-SOCIAL_CUT
269,114,30,VIDEO_06S,FEATURE_CUT,CR-114-VIDEO_06S-FEATURE_CUT
270,114,30,VIDEO_06S,HERO_A,CR-114-VIDEO_06S-HERO_A
271,114,30,VIDEO_06S,HERO_B,CR-114-VIDEO_06S-HERO_B
272,114,30,VIDEO_06S,SOCIAL_CUT,CR-114-VIDEO_06S-SOCIAL_CUT
273,114,30,VIDEO_15S,FEATURE_CUT,CR-114-VIDEO_15S-FEATURE_CUT
274,114,30,VIDEO_15S,HERO_A,CR-114-VIDEO_15S-HERO_A
275,114,30,VIDEO_15S,HERO_B,CR-114-VIDEO_15S-HERO_B
276,114,30,VIDEO_15S,SOCIAL_CUT,CR-114-VIDEO_15S-SOCIAL_CUT
277,114,30,VIDEO_30S,FEATURE_CUT,CR-114-VIDEO_30S-FEATURE_CUT
278,114,30,VIDEO_30S,HERO_A,CR-114-VIDEO_30S-HERO_A
279,114,30,VIDEO_30S,HERO_B,CR-114-VIDEO_30S-HERO_B
280,114,30,VIDEO_30S,SOCIAL_CUT,CR-114-VIDEO_30S-SOCIAL_CUT
