DATE_DAY,CHANNEL_ID,POST_ID,CAMPAIGN_ID,TITLE_ID,POST_TYPE,IMPRESSIONS,REACH,LIKES,COMMENTS,SHARES,SAVES,VIDEO_VIEWS,AVG_WATCH_SEC,FOLLOWS_ATTRIBUTED,LINK_CLICKS
2025-11-07,18,52,107,,YT_LONG,596970,240000,8176,9597,1278,2394,0,274,2070,4080
2025-11-07,18,53,107,,YT_TRAILER,4599000,2011800,66300,1162,16660,10764,2272600,66,2612,20615
2025-11-07,18,54,109,8,BLOG_DEV_DIARY,80597,148500,6320,2009,824,2598,0,0,386,787
2025-11-07,18,55,109,8,YT_LONG,860220,268200,3776,3358,1110,1703,0,271,1165,4845
2025-11-07,18,56,105,1,YT_TRAILER,3091500,1789200,30430,1415,22344,16146,1124200,59,2936,38045
2025-11-07,18,57,104,2,IG_POST,425376,189000,15606,992,1472,4351,0,0,677,1268
2025-11-07,19,58,109,8,YT_TRAILER,2020500,1117200,94520,1841,25060,11988,1324400,76,4036,33740
2025-11-07,19,59,108,,BLOG_DEV_DIARY,113587,173700,3032,1588,1565,1115,0,0,446,1207
2025-11-07,19,60,109,8,IG_STORY,658008,260400,3304,684,615,2523,0,0,366,4628
2025-11-07,19,61,108,,YT_LONG,646380,162600,8928,7880,1103,2101,0,386,1355,4947
2025-11-07,19,62,101,,YT_TRAILER,3019500,1974000,62220,957,10976,8136,2013000,60,1760,24150
2025-11-07,19,63,105,1,BLOG_POST,69084,284700,8024,530,780,2510,0,0,788,21516
2025-11-07,19,64,104,2,IG_STORY,490464,169800,2824,2004,1127,2251,0,0,860,3910
2025-11-07,19,65,108,,IG_POST,285264,275400,8640,2380,588,5719,0,0,816,396
2025-11-07,19,66,105,1,TT_TRENDING,3263400,2027200,88020,5892,44100,2319,3442300,12,6338,703
2025-11-07,20,67,104,2,YT_TRAILER,4437000,972300,37825,2429,31080,20808,2444200,62,1672,41860
2025-11-07,20,68,105,1,BLOG_DEV_DIARY,72349,244500,3176,964,1241,2253,0,0,651,377
2025-11-07,20,69,107,,YT_LONG,526500,297900,5760,7021,1634,900,0,270,1120,3774
2025-11-07,20,70,101,,YT_TRAILER,3343500,1806000,72675,1947,21616,14904,1181400,66,2520,30520
2025-11-07,20,71,109,8,TT_VIDEO,1434240,124200,113715,1709,806,2079,305760,17,311,388
2025-11-07,20,72,108,,TT_VIDEO,1242000,290700,82935,2493,792,2112,994700,20,875,1391
2025-11-07,20,73,108,,YT_SHORT,712800,138900,44825,1452,1317,1692,871500,25,758,670
2025-11-07,20,74,109,8,YT_TRAILER,4162500,1572900,86700,1989,17752,17928,2362800,77,3007,15050
2025-11-07,20,75,104,2,IG_STORY,795600,146700,4144,1621,1313,2614,0,0,961,4754
2025-11-08,12,76,101,,BLOG_DEV_DIARY,53650,254700,6480,1302,1314,1190,0,0,963,996
2025-11-08,12,77,105,1,IG_REEL,657150,212700,42840,1698,12012,1140,580840,14,751,728
2025-11-08,12,78,108,,IG_POST,147560,232200,10008,1745,908,5871,0,0,366,619
2025-11-08,18,79,105,1,TT_VIDEO,1226400,294000,62225,1980,1245,1239,547820,16,302,1032
2025-11-08,18,80,107,,IG_POST,199640,150300,13950,1976,1151,6033,0,0,299,832
2025-11-08,19,81,109,8,IG_REEL,477100,184500,29274,2031,4296,2464,582920,13,798,1302
2025-11-08,19,82,108,,BLOG_DEV_DIARY,63684,154200,7008,1956,1370,1703,0,0,498,1261
2025-11-08,19,83,105,1,YT_SHORT,844200,259200,44770,2559,806,2090,518250,22,847,1226
2025-11-08,19,84,105,1,TT_VIDEO,1038000,185400,33440,2545,1271,812,714420,17,724,473
2025-11-08,19,85,109,8,YT_SHORT,405900,263400,32065,931,869,2022,727500,21,909,846
2025-11-08,20,86,108,,IG_REEL,358150,224400,13524,1419,13788,865,205400,12,453,600
2025-11-08,20,87,105,1,YT_TRAILER,2750000,2028600,52870,1419,21728,7542,752400,94,2365,30695
2025-11-09,12,88,105,1,YT_SHORT,522900,141000,51590,1113,915,2530,865500,28,524,827
2025-11-09,12,89,101,,BLOG_POST,75905,194400,6408,539,1518,2354,0,0,507,14806
2025-11-09,18,90,109,8,IG_POST,302120,178800,11142,2306,1221,6745,0,0,860,803
2025-11-09,18,91,107,,IG_REEL,423150,243900,47628,845,13584,2629,226200,15,966,440
2025-11-09,18,92,104,2,IG_STORY,288080,170700,2600,821,993,1467,0,0,615,2772
2025-11-09,18,93,107,,YT_LONG,415800,164700,2688,9495,660,1654,0,376,691,5066
2025-11-09,19,94,105,1,IG_STORY,425360,146400,9048,970,1653,2279,0,0,888,4288
2025-11-09,20,95,105,1,IG_REEL,566800,141900,33810,1307,9456,2369,217880,16,725,491
2025-11-10,12,96,108,,IG_REEL,655850,199200,34188,700,11376,1085,551200,11,558,438
2025-11-10,12,97,109,8,YT_TRAILER,1300000,846300,36550,2284,9240,7020,2235200,78,3410,13825
2025-11-10,12,98,107,,YT_TRAILER,1762500,1062600,95285,1932,21896,13932,1179200,74,4444,20195
2025-11-10,12,99,108,,YT_LONG,306450,181200,6424,6826,689,2475,0,257,1894,10115
2025-11-10,12,100,103,,BLOG_POST,64790,132900,8576,286,1572,1577,0,0,979,19932
2025-11-10,12,101,108,,BLOG_DEV_DIARY,36366,144600,4184,1432,1209,1199,0,0,319,908
2025-11-10,18,102,101,,TT_VIDEO,546000,187500,72200,1819,1592,1151,1020180,20,587,1130
2025-11-10,19,103,109,8,YT_TRAILER,1220000,1119300,55165,1269,30324,5868,1977800,83,3448,16695
2025-11-10,19,104,105,1,BLOG_DEV_DIARY,32886,194100,8920,671,1176,1747,0,0,452,1402
2025-11-10,19,105,108,,IG_STORY,412360,187200,2656,1918,1154,1650,0,0,756,2407
2025-11-10,19,106,101,,YT_TRAILER,1707500,2022300,69360,678,24388,18594,2222000,85,2264,16940
2025-11-10,19,107,104,2,YT_LONG,226800,294600,5760,10200,1521,1278,0,264,2106,5024
2025-11-10,20,108,103,,YT_LONG,408150,258000,2904,7183,615,2246,0,318,616,7514
2025-11-10,20,109,105,1,YT_TRAILER,1400000,1316700,64090,2541,28112,8118,1595000,91,3007,15120
2025-11-10,20,110,109,8,IG_REEL,605800,193200,33642,1135,4776,1016,227760,12,679,1199
2025-11-11,12,111,108,,BLOG_POST,88255,163800,3128,531,1376,814,0,0,672,11858
2025-11-11,12,112,103,,YT_LONG,415800,189600,7040,5398,1067,1340,0,273,1642,3426
2025-11-11,18,113,109,8,TT_VIDEO,1108800,146100,55385,1104,1145,2431,1125040,18,886,1312
2025-11-11,18,114,103,,IG_POST,178920,219900,10512,1190,1539,11220,0,0,756,1268
2025-11-11,18,115,107,,BLOG_POST,100510,129600,8896,485,1745,711,0,0,439,20856
2025-11-11,18,116,107,,BLOG_DEV_DIARY,26680,205500,7288,2277,543,904,0,0,660,708
2025-11-11,18,117,104,2,BLOG_DEV_DIARY,54752,234000,9408,1824,1353,2598,0,0,819,864
2025-11-11,19,118,109,8,IG_STORY,258440,175200,6136,1085,626,748,0,0,983,2797
2025-11-11,19,119,101,,YT_TRAILER,1565000,1883700,102000,1903,15904,19548,1568600,66,4288,16170
2025-11-11,19,120,107,,YT_TRAILER,1635000,2013900,25500,2251,30520,6336,2519000,80,4276,29715
2025-11-11,19,121,109,8,TT_VIDEO,633600,157500,70015,2548,458,1208,749700,18,1000,958
2025-11-11,19,122,101,,TT_TRENDING,2086000,1696800,127080,9780,25830,2105,2882600,9,5168,1393
2025-11-11,20,123,104,2,YT_LONG,277200,154200,8960,6792,579,999,0,332,1426,5882
2025-11-11,20,124,103,,BLOG_POST,97660,139200,8144,317,1019,669,0,0,538,13816
2025-11-11,20,125,101,,YT_LONG,490500,282900,6888,8806,1271,1621,0,333,1199,5738
2025-11-12,12,126,103,,BLOG_DEV_DIARY,50576,291600,4664,794,515,1056,0,0,969,980
2025-11-12,12,127,105,1,BLOG_DEV_DIARY,53302,282300,9168,2385,860,2328,0,0,685,894
2025-11-12,12,128,107,,YT_LONG,209250,157500,8928,4012,576,1280,0,406,1076,8696
2025-11-12,12,129,109,8,TT_TRENDING,3654000,2329600,150300,9744,30555,1857,2665100,13,5915,389
2025-11-12,12,130,104,2,YT_SHORT,845100,166200,50435,675,810,2013,552750,28,363,851
2025-11-12,18,131,103,,BLOG_DEV_DIARY,47734,236700,3336,673,456,858,0,0,741,611
2025-11-12,19,132,103,,BLOG_POST,58425,247200,5144,491,1604,2453,0,0,490,14278
2025-11-12,20,133,107,,IG_STORY,343720,126900,7312,1573,1028,946,0,0,620,4208
2025-11-13,12,134,101,,IG_STORY,360360,131700,3544,781,488,1868,0,0,558,3402
2025-11-13,12,135,105,1,BLOG_DEV_DIARY,48430,218700,4920,1740,1193,2442,0,0,263,1145
2025-11-13,18,136,103,,IG_POST,174440,195300,17046,1879,1097,9462,0,0,337,953
2025-11-13,18,137,109,8,TT_TRENDING,2891000,1240400,79380,10380,16785,724,2085100,13,3088,620
2025-11-13,18,138,101,,IG_STORY,371800,279900,7648,1533,467,849,0,0,803,3095
2025-11-13,18,139,104,2,BLOG_POST,100795,131400,7680,424,1116,689,0,0,829,17160
2025-11-13,19,140,109,8,BLOG_DEV_DIARY,44138,189000,9592,1826,1685,935,0,0,357,734
2025-11-13,19,141,104,2,BLOG_POST,96235,160800,5376,350,1251,2231,0,0,774,14476
2025-11-14,12,142,101,,YT_TRAILER,2575000,1005900,88995,2567,31416,8154,818400,59,3742,41615
2025-11-14,12,143,109,8,BLOG_POST,96900,299400,5160,256,1247,1995,0,0,609,16984
2025-11-14,18,144,103,,IG_STORY,460720,252600,2456,2110,1626,2198,0,0,388,4469
2025-11-14,18,145,105,1,IG_REEL,417300,237900,37254,1395,5388,2319,514800,12,920,532
2025-11-14,19,146,105,1,IG_POST,145880,171600,20538,2563,966,9956,0,0,1014,754
2025-11-14,19,147,107,,IG_REEL,321750,214500,41328,2609,6480,937,359320,18,694,503
2025-11-14,19,148,101,,BLOG_POST,102885,234300,7840,279,609,1476,0,0,662,23892
2025-11-14,20,149,104,2,TT_VIDEO,858000,225600,78850,737,566,970,415520,18,886,623
2025-11-14,20,150,109,8,TT_VIDEO,710400,146700,104690,2017,1587,834,734020,19,751,1279
2025-11-14,20,151,108,,TT_TRENDING,1512000,2573200,190800,4476,22410,1824,1586300,9,5200,792
2025-11-14,20,152,101,,BLOG_POST,45125,149400,9440,287,1241,2000,0,0,319,14410
2025-11-15,12,153,101,,YT_LONG,319050,148500,4272,3570,1298,1441,0,332,1382,4216
2025-11-15,18,154,105,1,YT_LONG,449100,143400,4144,7429,512,1555,0,266,547,4888
2025-11-15,18,155,105,1,IG_REEL,534300,173100,49896,1278,7920,1830,527800,14,258,830
2025-11-15,19,156,103,,YT_LONG,243900,273600,9032,5024,1511,1962,0,412,752,6656
2025-11-16,12,157,107,,BLOG_DEV_DIARY,40426,174900,7800,1943,1665,2389,0,0,280,1032
2025-11-16,18,158,109,8,YT_TRAILER,1967500,1071000,88315,750,26180,15912,706200,57,1844,17745
2025-11-16,19,159,109,8,IG_POST,217560,148500,5490,1980,1562,7553,0,0,644,1378
2025-11-16,19,160,107,,YT_SHORT,898200,255900,51810,2042,485,2136,708000,23,504,1284
2025-11-16,20,161,108,,TT_VIDEO,510000,273600,106400,1505,704,2191,404740,15,725,1069
2025-11-16,20,162,102,,IG_REEL,543400,201900,30366,1978,10944,2061,562640,11,315,1414
2025-11-17,12,163,108,,IG_REEL,684450,219900,35070,2631,13572,821,298480,13,420,864
2025-11-17,18,164,108,,IG_REEL,492050,242100,37170,1437,8760,1954,546000,15,827,774
2025-11-17,18,165,101,,TT_TRENDING,1704500,2016000,131220,6672,20430,2431,2641900,11,4641,673
2025-11-17,18,166,103,,BLOG_POST,52725,121800,4304,327,1718,1078,0,0,733,16896
2025-11-17,19,167,104,2,YT_LONG,329850,164700,7080,5712,861,2528,0,311,1449,3137
2025-11-17,19,168,103,,TT_TRENDING,3108000,2371600,98280,6744,32040,2182,1162900,9,7488,407
2025-11-17,19,169,109,8,IG_POST,246400,282300,15552,953,1641,10137,0,0,487,1094
2025-11-17,19,170,102,,TT_VIDEO,1143600,247200,37525,999,897,832,976080,15,754,461
2025-11-17,19,171,107,,YT_TRAILER,1210000,1306200,35020,1525,22596,19206,2554200,65,4662,29960
2025-11-17,20,172,109,8,IG_REEL,352950,276000,27678,2631,12720,1401,589160,17,868,520
2025-11-17,20,173,107,,YT_LONG,391500,143400,8600,2856,1391,2015,0,314,1825,7897
2025-11-17,20,174,108,,BLOG_POST,80180,177600,6120,502,1518,1096,0,0,299,7480
2025-11-17,20,175,101,,IG_REEL,271700,276900,45486,1199,4860,2528,551720,13,945,512
2025-11-18,12,176,103,,YT_SHORT,820800,280800,43780,1824,1659,2083,396750,23,691,766
2025-11-18,12,177,109,8,BLOG_DEV_DIARY,56260,145800,6552,1025,1656,1531,0,0,273,1262
2025-11-18,18,178,104,2,IG_STORY,522080,267300,5528,2609,482,680,0,0,855,4805
2025-11-18,18,179,107,,BLOG_POST,46835,144000,3848,435,1488,1188,0,0,930,25586
2025-11-18,19,180,101,,BLOG_DEV_DIARY,59682,200400,3928,1789,1715,915,0,0,678,1033
2025-11-18,19,181,107,,IG_REEL,492700,237600,22974,1432,5340,1100,559520,15,451,654
2025-11-18,20,182,103,,YT_LONG,431100,296700,5376,8152,1613,2376,0,341,1964,6698
2025-11-19,12,183,109,8,IG_STORY,431080,171300,6672,2314,1503,1720,0,0,633,4834
2025-11-19,19,184,102,,TT_TRENDING,3472000,1890000,131220,12480,32040,1063,2583900,10,7449,614
2025-11-19,19,185,102,,YT_LONG,346050,180000,3936,9469,1208,1797,0,359,1348,3774
2025-11-19,19,186,102,,IG_POST,173600,192900,17928,1265,683,5130,0,0,525,589
2025-11-19,19,187,103,,YT_SHORT,576000,207600,49225,1322,498,1824,422250,22,348,800
2025-11-19,20,188,107,,BLOG_POST,95855,133800,2984,530,1770,2070,0,0,995,15554
2025-11-19,20,189,105,1,YT_LONG,220050,189600,6960,5704,1799,838,0,367,1478,7778
2025-11-19,20,190,104,2,TT_TRENDING,1974000,1484000,139860,7392,26595,2031,1624000,11,3829,1118
2025-11-19,20,191,103,,TT_TRENDING,3300500,1839600,94500,13404,45945,1828,1661700,9,4212,511
2025-11-19,20,192,103,,YT_SHORT,432000,159900,38005,2585,1520,741,310500,29,818,1034
2025-11-19,20,193,103,,IG_STORY,352040,229500,7216,977,584,1813,0,0,533,1865
2025-11-20,12,194,104,2,IG_REEL,341250,155400,33432,669,4632,1753,157040,16,735,715
2025-11-20,12,195,108,,IG_POST,269920,197700,12150,1855,1025,8066,0,0,259,788
2025-11-20,12,196,105,1,TT_TRENDING,3447500,1668800,177480,9132,44820,2143,1339800,9,3107,870
2025-11-20,18,197,107,,TT_TRENDING,2947000,1584800,55620,6060,47070,2213,2578100,13,3647,1248
2025-11-20,18,198,109,8,IG_STORY,305240,129000,9000,2264,1517,986,0,0,338,2911
2025-11-20,18,199,101,,YT_LONG,312300,273300,7720,10183,1716,2607,0,291,2113,4582
2025-11-20,19,200,104,2,BLOG_DEV_DIARY,23490,280800,8584,933,1100,1320,0,0,326,875
2025-11-20,19,201,109,8,IG_REEL,646100,240300,21504,1030,6708,2125,614120,14,687,1145
2025-11-20,19,202,102,,IG_POST,164080,287100,13896,812,752,4171,0,0,258,706
2025-11-20,20,203,104,2,IG_REEL,469300,177000,24780,1175,6000,1861,333840,14,283,766
2025-11-20,20,204,101,,BLOG_DEV_DIARY,43964,162000,4392,2224,470,807,0,0,422,430
2025-11-21,12,205,103,,IG_STORY,261560,179100,9568,1998,509,2103,0,0,273,2176
2025-11-21,19,206,107,,YT_LONG,395100,172800,5256,5338,984,724,0,418,2059,9767
2025-11-21,19,207,103,,BLOG_POST,96995,156600,7568,268,702,695,0,0,360,21824
2025-11-21,19,208,104,2,IG_REEL,370500,210000,46746,1276,6420,2138,596960,11,592,1430
2025-11-21,20,209,104,2,TT_TRENDING,2642500,1178800,82080,11832,36495,1866,951200,12,6578,595
2025-11-21,20,210,103,,YT_TRAILER,1740000,1663200,84660,1657,26040,16128,1518000,79,1525,35420
2025-11-21,20,211,103,,IG_REEL,439400,181800,16884,724,4176,1274,227240,11,670,850
2025-11-22,12,212,102,,IG_REEL,343200,234600,47376,1364,4932,1617,418080,14,461,911
2025-11-22,12,213,104,2,TT_TRENDING,2835000,2343600,197640,9456,32220,840,1278900,9,2815,379
2025-11-22,12,214,102,,TT_VIDEO,604800,265200,92910,1014,1718,1203,665420,18,876,1385
2025-11-22,12,215,104,2,YT_SHORT,749700,246000,32065,1925,795,970,397500,27,462,1103
2025-11-22,12,216,102,,YT_LONG,291150,296400,6456,7693,656,1379,0,312,1879,5984
2025-11-22,18,217,108,,TT_VIDEO,738000,206100,97185,1973,1524,1701,643860,21,742,1188
2025-11-22,18,218,103,,BLOG_POST,38380,250800,8560,157,1004,1971,0,0,468,12342
2025-11-22,18,219,107,,YT_SHORT,962100,122100,25355,1166,504,977,401250,26,418,1069
2025-11-22,18,220,108,,YT_LONG,479700,263400,7216,6333,1575,1958,0,269,1593,7183
2025-11-22,18,221,105,1,IG_STORY,381680,179700,7128,812,593,1815,0,0,917,2839
2025-11-22,18,222,107,,YT_TRAILER,1665000,1493100,39100,1401,20216,5778,2171400,70,2050,35105
2025-11-22,19,223,102,,YT_SHORT,697500,275400,55935,1874,1346,2482,256500,32,945,985
2025-11-22,19,224,101,,TT_VIDEO,1192800,149400,105545,2057,999,790,1168160,18,680,1219
2025-11-22,19,225,107,,IG_POST,202720,175800,13644,1991,1286,9633,0,0,428,578
2025-11-22,20,226,104,2,YT_SHORT,699300,155400,57145,1217,822,1388,499500,31,402,534
2025-11-22,20,227,108,,TT_VIDEO,934800,141300,75240,2477,779,2431,1087800,17,466,671
2025-11-23,12,228,101,,TT_TRENDING,2240000,1856400,202860,7980,47835,1309,3047900,13,5896,773
2025-11-23,12,229,108,,BLOG_DEV_DIARY,61712,148800,3384,1756,1649,924,0,0,489,1346
2025-11-23,12,230,103,,YT_LONG,483750,201000,6736,10192,1134,1399,0,280,2090,5151
2025-11-23,18,231,105,1,IG_STORY,387920,136200,9176,1426,1607,1817,0,0,762,4796
2025-11-23,19,232,108,,TT_TRENDING,2502500,1747200,199620,12864,17550,695,1690700,10,5051,1222
2025-11-23,19,233,107,,TT_TRENDING,1505000,2626400,201060,6216,34650,1005,3285700,10,4576,757
2025-11-23,20,234,102,,TT_VIDEO,645600,189000,113430,1285,1299,1188,796740,21,564,1361
2025-11-23,20,235,109,8,IG_REEL,648700,154500,41454,1296,11760,2567,180440,13,751,565
2025-11-23,20,236,102,,IG_POST,198800,139500,15966,1212,1679,8037,0,0,932,1207
2025-11-24,12,237,101,,IG_POST,147000,133800,9558,948,1527,8351,0,0,458,1072
2025-11-24,12,238,109,8,YT_TRAILER,1885000,1787100,27795,2218,14560,19224,2169200,62,2541,12810
2025-11-24,12,239,103,,YT_TRAILER,2407500,1173900,37485,1670,26012,18918,1166000,61,2465,24360
2025-11-24,12,240,101,,BLOG_POST,75050,193500,7536,383,738,2603,0,0,422,20108
2025-11-24,12,241,103,,TT_TRENDING,1746500,1607200,193320,12660,51210,968,2592600,13,4180,407
2025-11-24,12,242,103,,BLOG_POST,76665,204900,9544,176,584,2354,0,0,373,13266
2025-11-24,12,243,103,,IG_REEL,555750,253500,31374,1316,6588,2407,380120,13,698,464
2025-11-24,18,244,103,,TT_VIDEO,597600,271200,85025,1456,1256,1157,499800,22,813,952
2025-11-24,19,245,105,1,IG_REEL,584350,161700,40110,1065,13716,2004,584480,17,448,421
2025-11-24,19,246,101,,TT_VIDEO,1296000,289200,34675,1593,903,1397,1162280,17,535,522
2025-11-24,19,247,101,,IG_STORY,476840,244500,5328,2398,1593,1104,0,0,328,3696
2025-11-24,20,248,101,,BLOG_POST,83220,196800,8656,384,669,2138,0,0,788,12958
2025-11-24,20,249,108,,BLOG_POST,95570,265500,3904,144,1074,1980,0,0,906,9614
2025-11-24,20,250,102,,IG_REEL,500500,165000,19530,1478,3732,1201,580320,14,510,414
2025-11-25,12,251,102,,YT_TRAILER,2650000,1094100,48280,1892,20776,11700,1350800,77,2507,38780
2025-11-25,12,252,102,,YT_LONG,215100,153900,6792,5976,564,2125,0,293,1418,8704
2025-11-25,12,253,105,1,IG_POST,251160,165300,7992,1344,897,11248,0,0,342,534
2025-11-25,18,254,104,2,TT_TRENDING,2523500,2791600,199620,10212,19125,678,1705200,9,3523,822
2025-11-25,18,255,103,,BLOG_DEV_DIARY,56492,211800,6384,1063,1526,2204,0,0,303,575
2025-11-25,18,256,104,2,YT_SHORT,866700,122700,26675,2301,467,2515,849000,26,632,1327
2025-11-25,18,257,108,,YT_LONG,412650,292500,5696,4896,744,1665,0,296,1499,5483
2025-11-25,18,258,103,,IG_STORY,258960,183600,4072,2449,1208,781,0,0,1014,1323
2025-11-25,20,259,103,,TT_TRENDING,2807000,1366400,205020,11760,50985,1131,3451000,9,5057,409
2025-11-25,20,260,104,2,IG_POST,123200,146400,7218,2609,1488,7420,0,0,585,1387
2025-11-25,20,261,105,1,BLOG_DEV_DIARY,46922,264000,4824,1283,1646,909,0,0,339,1177
2025-11-25,20,262,103,,BLOG_DEV_DIARY,26216,293700,9376,2244,1304,944,0,0,1000,1033
2025-11-25,20,263,101,,IG_STORY,494520,267300,5064,2160,1229,1111,0,0,336,4091
2025-11-26,12,264,108,,IG_REEL,323050,276300,13314,2394,9660,1496,567320,12,471,1379
2025-11-26,12,265,104,2,BLOG_POST,92530,245400,5808,461,1686,2581,0,0,361,13860
2025-11-26,12,266,108,,YT_LONG,247050,148200,6656,9631,1688,865,0,319,2007,3859
2025-11-26,12,267,108,,YT_SHORT,785700,277800,40865,1133,927,1751,759750,26,650,539
2025-11-26,18,268,104,2,YT_TRAILER,2102500,1100400,68340,1327,17052,17748,2321000,73,3524,21525
2025-11-26,18,269,109,8,BLOG_POST,81510,126600,6856,260,1787,2475,0,0,556,21208
2025-11-26,19,270,103,,YT_LONG,242550,157500,6656,4701,507,2473,0,420,661,2763
2025-11-26,19,271,108,,YT_SHORT,639900,276000,62315,2215,1710,825,821250,32,626,408
2025-11-26,20,272,107,,TT_VIDEO,1210800,234900,53390,2486,875,2266,557620,21,595,638
