REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,STREAMER_HANDLE,SPONSORSHIP_TYPE,AVG_CONCURRENT_VIEWERS,CHAT_MENTIONS,SPONSORSHIP_FEE_K_USD,LOADED_AT
2025-11-12,PS5 Pro Launch Global,twitch_sponsor_0101,642.33,810811,8282,streamer_partner_17,BRANDED_SEGMENT,608108,4969,0.64,2026-05-04 11:41:42.118000-07:00
2025-11-13,PS5 Pro Launch Global,twitch_sponsor_0101,536.02,810811,8942,streamer_partner_24,BRANDED_SEGMENT,608108,5365,0.54,2026-05-04 11:41:42.118000-07:00
2025-11-14,PS5 Pro Launch Global,twitch_sponsor_0101,664.61,810811,6030,streamer_partner_13,BRANDED_SEGMENT,608108,3618,0.66,2026-05-04 11:41:42.118000-07:00
2025-11-15,PS5 Pro Launch Global,twitch_sponsor_0101,922.43,932432,9936,streamer_partner_18,BRANDED_SEGMENT,699324,5962,0.92,2026-05-04 11:41:42.118000-07:00
2025-11-16,PS5 Pro Launch Global,twitch_sponsor_0101,614.96,932432,11488,streamer_partner_7,BRANDED_SEGMENT,699324,6893,0.61,2026-05-04 11:41:42.118000-07:00
2025-11-17,PS5 Pro Launch Global,twitch_sponsor_0101,590.76,810811,6575,streamer_partner_6,BRANDED_SEGMENT,608108,3945,0.59,2026-05-04 11:41:42.118000-07:00
2025-11-18,PS5 Pro Launch Global,twitch_sponsor_0101,765.83,810811,10858,streamer_partner_1,BRANDED_SEGMENT,608108,6515,0.77,2026-05-04 11:41:42.118000-07:00
2025-11-19,PS5 Pro Launch Global,twitch_sponsor_0101,506.10,810811,6524,streamer_partner_4,BRANDED_SEGMENT,608108,3914,0.51,2026-05-04 11:41:42.118000-07:00
2025-11-21,PS5 Pro Launch Global,twitch_sponsor_0101,487.00,810811,7424,streamer_partner_7,BRANDED_SEGMENT,608108,4454,0.49,2026-05-04 11:41:42.118000-07:00
2025-11-22,PS5 Pro Launch Global,twitch_sponsor_0101,874.12,932432,11171,streamer_partner_16,BRANDED_SEGMENT,699324,6703,0.87,2026-05-04 11:41:42.118000-07:00
2025-11-23,PS5 Pro Launch Global,twitch_sponsor_0101,935.61,932432,9066,streamer_partner_0,BRANDED_SEGMENT,699324,5440,0.94,2026-05-04 11:41:42.118000-07:00
2025-11-24,PS5 Pro Launch Global,twitch_sponsor_0101,649.97,810811,7675,streamer_partner_13,BRANDED_SEGMENT,608108,4605,0.65,2026-05-04 11:41:42.118000-07:00
2025-11-25,PS5 Pro Launch Global,twitch_sponsor_0101,671.61,810811,9893,streamer_partner_18,BRANDED_SEGMENT,608108,5936,0.67,2026-05-04 11:41:42.118000-07:00
2025-11-26,PS5 Pro Launch Global,twitch_sponsor_0101,489.55,810811,7914,streamer_partner_19,BRANDED_SEGMENT,608108,4748,0.49,2026-05-04 11:41:42.118000-07:00
2025-11-27,PS5 Pro Launch Global,twitch_sponsor_0101,459.63,810811,6101,streamer_partner_18,BRANDED_SEGMENT,608108,3661,0.46,2026-05-04 11:41:42.118000-07:00
2025-11-28,PS5 Pro Launch Global,twitch_sponsor_0101,1316.81,1702703,16420,streamer_partner_20,BRANDED_SEGMENT,1277027,9852,1.32,2026-05-04 11:41:42.118000-07:00
2025-11-29,PS5 Pro Launch Global,twitch_sponsor_0101,1691.13,1958108,18538,streamer_partner_20,BRANDED_SEGMENT,1468581,11123,1.69,2026-05-04 11:41:42.118000-07:00
2025-11-30,PS5 Pro Launch Global,twitch_sponsor_0101,1197.63,1958108,13986,streamer_partner_10,BRANDED_SEGMENT,1468581,8392,1.20,2026-05-04 11:41:42.118000-07:00
2025-12-01,PS5 Pro Launch Global,twitch_sponsor_0101,1346.22,1702703,12811,streamer_partner_1,BRANDED_SEGMENT,1277027,7687,1.35,2026-05-04 11:41:42.118000-07:00
2025-12-02,PS5 Pro Launch Global,twitch_sponsor_0101,1253.97,1702703,11140,streamer_partner_18,BRANDED_SEGMENT,1277027,6684,1.25,2026-05-04 11:41:42.118000-07:00
2025-12-03,PS5 Pro Launch Global,twitch_sponsor_0101,1366.27,1702703,18115,streamer_partner_15,BRANDED_SEGMENT,1277027,10869,1.37,2026-05-04 11:41:42.118000-07:00
2025-12-04,PS5 Pro Launch Global,twitch_sponsor_0101,1056.12,1702703,10276,streamer_partner_20,BRANDED_SEGMENT,1277027,6166,1.06,2026-05-04 11:41:42.118000-07:00
2025-12-05,PS5 Pro Launch Global,twitch_sponsor_0101,1249.96,1702703,12396,streamer_partner_14,BRANDED_SEGMENT,1277027,7438,1.25,2026-05-04 11:41:42.118000-07:00
2025-12-06,PS5 Pro Launch Global,twitch_sponsor_0101,1343.68,1958108,15508,streamer_partner_15,BRANDED_SEGMENT,1468581,9305,1.34,2026-05-04 11:41:42.118000-07:00
2025-12-07,PS5 Pro Launch Global,twitch_sponsor_0101,1955.56,1958108,12269,streamer_partner_2,BRANDED_SEGMENT,1468581,7361,1.96,2026-05-04 11:41:42.118000-07:00
2025-12-08,PS5 Pro Launch Global,twitch_sponsor_0101,1007.99,1702703,14984,streamer_partner_18,BRANDED_SEGMENT,1277027,8990,1.01,2026-05-04 11:41:42.118000-07:00
2025-12-09,PS5 Pro Launch Global,twitch_sponsor_0101,1139.00,1702703,17895,streamer_partner_10,BRANDED_SEGMENT,1277027,10737,1.14,2026-05-04 11:41:42.118000-07:00
2025-12-10,PS5 Pro Launch Global,twitch_sponsor_0101,1359.59,1702703,15463,streamer_partner_14,BRANDED_SEGMENT,1277027,9278,1.36,2026-05-04 11:41:42.118000-07:00
2025-12-11,PS5 Pro Launch Global,twitch_sponsor_0101,1212.53,1702703,11694,streamer_partner_8,BRANDED_SEGMENT,1277027,7016,1.21,2026-05-04 11:41:42.118000-07:00
2025-12-12,PS5 Pro Launch Global,twitch_sponsor_0101,1241.94,1702703,9497,streamer_partner_23,BRANDED_SEGMENT,1277027,5698,1.24,2026-05-04 11:41:42.118000-07:00
2025-12-13,PS5 Pro Launch Global,twitch_sponsor_0101,1977.08,1958108,19243,streamer_partner_11,BRANDED_SEGMENT,1468581,11546,1.98,2026-05-04 11:41:42.118000-07:00
2025-12-14,PS5 Pro Launch Global,twitch_sponsor_0101,1280.65,1958108,12074,streamer_partner_19,BRANDED_SEGMENT,1468581,7244,1.28,2026-05-04 11:41:42.118000-07:00
2025-12-15,PS5 Pro Launch Global,twitch_sponsor_0101,1006.66,1702703,12689,streamer_partner_17,BRANDED_SEGMENT,1277027,7613,1.01,2026-05-04 11:41:42.118000-07:00
2025-11-01,PS5 Pro Launch Global,twitch_sponsor_0101,626.67,932432,9884,streamer_partner_24,BRANDED_SEGMENT,699324,5930,0.63,2026-05-04 11:41:42.118000-07:00
2025-11-02,PS5 Pro Launch Global,twitch_sponsor_0101,778.21,932432,11285,streamer_partner_14,BRANDED_SEGMENT,699324,6771,0.78,2026-05-04 11:41:42.118000-07:00
2025-11-03,PS5 Pro Launch Global,twitch_sponsor_0101,633.42,810811,9734,streamer_partner_7,BRANDED_SEGMENT,608108,5840,0.63,2026-05-04 11:41:42.118000-07:00
2025-11-04,PS5 Pro Launch Global,twitch_sponsor_0101,775.38,810811,8784,streamer_partner_7,BRANDED_SEGMENT,608108,5270,0.78,2026-05-04 11:41:42.118000-07:00
2025-11-05,PS5 Pro Launch Global,twitch_sponsor_0101,672.25,810811,7299,streamer_partner_20,BRANDED_SEGMENT,608108,4379,0.67,2026-05-04 11:41:42.118000-07:00
2025-11-06,PS5 Pro Launch Global,twitch_sponsor_0101,674.16,810811,12143,streamer_partner_11,BRANDED_SEGMENT,608108,7286,0.67,2026-05-04 11:41:42.118000-07:00
2025-11-07,PS5 Pro Launch Global,twitch_sponsor_0101,2299.91,2594595,20501,streamer_partner_9,BRANDED_SEGMENT,1945946,12301,2.30,2026-05-04 11:41:42.118000-07:00
2025-11-08,PS5 Pro Launch Global,twitch_sponsor_0101,618.62,932432,9594,streamer_partner_20,BRANDED_SEGMENT,699324,5756,0.62,2026-05-04 11:41:42.118000-07:00
2025-11-09,PS5 Pro Launch Global,twitch_sponsor_0101,940.74,932432,12393,streamer_partner_14,BRANDED_SEGMENT,699324,7436,0.94,2026-05-04 11:41:42.118000-07:00
2025-11-10,PS5 Pro Launch Global,twitch_sponsor_0101,783.02,810811,7449,streamer_partner_2,BRANDED_SEGMENT,608108,4469,0.78,2026-05-04 11:41:42.118000-07:00
2025-11-11,PS5 Pro Launch Global,twitch_sponsor_0101,723.81,810811,11711,streamer_partner_12,BRANDED_SEGMENT,608108,7027,0.72,2026-05-04 11:41:42.118000-07:00
2025-11-12,PS5 Pro Launch Global,twitch_sponsor_0101,565.30,810811,6359,streamer_partner_17,BRANDED_SEGMENT,608108,3815,0.57,2026-05-04 11:41:42.118000-07:00
2025-11-13,PS5 Pro Launch Global,twitch_sponsor_0101,635.33,810811,6450,streamer_partner_24,BRANDED_SEGMENT,608108,3870,0.64,2026-05-04 11:41:42.118000-07:00
2025-11-14,PS5 Pro Launch Global,twitch_sponsor_0101,451.35,810811,7120,streamer_partner_13,BRANDED_SEGMENT,608108,4272,0.45,2026-05-04 11:41:42.118000-07:00
2025-11-15,PS5 Pro Launch Global,twitch_sponsor_0101,608.37,932432,12834,streamer_partner_18,BRANDED_SEGMENT,699324,7700,0.61,2026-05-04 11:41:42.118000-07:00
2025-11-16,PS5 Pro Launch Global,twitch_sponsor_0101,531.50,932432,7713,streamer_partner_7,BRANDED_SEGMENT,699324,4628,0.53,2026-05-04 11:41:42.118000-07:00
2025-11-17,PS5 Pro Launch Global,twitch_sponsor_0101,781.11,810811,6929,streamer_partner_6,BRANDED_SEGMENT,608108,4157,0.78,2026-05-04 11:41:42.118000-07:00
2025-11-18,PS5 Pro Launch Global,twitch_sponsor_0101,536.65,810811,10018,streamer_partner_1,BRANDED_SEGMENT,608108,6011,0.54,2026-05-04 11:41:42.118000-07:00
2025-11-19,PS5 Pro Launch Global,twitch_sponsor_0101,732.09,810811,6455,streamer_partner_4,BRANDED_SEGMENT,608108,3873,0.73,2026-05-04 11:41:42.118000-07:00
2025-11-21,PS5 Pro Launch Global,twitch_sponsor_0101,450.08,810811,6402,streamer_partner_7,BRANDED_SEGMENT,608108,3841,0.45,2026-05-04 11:41:42.118000-07:00
2025-11-22,PS5 Pro Launch Global,twitch_sponsor_0101,664.74,932432,9154,streamer_partner_16,BRANDED_SEGMENT,699324,5492,0.66,2026-05-04 11:41:42.118000-07:00
2025-11-23,PS5 Pro Launch Global,twitch_sponsor_0101,896.08,932432,7530,streamer_partner_0,BRANDED_SEGMENT,699324,4518,0.90,2026-05-04 11:41:42.118000-07:00
2025-11-24,PS5 Pro Launch Global,twitch_sponsor_0101,626.41,810811,8270,streamer_partner_13,BRANDED_SEGMENT,608108,4962,0.63,2026-05-04 11:41:42.118000-07:00
2025-11-25,PS5 Pro Launch Global,twitch_sponsor_0101,619.41,810811,9237,streamer_partner_18,BRANDED_SEGMENT,608108,5542,0.62,2026-05-04 11:41:42.118000-07:00
2025-11-26,PS5 Pro Launch Global,twitch_sponsor_0101,755.01,810811,9924,streamer_partner_19,BRANDED_SEGMENT,608108,5954,0.76,2026-05-04 11:41:42.118000-07:00
2025-11-27,PS5 Pro Launch Global,twitch_sponsor_0101,702.81,810811,7513,streamer_partner_18,BRANDED_SEGMENT,608108,4508,0.70,2026-05-04 11:41:42.118000-07:00
2025-11-28,PS5 Pro Launch Global,twitch_sponsor_0101,1601.56,1702703,21092,streamer_partner_20,BRANDED_SEGMENT,1277027,12655,1.60,2026-05-04 11:41:42.118000-07:00
2025-11-29,PS5 Pro Launch Global,twitch_sponsor_0101,1677.29,1958108,23400,streamer_partner_20,BRANDED_SEGMENT,1468581,14040,1.68,2026-05-04 11:41:42.118000-07:00
2025-11-30,PS5 Pro Launch Global,twitch_sponsor_0101,1692.67,1958108,12031,streamer_partner_10,BRANDED_SEGMENT,1468581,7219,1.69,2026-05-04 11:41:42.118000-07:00
2025-12-01,PS5 Pro Launch Global,twitch_sponsor_0101,1565.46,1702703,14105,streamer_partner_1,BRANDED_SEGMENT,1277027,8463,1.57,2026-05-04 11:41:42.118000-07:00
2025-12-02,PS5 Pro Launch Global,twitch_sponsor_0101,1403.70,1702703,14853,streamer_partner_18,BRANDED_SEGMENT,1277027,8912,1.40,2026-05-04 11:41:42.118000-07:00
2025-12-03,PS5 Pro Launch Global,twitch_sponsor_0101,1151.04,1702703,13048,streamer_partner_15,BRANDED_SEGMENT,1277027,7829,1.15,2026-05-04 11:41:42.118000-07:00
2025-12-04,PS5 Pro Launch Global,twitch_sponsor_0101,1521.35,1702703,15916,streamer_partner_20,BRANDED_SEGMENT,1277027,9550,1.52,2026-05-04 11:41:42.118000-07:00
2025-12-05,PS5 Pro Launch Global,twitch_sponsor_0101,1058.79,1702703,11404,streamer_partner_14,BRANDED_SEGMENT,1277027,6842,1.06,2026-05-04 11:41:42.118000-07:00
2025-12-06,PS5 Pro Launch Global,twitch_sponsor_0101,1568.14,1958108,19174,streamer_partner_15,BRANDED_SEGMENT,1468581,11504,1.57,2026-05-04 11:41:42.118000-07:00
2025-12-07,PS5 Pro Launch Global,twitch_sponsor_0101,1669.60,1958108,12129,streamer_partner_2,BRANDED_SEGMENT,1468581,7277,1.67,2026-05-04 11:41:42.118000-07:00
2025-12-08,PS5 Pro Launch Global,twitch_sponsor_0101,1060.13,1702703,10549,streamer_partner_18,BRANDED_SEGMENT,1277027,6329,1.06,2026-05-04 11:41:42.118000-07:00
2025-12-09,PS5 Pro Launch Global,twitch_sponsor_0101,1589.53,1702703,12562,streamer_partner_10,BRANDED_SEGMENT,1277027,7537,1.59,2026-05-04 11:41:42.118000-07:00
2025-12-10,PS5 Pro Launch Global,twitch_sponsor_0101,958.53,1702703,17220,streamer_partner_14,BRANDED_SEGMENT,1277027,10332,0.96,2026-05-04 11:41:42.118000-07:00
2025-12-11,PS5 Pro Launch Global,twitch_sponsor_0101,1378.30,1702703,11694,streamer_partner_8,BRANDED_SEGMENT,1277027,7016,1.38,2026-05-04 11:41:42.118000-07:00
2025-12-12,PS5 Pro Launch Global,twitch_sponsor_0101,1435.79,1702703,15447,streamer_partner_23,BRANDED_SEGMENT,1277027,9268,1.44,2026-05-04 11:41:42.118000-07:00
2025-12-13,PS5 Pro Launch Global,twitch_sponsor_0101,1228.37,1958108,14952,streamer_partner_11,BRANDED_SEGMENT,1468581,8971,1.23,2026-05-04 11:41:42.118000-07:00
2025-12-14,PS5 Pro Launch Global,twitch_sponsor_0101,1251.43,1958108,10533,streamer_partner_19,BRANDED_SEGMENT,1468581,6320,1.25,2026-05-04 11:41:42.118000-07:00
2025-12-15,PS5 Pro Launch Global,twitch_sponsor_0101,1634.98,1702703,16219,streamer_partner_17,BRANDED_SEGMENT,1277027,9731,1.63,2026-05-04 11:41:42.118000-07:00
2025-11-01,PS5 Pro Launch Global,twitch_sponsor_0101,744.54,932432,8951,streamer_partner_24,BRANDED_SEGMENT,699324,5371,0.74,2026-05-04 11:41:42.118000-07:00
2025-11-02,PS5 Pro Launch Global,twitch_sponsor_0101,894.61,932432,10175,streamer_partner_14,BRANDED_SEGMENT,699324,6105,0.89,2026-05-04 11:41:42.118000-07:00
2025-11-03,PS5 Pro Launch Global,twitch_sponsor_0101,769.01,810811,11808,streamer_partner_7,BRANDED_SEGMENT,608108,7085,0.77,2026-05-04 11:41:42.118000-07:00
2025-11-04,PS5 Pro Launch Global,twitch_sponsor_0101,474.27,810811,8230,streamer_partner_7,BRANDED_SEGMENT,608108,4938,0.47,2026-05-04 11:41:42.118000-07:00
2025-11-05,PS5 Pro Launch Global,twitch_sponsor_0101,561.48,810811,8320,streamer_partner_20,BRANDED_SEGMENT,608108,4992,0.56,2026-05-04 11:41:42.118000-07:00
2025-11-06,PS5 Pro Launch Global,twitch_sponsor_0101,560.84,810811,8951,streamer_partner_11,BRANDED_SEGMENT,608108,5371,0.56,2026-05-04 11:41:42.118000-07:00
2025-11-07,PS5 Pro Launch Global,twitch_sponsor_0101,1831.37,2594595,23219,streamer_partner_9,BRANDED_SEGMENT,1945946,13931,1.83,2026-05-04 11:41:42.118000-07:00
2025-11-08,PS5 Pro Launch Global,twitch_sponsor_0101,843.37,932432,10475,streamer_partner_20,BRANDED_SEGMENT,699324,6285,0.84,2026-05-04 11:41:42.118000-07:00
2025-11-09,PS5 Pro Launch Global,twitch_sponsor_0101,701.34,932432,12917,streamer_partner_14,BRANDED_SEGMENT,699324,7750,0.70,2026-05-04 11:41:42.118000-07:00
2025-11-10,PS5 Pro Launch Global,twitch_sponsor_0101,725.09,810811,7750,streamer_partner_2,BRANDED_SEGMENT,608108,4650,0.73,2026-05-04 11:41:42.118000-07:00
2025-11-11,PS5 Pro Launch Global,twitch_sponsor_0101,624.50,810811,8280,streamer_partner_12,BRANDED_SEGMENT,608108,4968,0.62,2026-05-04 11:41:42.118000-07:00
2025-11-12,PS5 Pro Launch Global,twitch_sponsor_0101,550.66,810811,11092,streamer_partner_17,BRANDED_SEGMENT,608108,6655,0.55,2026-05-04 11:41:42.118000-07:00
2025-11-13,PS5 Pro Launch Global,twitch_sponsor_0101,788.11,810811,10628,streamer_partner_24,BRANDED_SEGMENT,608108,6377,0.79,2026-05-04 11:41:42.118000-07:00
2025-11-14,PS5 Pro Launch Global,twitch_sponsor_0101,596.49,810811,8137,streamer_partner_13,BRANDED_SEGMENT,608108,4882,0.60,2026-05-04 11:41:42.118000-07:00
2025-11-15,PS5 Pro Launch Global,twitch_sponsor_0101,707.20,932432,8777,streamer_partner_18,BRANDED_SEGMENT,699324,5266,0.71,2026-05-04 11:41:42.118000-07:00
2025-11-16,PS5 Pro Launch Global,twitch_sponsor_0101,573.96,932432,12718,streamer_partner_7,BRANDED_SEGMENT,699324,7631,0.57,2026-05-04 11:41:42.118000-07:00
2025-11-17,PS5 Pro Launch Global,twitch_sponsor_0101,591.40,810811,9403,streamer_partner_6,BRANDED_SEGMENT,608108,5642,0.59,2026-05-04 11:41:42.118000-07:00
2025-11-18,PS5 Pro Launch Global,twitch_sponsor_0101,757.55,810811,6235,streamer_partner_1,BRANDED_SEGMENT,608108,3741,0.76,2026-05-04 11:41:42.118000-07:00
2025-11-19,PS5 Pro Launch Global,twitch_sponsor_0101,655.06,810811,9578,streamer_partner_4,BRANDED_SEGMENT,608108,5747,0.66,2026-05-04 11:41:42.118000-07:00
2025-11-21,PS5 Pro Launch Global,twitch_sponsor_0101,812.94,810811,6947,streamer_partner_7,BRANDED_SEGMENT,608108,4168,0.81,2026-05-04 11:41:42.118000-07:00
2025-11-22,PS5 Pro Launch Global,twitch_sponsor_0101,775.28,932432,8611,streamer_partner_16,BRANDED_SEGMENT,699324,5167,0.78,2026-05-04 11:41:42.118000-07:00
2025-11-23,PS5 Pro Launch Global,twitch_sponsor_0101,565.91,932432,8452,streamer_partner_0,BRANDED_SEGMENT,699324,5071,0.57,2026-05-04 11:41:42.118000-07:00
2025-11-24,PS5 Pro Launch Global,twitch_sponsor_0101,639.15,810811,8998,streamer_partner_13,BRANDED_SEGMENT,608108,5399,0.64,2026-05-04 11:41:42.118000-07:00
2025-11-25,PS5 Pro Launch Global,twitch_sponsor_0101,785.56,810811,7796,streamer_partner_18,BRANDED_SEGMENT,608108,4678,0.79,2026-05-04 11:41:42.118000-07:00
2025-11-26,PS5 Pro Launch Global,twitch_sponsor_0101,541.75,810811,10054,streamer_partner_19,BRANDED_SEGMENT,608108,6032,0.54,2026-05-04 11:41:42.118000-07:00
2025-11-27,PS5 Pro Launch Global,twitch_sponsor_0101,495.27,810811,9889,streamer_partner_18,BRANDED_SEGMENT,608108,5933,0.50,2026-05-04 11:41:42.118000-07:00
2025-11-28,PS5 Pro Launch Global,twitch_sponsor_0101,1282.05,1702703,14951,streamer_partner_20,BRANDED_SEGMENT,1277027,8971,1.28,2026-05-04 11:41:42.118000-07:00
2025-11-29,PS5 Pro Launch Global,twitch_sponsor_0101,1729.56,1958108,13372,streamer_partner_20,BRANDED_SEGMENT,1468581,8023,1.73,2026-05-04 11:41:42.118000-07:00
2025-11-30,PS5 Pro Launch Global,twitch_sponsor_0101,1460.52,1958108,22407,streamer_partner_10,BRANDED_SEGMENT,1468581,13444,1.46,2026-05-04 11:41:42.118000-07:00
2025-12-01,PS5 Pro Launch Global,twitch_sponsor_0101,993.29,1702703,11517,streamer_partner_1,BRANDED_SEGMENT,1277027,6910,0.99,2026-05-04 11:41:42.118000-07:00
2025-12-02,PS5 Pro Launch Global,twitch_sponsor_0101,998.63,1702703,16261,streamer_partner_18,BRANDED_SEGMENT,1277027,9757,1.00,2026-05-04 11:41:42.118000-07:00
2025-12-03,PS5 Pro Launch Global,twitch_sponsor_0101,1272.69,1702703,11528,streamer_partner_15,BRANDED_SEGMENT,1277027,6917,1.27,2026-05-04 11:41:42.118000-07:00
2025-12-04,PS5 Pro Launch Global,twitch_sponsor_0101,1217.88,1702703,16166,streamer_partner_20,BRANDED_SEGMENT,1277027,9700,1.22,2026-05-04 11:41:42.118000-07:00
2025-12-05,PS5 Pro Launch Global,twitch_sponsor_0101,1564.13,1702703,15371,streamer_partner_14,BRANDED_SEGMENT,1277027,9223,1.56,2026-05-04 11:41:42.118000-07:00
2025-12-06,PS5 Pro Launch Global,twitch_sponsor_0101,1093.08,1958108,11702,streamer_partner_15,BRANDED_SEGMENT,1468581,7021,1.09,2026-05-04 11:41:42.118000-07:00
2025-12-07,PS5 Pro Launch Global,twitch_sponsor_0101,1222.22,1958108,14081,streamer_partner_2,BRANDED_SEGMENT,1468581,8449,1.22,2026-05-04 11:41:42.118000-07:00
2025-12-08,PS5 Pro Launch Global,twitch_sponsor_0101,1470.55,1702703,17741,streamer_partner_18,BRANDED_SEGMENT,1277027,10645,1.47,2026-05-04 11:41:42.118000-07:00
2025-12-09,PS5 Pro Launch Global,twitch_sponsor_0101,1248.63,1702703,16947,streamer_partner_10,BRANDED_SEGMENT,1277027,10168,1.25,2026-05-04 11:41:42.118000-07:00
2025-12-10,PS5 Pro Launch Global,twitch_sponsor_0101,1411.72,1702703,17572,streamer_partner_14,BRANDED_SEGMENT,1277027,10543,1.41,2026-05-04 11:41:42.118000-07:00
2025-12-11,PS5 Pro Launch Global,twitch_sponsor_0101,1458.51,1702703,14241,streamer_partner_8,BRANDED_SEGMENT,1277027,8545,1.46,2026-05-04 11:41:42.118000-07:00
2025-12-12,PS5 Pro Launch Global,twitch_sponsor_0101,1270.02,1702703,18079,streamer_partner_23,BRANDED_SEGMENT,1277027,10847,1.27,2026-05-04 11:41:42.118000-07:00
2025-12-13,PS5 Pro Launch Global,twitch_sponsor_0101,1133.06,1958108,19113,streamer_partner_11,BRANDED_SEGMENT,1468581,11468,1.13,2026-05-04 11:41:42.118000-07:00
2025-12-14,PS5 Pro Launch Global,twitch_sponsor_0101,1194.55,1958108,10405,streamer_partner_19,BRANDED_SEGMENT,1468581,6243,1.19,2026-05-04 11:41:42.118000-07:00
2025-12-15,PS5 Pro Launch Global,twitch_sponsor_0101,1721.88,1702703,15116,streamer_partner_17,BRANDED_SEGMENT,1277027,9070,1.72,2026-05-04 11:41:42.118000-07:00
2025-11-01,PS5 Pro Launch Global,twitch_sponsor_0101,712.32,932432,10350,streamer_partner_24,BRANDED_SEGMENT,699324,6210,0.71,2026-05-04 11:41:42.118000-07:00
2025-11-02,PS5 Pro Launch Global,twitch_sponsor_0101,623.01,932432,11377,streamer_partner_14,BRANDED_SEGMENT,699324,6826,0.62,2026-05-04 11:41:42.118000-07:00
2025-11-03,PS5 Pro Launch Global,twitch_sponsor_0101,506.73,810811,6542,streamer_partner_7,BRANDED_SEGMENT,608108,3925,0.51,2026-05-04 11:41:42.118000-07:00
2025-11-04,PS5 Pro Launch Global,twitch_sponsor_0101,745.46,810811,9654,streamer_partner_7,BRANDED_SEGMENT,608108,5792,0.75,2026-05-04 11:41:42.118000-07:00
2025-11-05,PS5 Pro Launch Global,twitch_sponsor_0101,465.99,810811,11616,streamer_partner_20,BRANDED_SEGMENT,608108,6970,0.47,2026-05-04 11:41:42.118000-07:00
2025-11-06,PS5 Pro Launch Global,twitch_sponsor_0101,604.77,810811,10897,streamer_partner_11,BRANDED_SEGMENT,608108,6538,0.60,2026-05-04 11:41:42.118000-07:00
2025-11-07,PS5 Pro Launch Global,twitch_sponsor_0101,2242.87,2594595,20995,streamer_partner_9,BRANDED_SEGMENT,1945946,12597,2.24,2026-05-04 11:41:42.118000-07:00
2025-11-08,PS5 Pro Launch Global,twitch_sponsor_0101,554.92,932432,13819,streamer_partner_20,BRANDED_SEGMENT,699324,8291,0.56,2026-05-04 11:41:42.118000-07:00
2025-11-09,PS5 Pro Launch Global,twitch_sponsor_0101,580.55,932432,9164,streamer_partner_14,BRANDED_SEGMENT,699324,5498,0.58,2026-05-04 11:41:42.118000-07:00
2025-11-10,PS5 Pro Launch Global,twitch_sponsor_0101,715.54,810811,6998,streamer_partner_2,BRANDED_SEGMENT,608108,4199,0.72,2026-05-04 11:41:42.118000-07:00
2025-11-11,PS5 Pro Launch Global,twitch_sponsor_0101,580.58,810811,7534,streamer_partner_12,BRANDED_SEGMENT,608108,4520,0.58,2026-05-04 11:41:42.118000-07:00
2025-11-12,PS5 Pro Launch Global,twitch_sponsor_0101,662.06,810811,9021,streamer_partner_17,BRANDED_SEGMENT,608108,5413,0.66,2026-05-04 11:41:42.118000-07:00
