DATE_DAY,CAMPAIGN_ID,SEGMENT_ID,SENT,DELIVERED,OPENS,CLICKS,UNSUBSCRIBES
2025-11-29,108,8,385140,409802,108940,10973,702
2025-11-29,108,4,448980,289783,56549,10889,538
2025-11-29,108,12,254940,356110,59228,8705,639
2025-11-30,107,1,451500,301232,73643,6836,596
2025-11-30,107,9,440160,320578,90737,12821,472
2025-11-30,107,5,471240,410987,90829,10532,345
2025-12-01,113,7,433020,365585,98221,11361,402
2025-12-01,113,3,254520,314656,60060,13503,638
2025-12-01,113,11,461160,339923,105428,7445,591
2025-12-02,105,7,350280,259778,99884,9083,521
2025-12-02,105,3,341040,283861,87410,10815,599
2025-12-02,105,11,273420,358478,64588,9650,593
2025-12-03,104,8,260820,437044,66158,11351,707
2025-12-03,104,4,441420,456389,78170,12086,490
2025-12-03,104,12,487620,440597,74197,7623,709
2025-12-04,103,1,305340,355320,74659,7602,674
2025-12-04,103,9,535500,440202,88427,8442,676
2025-12-04,103,5,514080,326894,102749,7550,488
2025-12-05,102,6,378420,251488,77801,10112,755
2025-12-05,102,2,468300,426779,62185,13377,754
2025-12-05,102,10,425880,392036,104320,12180,749
2025-12-05,109,7,445200,504949,106352,7056,599
2025-12-05,109,3,415380,400722,90367,13220,336
2025-12-05,109,11,486780,361242,100439,12663,380
2025-12-06,101,7,304920,302812,109124,9398,645
2025-12-06,101,3,529200,239249,99330,11792,362
2025-12-06,101,11,270060,363611,72996,10290,312
2025-12-06,108,8,456120,283861,71610,11981,471
2025-12-06,108,4,380940,369138,72719,12842,671
2025-12-06,108,12,296100,375850,69300,6395,683
2025-12-07,107,1,465360,254251,87595,12474,565
2025-12-07,107,9,542640,268069,63664,11319,397
2025-12-07,107,5,322140,431911,63571,10668,448
2025-12-08,113,7,297360,513240,57658,7907,697
2025-12-08,113,3,530460,398353,110510,13556,365
2025-12-08,113,11,265020,258199,75398,12726,432
2025-12-09,105,7,346500,506528,95357,6909,395
2025-12-09,105,3,404880,252672,68006,11592,471
2025-12-09,105,11,531300,373481,65789,9545,727
2025-12-10,104,8,262080,307944,65604,8915,492
2025-12-10,104,4,501480,296100,56364,10280,527
2025-12-10,104,12,282660,408618,68099,6363,380
2025-12-11,103,1,353220,371902,73366,6815,728
2025-12-11,103,9,369180,495869,97390,13419,635
2025-12-11,103,5,360780,390457,64588,6353,502
2025-12-12,102,6,253260,465074,104320,8663,403
2025-12-12,102,2,392280,274386,76692,13167,304
2025-12-12,102,10,281820,462706,84638,8810,373
2025-12-12,109,7,311640,362821,82698,8390,619
2025-12-12,109,3,457800,417698,80203,7917,457
2025-12-12,109,11,427560,354925,56179,9576,687
2025-12-13,101,7,499380,478892,73920,8127,690
2025-12-13,101,3,478800,257015,62093,8201,517
2025-12-13,101,11,494340,513240,90922,12359,535
2025-12-13,108,8,433020,489157,57935,6342,330
2025-12-13,108,4,478800,332027,86302,12453,509
2025-12-13,108,12,304500,413356,96188,11886,579
2025-12-14,107,1,290220,463495,58582,12327,591
2025-12-14,107,9,336420,491526,73458,10112,720
2025-12-14,107,5,305760,503370,102934,10878,314
2025-12-15,113,7,394380,311892,91291,12947,726
2025-12-15,113,3,446460,422831,98498,12569,320
2025-12-15,113,11,394380,382166,95264,8138,647
2025-12-16,105,7,517860,475734,88704,12663,443
2025-12-16,105,3,512400,309128,89074,8442,563
2025-12-16,105,11,443100,491526,99145,13115,470
2025-12-17,104,8,420840,401117,98314,11424,321
2025-12-17,104,4,442260,457573,105613,11802,349
2025-12-17,104,12,438060,325315,81682,12842,755
2025-12-18,103,1,311220,363216,88427,7550,582
2025-12-18,103,9,456540,427568,103118,9618,421
2025-12-18,103,5,332220,450072,64310,12915,695
2025-12-19,102,6,336420,352951,71425,12537,739
2025-12-19,102,2,327180,477313,65234,7004,336
2025-12-19,102,10,254100,465469,96096,9093,345
2025-12-19,109,7,412020,402696,88150,6951,628
2025-12-19,109,3,422520,371507,82513,11781,454
2025-12-19,109,11,490560,289783,104689,12065,719
2025-12-20,108,8,333900,314261,73828,12579,516
2025-12-20,108,4,487620,513240,102841,8579,331
2025-12-20,108,12,514500,448493,82051,9660,578
2025-12-21,107,1,482160,418093,72904,11792,491
2025-12-21,107,9,293580,326105,64957,7917,308
2025-12-21,107,5,541380,402301,58397,10458,746
2025-12-22,113,7,391020,358873,103396,13167,720
2025-12-22,113,3,538440,369138,91753,9986,472
2025-12-22,113,11,322140,454810,65234,11330,438
2025-12-23,105,7,303240,402301,70132,10332,600
2025-12-23,105,3,372960,260173,64495,9356,413
2025-12-23,105,11,257040,239644,103026,6300,542
2025-12-24,104,8,498120,275570,55440,8138,359
2025-12-24,104,4,385140,351372,93232,10952,454
2025-12-24,104,12,535500,399538,85747,11949,690
2025-12-25,103,1,342720,332816,59044,7739,655
2025-12-25,103,9,427140,246355,78817,8988,624
2025-12-25,103,5,358260,362032,59598,9545,328
2025-12-26,102,6,253680,433490,83068,8537,614
2025-12-26,102,2,388500,238459,88612,11886,747
2025-12-26,102,10,252000,248329,99884,11214,645
2025-12-26,109,7,473340,468628,70224,9072,742
2025-12-26,109,3,456960,263332,86948,11004,647
2025-12-26,109,11,372120,333606,99330,9429,333
2025-12-27,108,8,472080,425594,98221,6668,386
2025-12-27,108,4,320460,432701,90829,7203,713
2025-12-27,108,12,505680,270438,76322,6311,316
2025-12-28,107,1,346080,300443,63848,9366,324
2025-12-28,107,9,443100,509292,77801,13083,532
2025-12-28,107,5,313740,480077,96096,9209,375
2025-12-29,113,7,372960,240828,106630,12422,425
2025-12-29,113,3,350280,407828,61169,13640,692
2025-12-29,113,11,359100,260963,67175,6741,734
2025-12-30,105,7,490140,335975,56456,12684,632
2025-12-30,105,3,489300,254646,103396,7854,624
2025-12-30,105,11,533820,359268,57380,7781,327
2025-12-31,104,8,420840,384535,72534,9996,303
2025-12-31,104,4,291060,249908,69762,12936,306
2025-12-31,104,12,275940,270833,76877,6437,374
2026-01-01,104,8,381360,512056,70871,9965,665
2026-01-01,104,4,371700,498632,92215,7707,578
2026-01-01,104,12,362880,449282,91199,12411,529
2026-01-02,103,1,502320,333211,68746,9461,748
2026-01-02,103,9,291900,429937,91199,11949,439
2026-01-02,103,5,297360,247540,106260,8264,530
2026-01-03,109,7,367500,460337,99330,7214,458
2026-01-03,109,3,482580,267674,76322,7676,302
2026-01-03,109,11,297360,371112,89628,9891,516
2026-01-04,108,8,261660,257015,55717,11435,754
2026-01-04,108,4,320880,311102,66066,6710,483
2026-01-04,108,12,399840,504160,109217,11907,566
2026-01-05,107,1,363720,463100,107184,12537,323
2026-01-05,107,9,288540,416119,87133,6353,740
2026-01-05,107,5,523740,324920,82051,9702,665
2026-01-06,113,7,407400,453625,103396,12726,621
2026-01-06,113,3,541380,345450,95449,10605,730
2026-01-06,113,11,362040,489552,70871,8999,486
2026-01-07,105,7,516180,309918,72811,11550,662
2026-01-07,105,3,378840,435464,84269,12737,455
2026-01-07,105,11,366240,367559,82144,9608,749
2026-01-08,104,8,336840,394405,64865,10259,439
2026-01-08,104,4,288540,333606,104320,8862,483
2026-01-08,104,12,437220,352162,76045,7970,303
2026-01-09,103,1,302400,429937,80850,8463,616
2026-01-09,103,9,296100,238854,65512,8736,373
2026-01-09,103,5,488040,489552,69854,7707,531
2026-01-09,110,6,514920,309918,70686,6941,375
2026-01-09,110,2,326760,512845,99792,6920,716
2026-01-09,110,10,365400,403091,65234,12138,658
2026-01-10,109,7,540540,349793,68376,11897,391
2026-01-10,109,3,323820,453230,98776,13608,646
2026-01-10,109,11,513660,265700,88889,8841,708
2026-01-11,108,8,263760,495079,80018,8747,683
2026-01-11,108,4,315420,424015,74197,10122,389
2026-01-11,108,12,307860,459152,68838,8180,739
2026-01-12,107,1,526260,369138,93601,12065,364
2026-01-12,107,9,501900,501001,96928,10217,404
2026-01-12,107,5,325080,255436,90367,13503,553
2026-01-12,114,6,271320,323341,59413,12128,628
2026-01-12,114,2,505260,262542,56641,12957,306
2026-01-12,114,10,306600,249514,60430,9618,495
2026-01-13,113,7,362040,415330,106075,10805,353
2026-01-13,113,3,510720,432306,100624,12894,717
2026-01-13,113,11,398580,256225,60337,12506,442
2026-01-14,105,7,502740,443360,57935,6909,501
2026-01-14,105,3,372960,484814,101363,7896,636
2026-01-14,105,11,544320,424805,68006,7634,718
2026-01-15,104,8,523740,262542,63017,10070,447
2026-01-15,104,4,442680,243197,73828,12317,729
2026-01-15,104,12,258720,349793,74197,12726,342
2026-01-16,103,1,412020,314261,103026,13514,721
2026-01-16,103,9,407820,273596,86579,12275,330
2026-01-16,103,5,262500,347424,99700,11781,676
2026-01-16,110,6,255360,378218,100254,11886,398
2026-01-16,110,2,425040,459942,96373,7413,519
2026-01-16,110,10,383040,258199,77893,8022,545
2026-01-17,109,7,497280,489157,106999,11771,479
2026-01-17,109,3,372540,495869,71240,10049,592
2026-01-17,109,11,468300,369533,58951,11760,643
2026-01-18,108,8,270480,294126,71610,7004,563
2026-01-18,108,4,301140,258989,99700,10721,318
2026-01-18,108,12,495600,247540,95172,11624,471
2026-01-19,107,1,369600,265700,103026,9471,479
2026-01-19,107,9,389760,440597,88427,10332,397
2026-01-19,107,5,378420,440597,109679,8190,336
2026-01-19,114,6,526680,336764,77062,7182,429
2026-01-19,114,2,339360,353346,81866,9797,591
2026-01-19,114,10,412860,274781,100901,8862,499
2026-01-20,106,6,400680,369928,109032,11886,680
2026-01-20,106,2,546000,472970,80665,10343,748
2026-01-20,106,10,446880,280703,79556,7928,479
2026-01-20,113,7,377160,475339,75214,13356,391
2026-01-20,113,3,333480,239644,103396,8789,614
2026-01-20,113,11,412860,296890,72626,11750,359
2026-01-21,105,7,270900,388088,69485,13598,747
2026-01-21,105,3,329280,330053,81035,7392,575
2026-01-21,105,11,489300,504160,109494,12212,528
2026-01-22,104,8,272160,379403,67452,8012,488
2026-01-22,104,4,435120,459942,99977,13272,514
2026-01-22,104,12,359100,504160,102102,9954,432
2026-01-23,103,1,332220,245566,72811,10290,370
2026-01-23,103,9,346080,480077,97205,6300,426
2026-01-23,103,5,323400,482840,92862,8747,522
2026-01-23,110,6,492660,349003,66158,8652,376
2026-01-23,110,2,374220,491526,107646,7697,491
2026-01-23,110,10,321300,428358,104135,11634,380
2026-01-24,109,7,370860,486788,58674,10301,668
2026-01-24,109,3,497700,255830,84269,9849,683
2026-01-24,109,11,532560,296100,92030,6794,441
2026-01-25,108,8,284340,459547,101548,12401,349
2026-01-25,108,4,333900,504554,91106,6951,352
2026-01-25,108,12,397740,450862,66436,7046,539
2026-01-26,107,1,435120,257804,87872,6867,407
2026-01-26,107,9,338100,310313,106168,10731,380
2026-01-26,107,5,448140,374270,87041,8978,364
2026-01-26,114,6,492660,387694,105244,6930,411
2026-01-26,114,2,486780,378613,74197,13619,657
2026-01-26,114,10,419580,303996,81497,10385,366
2026-01-27,106,6,429660,451651,61631,12600,407
2026-01-27,106,2,384300,342292,87133,10889,469
2026-01-27,106,10,410760,511661,72349,6636,578
2026-01-27,113,7,532560,363216,105336,8610,501
2026-01-27,113,3,423780,326500,64865,7529,324
2026-01-27,113,11,285600,371507,83437,6636,549
2026-01-28,105,7,405300,493105,68284,9314,358
2026-01-28,105,3,265440,350977,71240,13304,508
2026-01-28,105,11,466620,335975,72811,7508,611
2026-01-29,104,8,431760,405065,89258,9671,644
2026-01-29,104,4,442680,286625,89166,11561,685
2026-01-29,104,12,395220,238459,63109,8442,307
2026-01-30,103,1,488040,324131,75306,6437,493
2026-01-30,103,9,392280,341502,88242,11403,350
2026-01-30,103,5,391440,295310,74290,8978,627
2026-01-30,110,6,426300,431911,79372,10700,606
2026-01-30,110,2,430500,472181,63941,7497,692
2026-01-30,110,10,457800,419672,89813,9009,401
2026-01-31,109,7,524160,452046,73458,7203,311
2026-01-31,109,3,298620,251882,66343,12485,416
2026-01-31,109,11,335160,473365,95726,8516,376
2026-02-01,108,8,328860,466654,103303,9461,604
2026-02-01,108,4,272160,484420,98314,9881,603
2026-02-01,108,12,496860,301627,106722,12359,725
2026-02-02,107,1,286440,262542,104874,10574,503
2026-02-02,107,9,401940,292547,109864,12159,620
2026-02-02,107,5,485100,376244,102749,13146,662
2026-02-02,114,6,309120,411382,94063,8054,570
2026-02-02,114,2,429660,285046,108940,7907,703
2026-02-02,114,10,508620,358873,67822,12285,451
2026-02-03,106,6,536340,286625,95357,13377,451
2026-02-03,106,2,358680,367559,56734,10301,558
2026-02-03,106,10,455700,379798,71610,7980,393
2026-02-03,113,7,425040,489947,98314,11708,515
2026-02-03,113,3,462420,440992,62278,6363,581
2026-02-03,113,11,334740,348608,96188,7707,547
2026-02-05,104,8,539700,319393,68099,10185,637
2026-02-05,104,4,351960,258989,91106,6699,422
2026-02-05,104,12,310380,294916,92585,6584,606
2026-02-05,111,1,313320,336764,85562,10500,549
2026-02-05,111,9,484260,483235,106168,7602,420
2026-02-05,111,5,439740,412566,100901,7959,416
2026-02-06,110,6,346920,411382,61446,11886,612
2026-02-06,110,2,459900,240038,77062,9849,447
2026-02-06,110,10,255780,431516,87410,11435,593
2026-02-07,109,7,540960,384535,94248,10049,389
2026-02-07,109,3,335160,321367,101917,8873,750
2026-02-07,109,11,472080,511661,74659,8579,417
2026-02-08,108,8,481320,494684,74567,8243,480
2026-02-08,108,4,381780,346240,91291,8558,326
2026-02-08,108,12,471660,486394,70963,7161,401
2026-02-09,107,1,343560,305970,96004,11970,407
2026-02-09,107,9,382620,394800,108385,8075,720
2026-02-09,107,5,387240,322946,76600,11330,720
2026-02-09,114,6,296940,264121,69947,10563,640
2026-02-09,114,2,525420,340712,62370,11813,750
2026-02-09,114,10,472080,325315,107369,10343,600
2026-02-10,106,6,397320,274781,83068,7319,641
2026-02-10,106,2,325080,263726,94710,11760,523
2026-02-10,106,10,499380,464285,72534,8148,612
2026-02-10,113,7,481740,485999,71333,13346,699
2026-02-10,113,3,381360,328474,110510,12348,609
2026-02-10,113,11,271320,266885,79279,9503,350
2026-02-12,104,8,445200,352951,88981,11624,736
2026-02-12,104,4,441000,324920,105059,13230,577
2026-02-12,104,12,438480,266095,63017,13577,349
2026-02-12,111,1,441420,472576,90552,7119,646
2026-02-12,111,9,538020,324526,88150,8516,517
2026-02-12,111,5,409500,416119,106722,12768,503
2026-02-13,110,6,274260,362426,63294,11015,627
2026-02-13,110,2,465360,423226,70778,6458,730
2026-02-13,110,10,396900,401906,102102,8180,660
2026-02-14,109,7,416640,260963,100439,6752,609
2026-02-14,109,3,449400,328079,92123,9156,491
2026-02-14,109,11,340620,258199,94063,7886,726
2026-02-15,108,8,452760,382166,82236,9471,513
2026-02-15,108,4,459480,239644,102010,10668,661
2026-02-15,108,12,442260,276360,109032,8799,705
2026-02-16,107,1,266280,242407,75121,9723,652
2026-02-16,107,9,448140,288599,61908,11183,559
2026-02-16,107,5,289380,281098,82513,7287,374
2026-02-16,114,6,407400,384930,61908,7644,699
2026-02-16,114,2,485100,459547,84823,6657,393
2026-02-16,114,10,484680,427963,68006,10994,555
2026-02-17,106,6,440580,431911,86579,8159,705
2026-02-17,106,2,474180,436254,104966,7119,633
2026-02-17,106,10,538020,369533,86671,7802,733
2026-02-17,113,7,530040,465074,76415,7676,602
2026-02-17,113,3,295260,337159,106722,7424,553
2026-02-17,113,11,493920,484420,110788,11298,401
2026-02-19,104,8,384720,483630,92862,7004,359
2026-02-19,104,4,446880,307549,57565,9650,709
2026-02-19,104,12,404880,271228,104320,11277,722
2026-02-20,110,6,517440,465074,70409,7560,454
2026-02-20,110,2,357420,454020,87133,8012,392
2026-02-20,110,10,332640,487578,100439,11561,448
2026-02-22,108,8,268380,491921,68746,11382,314
2026-02-22,108,4,377580,360847,92954,13472,527
2026-02-22,108,12,259980,331237,94248,9765,438
2026-02-23,107,1,400680,316630,110880,7665,565
2026-02-23,107,9,448140,286625,73273,10185,590
2026-02-23,107,5,289800,473365,97112,11960,469
2026-02-23,114,6,310380,476524,95172,10154,344
2026-02-23,114,2,508200,389273,72626,10490,734
2026-02-23,114,10,431340,347819,71887,13577,383
2026-02-24,106,6,311640,488368,108293,6384,482
2026-02-24,106,2,351540,350977,72164,13451,724
2026-02-24,106,10,446460,312287,88981,12716,540
2026-02-24,113,7,378840,376244,62647,7886,695
2026-02-24,113,3,480480,457573,80942,12957,434
2026-02-24,113,11,492240,409802,60892,12285,466
2026-02-26,104,8,344820,380192,81312,11970,376
2026-02-26,104,4,318780,346240,73273,11351,514
2026-02-26,104,12,446460,343476,79834,10563,668
2026-02-27,110,6,283080,271622,70501,8810,464
2026-02-27,110,2,475440,268464,95911,12947,657
2026-02-27,110,10,262920,399932,66158,10668,303
2026-03-01,108,8,543900,310708,89536,10269,649
2026-03-01,108,4,514500,416514,96835,6542,497
2026-03-01,108,12,303240,291757,88519,6311,510
2026-03-02,107,1,348600,297679,97390,8222,613
2026-03-02,107,9,319200,324526,79187,11729,626
2026-03-02,107,5,338940,460337,56272,6531,519
2026-03-03,106,6,330540,461521,103026,10227,520
2026-03-03,106,2,499800,237670,69947,7665,577
2026-03-03,106,10,482580,457968,83437,6951,567
2026-03-04,112,8,540120,377429,86856,10857,402
2026-03-04,112,4,316680,318209,94987,12023,540
2026-03-04,112,12,463680,387299,69485,6930,358
2026-03-06,110,6,466620,357294,92030,8610,318
2026-03-06,110,2,470400,405460,57565,11655,482
2026-03-06,110,10,429240,481261,68838,8925,717
2026-03-08,108,8,464100,241618,55902,9083,404
2026-03-08,108,4,495180,402696,102379,9345,540
2026-03-08,108,12,299040,413750,74012,12401,647
2026-03-09,107,1,313320,439412,72072,6437,494
2026-03-09,107,9,265440,358873,60614,9870,754
2026-03-09,107,5,414960,242012,103580,13178,540
2026-03-10,106,6,491400,247934,81220,13052,521
2026-03-10,106,2,332220,377824,85470,10710,683
2026-03-10,106,10,342300,386509,68099,8316,376
2026-03-11,112,8,336000,469417,76877,13178,341
2026-03-11,112,4,507360,508108,89905,9009,357
2026-03-11,112,12,544740,451651,105336,12632,629
2026-03-13,110,6,344400,408618,98498,9114,366
2026-03-13,110,2,399000,463495,98221,10731,328
2026-03-13,110,10,254520,502186,89166,12695,663
2026-03-15,108,8,512820,369533,103303,13115,602
2026-03-15,108,4,380520,486394,108385,7602,617
2026-03-15,108,12,540960,392431,75583,6594,497
2026-03-16,107,1,525840,475734,87410,7550,547
2026-03-16,107,9,399420,306365,79187,11781,599
2026-03-16,107,5,545160,352556,80018,11487,696
2026-03-17,106,6,433860,344660,91384,12380,310
2026-03-17,106,2,372540,375060,105151,12674,638
2026-03-17,106,10,504000,388088,102934,8831,731
2026-03-18,112,8,267120,314261,88427,13398,371
2026-03-18,112,4,329700,249119,82051,6783,605
2026-03-18,112,12,320460,373876,77893,10941,585
2026-03-20,110,6,373380,447308,103303,6909,314
2026-03-20,110,2,472080,335580,79834,7791,580
2026-03-20,110,10,266700,345055,90737,8232,519
2026-03-22,108,8,508620,396379,108755,7529,502
2026-03-22,108,4,416220,462311,71702,13209,596
2026-03-22,108,12,359100,315840,105706,10983,713
2026-03-23,107,1,368760,300048,70409,8936,668
2026-03-23,107,9,411180,502975,83437,11288,591
2026-03-23,107,5,460320,392826,109864,13115,682
2026-03-24,106,6,378000,441386,79649,8967,756
2026-03-24,106,2,280980,354925,98036,9912,723
2026-03-24,106,10,314160,341107,87780,9366,593
2026-03-25,112,8,412860,438228,93232,8327,626
2026-03-25,112,4,270480,294521,68006,12663,746
2026-03-25,112,12,421680,467048,99792,6930,616
2026-03-27,110,6,350280,250303,77431,11792,505
2026-03-27,110,2,329700,393616,63479,6594,573
2026-03-27,110,10,542220,262937,67544,9503,349
2026-03-29,108,8,412440,409013,70224,7770,606
2026-03-29,108,4,356160,356110,82513,10626,679
2026-03-29,108,12,450240,340712,63109,9671,707
2026-03-30,107,1,429660,341897,59136,12632,550
2026-03-30,107,9,420420,335975,85932,10553,737
2026-03-30,107,5,523320,342292,100162,12191,740
2026-03-31,106,6,368340,290968,82421,13199,633
2026-03-31,106,2,433440,357689,61169,7277,618
2026-03-31,106,10,541380,253856,102934,7035,442
2026-04-01,112,8,357000,476129,86486,13493,387
2026-04-01,112,4,398580,380587,100162,8799,559
2026-04-01,112,12,433860,301627,103118,11225,569
2026-04-06,107,1,486360,295310,107461,7476,528
2026-04-06,107,9,400680,360847,105983,7518,665
2026-04-06,107,5,417480,412961,96835,9545,348
2026-04-07,106,6,460320,300443,63294,8883,547
2026-04-07,106,2,336000,473365,103118,10952,322
2026-04-07,106,10,274260,373086,62000,10164,305
2026-04-08,112,8,451500,445729,85655,12579,381
2026-04-08,112,4,456120,359663,70039,10311,383
2026-04-08,112,12,258720,462706,106075,7812,639
2026-04-13,107,1,260820,461126,84454,11876,303
2026-04-13,107,9,255360,466259,99700,8096,657
2026-04-13,107,5,491820,328079,90460,12674,495
2026-04-14,106,6,409080,315050,62185,9261,572
2026-04-14,106,2,470820,415724,104966,12065,647
2026-04-14,106,10,465780,250303,87503,13094,723
2026-04-15,112,8,451500,328474,80018,9902,518
2026-04-15,112,4,474180,275965,65234,12579,370
2026-04-15,112,12,452760,305575,87595,10542,506
2026-04-20,107,1,288120,475734,62924,10920,491
2026-04-20,107,9,341040,300048,101455,10164,326
2026-04-20,107,5,494760,451256,73735,8957,453
2026-04-21,106,6,282240,476524,57103,12485,659
2026-04-21,106,2,485100,377034,76322,13524,730
2026-04-21,106,10,522900,429937,80942,8106,731
2026-04-22,112,8,505260,247934,91106,13524,342
2026-04-22,112,4,335580,378613,92123,10458,665
2026-04-22,112,12,401940,356899,72996,10332,504
2026-04-27,107,1,410760,381772,96928,9324,370
2026-04-27,107,9,290640,276755,72626,10721,696
2026-04-27,107,5,292740,493105,68191,9608,587
2026-04-28,106,6,355740,471786,69854,6542,745
2026-04-28,106,2,496020,250303,59506,12842,516
2026-04-28,106,10,258720,354136,99145,13020,432
2026-04-29,112,8,421260,362821,61446,12873,583
2026-04-29,112,4,398580,326894,103303,7560,470
2026-04-29,112,12,349860,265306,61816,11456,561
