REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,SPEND,IMPRESSIONS,CLICKS,ENGAGEMENT_RATE,RETWEETS,LIKES_ATTRIBUTED,LOADED_AT
2025-11-17,PS5 Pro Launch Global,18a0101,207.96,1076923,11738,1.090,2113,18781,2026-05-04 11:41:58.198000-07:00
2025-11-18,PS5 Pro Launch Global,18a0101,321.44,1076923,11166,1.037,2010,17866,2026-05-04 11:41:58.198000-07:00
2025-11-19,PS5 Pro Launch Global,18a0101,297.38,1076923,11431,1.062,2058,18290,2026-05-04 11:41:58.198000-07:00
2025-11-20,PS5 Pro Launch Global,18a0101,295.89,1076923,10685,0.992,1923,17096,2026-05-04 11:41:58.198000-07:00
2025-11-21,PS5 Pro Launch Global,18a0101,234.99,1076923,12574,1.168,2263,20118,2026-05-04 11:41:58.198000-07:00
2025-11-22,PS5 Pro Launch Global,18a0101,262.38,1238462,11334,0.915,2040,18134,2026-05-04 11:41:58.198000-07:00
2025-11-23,PS5 Pro Launch Global,18a0101,391.52,1238462,14287,1.154,2572,22859,2026-05-04 11:41:58.198000-07:00
2025-11-24,PS5 Pro Launch Global,18a0101,305.99,1076923,8436,0.783,1518,13498,2026-05-04 11:41:58.198000-07:00
2025-11-25,PS5 Pro Launch Global,18a0101,317.58,1076923,11921,1.107,2146,19074,2026-05-04 11:41:58.198000-07:00
2025-11-26,PS5 Pro Launch Global,18a0101,376.10,1076923,9735,0.904,1752,15576,2026-05-04 11:41:58.198000-07:00
2025-11-27,PS5 Pro Launch Global,18a0101,270.64,1076923,11514,1.069,2073,18422,2026-05-04 11:41:58.198000-07:00
2025-11-28,PS5 Pro Launch Global,18a0101,605.78,2261538,25532,1.129,4596,40851,2026-05-04 11:41:58.198000-07:00
2025-11-29,PS5 Pro Launch Global,18a0101,584.72,2600769,21595,0.830,3887,34552,2026-05-04 11:41:58.198000-07:00
2025-11-30,PS5 Pro Launch Global,18a0101,515.13,2600769,22171,0.853,3991,35474,2026-05-04 11:41:58.198000-07:00
2025-12-01,PS5 Pro Launch Global,18a0101,788.57,2261538,14610,0.646,2630,23376,2026-05-04 11:41:58.198000-07:00
2025-12-02,PS5 Pro Launch Global,18a0101,703.72,2261538,14796,0.654,2663,23674,2026-05-04 11:41:58.198000-07:00
2025-12-03,PS5 Pro Launch Global,18a0101,799.17,2261538,17331,0.766,3120,27730,2026-05-04 11:41:58.198000-07:00
2025-12-04,PS5 Pro Launch Global,18a0101,553.99,2261538,15313,0.677,2756,24501,2026-05-04 11:41:58.198000-07:00
2025-12-05,PS5 Pro Launch Global,18a0101,729.93,2261538,25355,1.121,4564,40568,2026-05-04 11:41:58.198000-07:00
2025-12-06,PS5 Pro Launch Global,18a0101,803.54,2600769,22658,0.871,4078,36253,2026-05-04 11:41:58.198000-07:00
2025-12-07,PS5 Pro Launch Global,18a0101,794.93,2600769,20184,0.776,3633,32294,2026-05-04 11:41:58.198000-07:00
2025-12-08,PS5 Pro Launch Global,18a0101,492.23,2261538,13374,0.591,2407,21398,2026-05-04 11:41:58.198000-07:00
2025-12-09,PS5 Pro Launch Global,18a0101,726.81,2261538,13222,0.585,2380,21155,2026-05-04 11:41:58.198000-07:00
2025-12-10,PS5 Pro Launch Global,18a0101,627.61,2261538,20850,0.922,3753,33360,2026-05-04 11:41:58.198000-07:00
2025-12-11,PS5 Pro Launch Global,18a0101,788.57,2261538,14148,0.626,2547,22637,2026-05-04 11:41:58.198000-07:00
2025-12-12,PS5 Pro Launch Global,18a0101,603.90,2261538,23556,1.042,4240,37690,2026-05-04 11:41:58.198000-07:00
2025-12-13,PS5 Pro Launch Global,18a0101,756.91,2600769,17096,0.657,3077,27354,2026-05-04 11:41:58.198000-07:00
2025-12-14,PS5 Pro Launch Global,18a0101,626.33,2600769,13649,0.525,2457,21838,2026-05-04 11:41:58.198000-07:00
2025-12-15,PS5 Pro Launch Global,18a0101,585.81,2261538,19051,0.842,3429,30482,2026-05-04 11:41:58.198000-07:00
2025-11-01,PS5 Pro Launch Global,18a0101,304.40,1238462,12632,1.020,2274,20211,2026-05-04 11:41:58.198000-07:00
2025-11-02,PS5 Pro Launch Global,18a0101,319.78,1238462,14620,1.181,2632,23392,2026-05-04 11:41:58.198000-07:00
2025-11-03,PS5 Pro Launch Global,18a0101,303.62,1076923,14518,1.348,2613,23229,2026-05-04 11:41:58.198000-07:00
2025-11-04,PS5 Pro Launch Global,18a0101,265.00,1076923,13979,1.298,2516,22366,2026-05-04 11:41:58.198000-07:00
2025-11-05,PS5 Pro Launch Global,18a0101,250.74,1076923,13031,1.210,2346,20850,2026-05-04 11:41:58.198000-07:00
2025-11-06,PS5 Pro Launch Global,18a0101,338.37,1076923,12096,1.123,2177,19354,2026-05-04 11:41:58.198000-07:00
2025-11-07,PS5 Pro Launch Global,18a0101,952.56,3446154,36416,1.057,6555,58266,2026-05-04 11:41:58.198000-07:00
2025-11-08,PS5 Pro Launch Global,18a0101,272.29,1238462,11457,0.925,2062,18331,2026-05-04 11:41:58.198000-07:00
2025-11-09,PS5 Pro Launch Global,18a0101,266.14,1238462,11824,0.955,2128,18918,2026-05-04 11:41:58.198000-07:00
2025-11-10,PS5 Pro Launch Global,18a0101,311.93,1076923,13592,1.262,2447,21747,2026-05-04 11:41:58.198000-07:00
2025-11-11,PS5 Pro Launch Global,18a0101,232.61,1076923,11691,1.086,2104,18706,2026-05-04 11:41:58.198000-07:00
2025-11-12,PS5 Pro Launch Global,18a0101,327.98,1076923,12768,1.186,2298,20429,2026-05-04 11:41:58.198000-07:00
2025-11-13,PS5 Pro Launch Global,18a0101,348.77,1076923,14311,1.329,2576,22898,2026-05-04 11:41:58.198000-07:00
2025-11-14,PS5 Pro Launch Global,18a0101,322.93,1076923,7816,0.726,1407,12506,2026-05-04 11:41:58.198000-07:00
2025-11-15,PS5 Pro Launch Global,18a0101,304.40,1238462,11437,0.924,2059,18299,2026-05-04 11:41:58.198000-07:00
2025-11-16,PS5 Pro Launch Global,18a0101,288.00,1238462,12533,1.012,2256,20053,2026-05-04 11:41:58.198000-07:00
2025-11-17,PS5 Pro Launch Global,18a0101,252.52,1076923,11175,1.038,2012,17880,2026-05-04 11:41:58.198000-07:00
2025-11-18,PS5 Pro Launch Global,18a0101,386.20,1076923,9584,0.890,1725,15334,2026-05-04 11:41:58.198000-07:00
2025-11-19,PS5 Pro Launch Global,18a0101,252.82,1076923,8481,0.788,1527,13570,2026-05-04 11:41:58.198000-07:00
2025-11-20,PS5 Pro Launch Global,18a0101,318.77,1076923,10959,1.018,1973,17534,2026-05-04 11:41:58.198000-07:00
2025-11-21,PS5 Pro Launch Global,18a0101,262.02,1076923,8503,0.790,1531,13605,2026-05-04 11:41:58.198000-07:00
2025-11-22,PS5 Pro Launch Global,18a0101,311.58,1238462,11644,0.940,2096,18630,2026-05-04 11:41:58.198000-07:00
2025-11-23,PS5 Pro Launch Global,18a0101,295.18,1238462,14797,1.195,2663,23675,2026-05-04 11:41:58.198000-07:00
2025-11-24,PS5 Pro Launch Global,18a0101,221.62,1076923,9139,0.849,1645,14622,2026-05-04 11:41:58.198000-07:00
2025-11-25,PS5 Pro Launch Global,18a0101,215.38,1076923,13574,1.260,2443,21718,2026-05-04 11:41:58.198000-07:00
2025-11-26,PS5 Pro Launch Global,18a0101,280.44,1076923,11717,1.088,2109,18747,2026-05-04 11:41:58.198000-07:00
2025-11-27,PS5 Pro Launch Global,18a0101,376.40,1076923,8956,0.832,1612,14330,2026-05-04 11:41:58.198000-07:00
2025-11-28,PS5 Pro Launch Global,18a0101,484.12,2261538,15071,0.666,2713,24114,2026-05-04 11:41:58.198000-07:00
2025-11-29,PS5 Pro Launch Global,18a0101,527.32,2600769,19778,0.761,3560,31645,2026-05-04 11:41:58.198000-07:00
2025-11-30,PS5 Pro Launch Global,18a0101,755.47,2600769,21772,0.837,3919,34835,2026-05-04 11:41:58.198000-07:00
2025-12-01,PS5 Pro Launch Global,18a0101,572.09,2261538,25953,1.148,4672,41525,2026-05-04 11:41:58.198000-07:00
2025-12-02,PS5 Pro Launch Global,18a0101,644.46,2261538,18027,0.797,3245,28843,2026-05-04 11:41:58.198000-07:00
2025-12-03,PS5 Pro Launch Global,18a0101,744.90,2261538,22042,0.975,3968,35267,2026-05-04 11:41:58.198000-07:00
2025-12-04,PS5 Pro Launch Global,18a0101,699.98,2261538,21305,0.942,3835,34088,2026-05-04 11:41:58.198000-07:00
2025-12-05,PS5 Pro Launch Global,18a0101,502.21,2261538,21239,0.939,3823,33982,2026-05-04 11:41:58.198000-07:00
2025-12-06,PS5 Pro Launch Global,18a0101,662.20,2600769,24905,0.958,4483,39848,2026-05-04 11:41:58.198000-07:00
2025-12-07,PS5 Pro Launch Global,18a0101,896.81,2600769,20925,0.805,3767,33480,2026-05-04 11:41:58.198000-07:00
2025-12-08,PS5 Pro Launch Global,18a0101,595.79,2261538,24678,1.091,4442,39485,2026-05-04 11:41:58.198000-07:00
2025-12-09,PS5 Pro Launch Global,18a0101,759.25,2261538,21249,0.940,3825,33998,2026-05-04 11:41:58.198000-07:00
2025-12-10,PS5 Pro Launch Global,18a0101,726.81,2261538,22250,0.984,4005,35600,2026-05-04 11:41:58.198000-07:00
2025-12-11,PS5 Pro Launch Global,18a0101,625.74,2261538,15994,0.707,2879,25590,2026-05-04 11:41:58.198000-07:00
2025-12-12,PS5 Pro Launch Global,18a0101,527.17,2261538,16109,0.712,2900,25774,2026-05-04 11:41:58.198000-07:00
2025-12-13,PS5 Pro Launch Global,18a0101,729.65,2600769,22795,0.877,4103,36472,2026-05-04 11:41:58.198000-07:00
2025-12-14,PS5 Pro Launch Global,18a0101,606.24,2600769,17914,0.689,3225,28662,2026-05-04 11:41:58.198000-07:00
2025-12-15,PS5 Pro Launch Global,18a0101,490.98,2261538,17146,0.758,3086,27434,2026-05-04 11:41:58.198000-07:00
2025-11-01,PS5 Pro Launch Global,18a0101,324.22,1238462,18329,1.480,3299,29326,2026-05-04 11:41:58.198000-07:00
2025-11-02,PS5 Pro Launch Global,18a0101,409.63,1238462,11671,0.942,2101,18674,2026-05-04 11:41:58.198000-07:00
2025-11-03,PS5 Pro Launch Global,18a0101,234.99,1076923,12822,1.191,2308,20515,2026-05-04 11:41:58.198000-07:00
2025-11-04,PS5 Pro Launch Global,18a0101,226.97,1076923,15346,1.425,2762,24554,2026-05-04 11:41:58.198000-07:00
2025-11-05,PS5 Pro Launch Global,18a0101,276.88,1076923,12614,1.171,2271,20182,2026-05-04 11:41:58.198000-07:00
2025-11-06,PS5 Pro Launch Global,18a0101,216.27,1076923,9615,0.893,1731,15384,2026-05-04 11:41:58.198000-07:00
2025-11-07,PS5 Pro Launch Global,18a0101,1143.64,3446154,26574,0.771,4783,42518,2026-05-04 11:41:58.198000-07:00
2025-11-08,PS5 Pro Launch Global,18a0101,391.18,1238462,17186,1.388,3093,27498,2026-05-04 11:41:58.198000-07:00
2025-11-09,PS5 Pro Launch Global,18a0101,343.35,1238462,16808,1.357,3025,26893,2026-05-04 11:41:58.198000-07:00
2025-11-10,PS5 Pro Launch Global,18a0101,279.85,1076923,10194,0.947,1835,16310,2026-05-04 11:41:58.198000-07:00
2025-11-11,PS5 Pro Launch Global,18a0101,354.42,1076923,7926,0.736,1427,12682,2026-05-04 11:41:58.198000-07:00
2025-11-12,PS5 Pro Launch Global,18a0101,260.54,1076923,12670,1.177,2281,20272,2026-05-04 11:41:58.198000-07:00
2025-11-13,PS5 Pro Launch Global,18a0101,235.88,1076923,10125,0.940,1823,16200,2026-05-04 11:41:58.198000-07:00
2025-11-14,PS5 Pro Launch Global,18a0101,247.47,1076923,10228,0.950,1841,16365,2026-05-04 11:41:58.198000-07:00
2025-11-15,PS5 Pro Launch Global,18a0101,275.36,1238462,16826,1.359,3029,26922,2026-05-04 11:41:58.198000-07:00
2025-11-16,PS5 Pro Launch Global,18a0101,406.90,1238462,12860,1.038,2315,20576,2026-05-04 11:41:58.198000-07:00
2025-11-17,PS5 Pro Launch Global,18a0101,353.53,1076923,8264,0.767,1488,13222,2026-05-04 11:41:58.198000-07:00
2025-11-18,PS5 Pro Launch Global,18a0101,313.12,1076923,13585,1.262,2445,21736,2026-05-04 11:41:58.198000-07:00
2025-11-19,PS5 Pro Launch Global,18a0101,230.83,1076923,14289,1.327,2572,22862,2026-05-04 11:41:58.198000-07:00
2025-11-20,PS5 Pro Launch Global,18a0101,292.62,1076923,13333,1.238,2400,21333,2026-05-04 11:41:58.198000-07:00
2025-11-21,PS5 Pro Launch Global,18a0101,286.09,1076923,8865,0.823,1596,14184,2026-05-04 11:41:58.198000-07:00
2025-11-22,PS5 Pro Launch Global,18a0101,352.57,1238462,11644,0.940,2096,18630,2026-05-04 11:41:58.198000-07:00
2025-11-23,PS5 Pro Launch Global,18a0101,395.62,1238462,14593,1.178,2627,23349,2026-05-04 11:41:58.198000-07:00
2025-11-24,PS5 Pro Launch Global,18a0101,224.59,1076923,9930,0.922,1787,15888,2026-05-04 11:41:58.198000-07:00
2025-11-25,PS5 Pro Launch Global,18a0101,269.45,1076923,7048,0.655,1269,11277,2026-05-04 11:41:58.198000-07:00
2025-11-26,PS5 Pro Launch Global,18a0101,270.05,1076923,11975,1.112,2156,19160,2026-05-04 11:41:58.198000-07:00
2025-11-27,PS5 Pro Launch Global,18a0101,220.14,1076923,9894,0.919,1781,15830,2026-05-04 11:41:58.198000-07:00
2025-11-28,PS5 Pro Launch Global,18a0101,562.73,2261538,19681,0.870,3543,31490,2026-05-04 11:41:58.198000-07:00
2025-11-29,PS5 Pro Launch Global,18a0101,708.12,2600769,19980,0.768,3596,31968,2026-05-04 11:41:58.198000-07:00
2025-11-30,PS5 Pro Launch Global,18a0101,619.16,2600769,24368,0.937,4386,38989,2026-05-04 11:41:58.198000-07:00
2025-12-01,PS5 Pro Launch Global,18a0101,630.73,2261538,22000,0.973,3960,35200,2026-05-04 11:41:58.198000-07:00
2025-12-02,PS5 Pro Launch Global,18a0101,459.17,2261538,14456,0.639,2602,23130,2026-05-04 11:41:58.198000-07:00
2025-12-03,PS5 Pro Launch Global,18a0101,665.67,2261538,21874,0.967,3937,34998,2026-05-04 11:41:58.198000-07:00
2025-12-04,PS5 Pro Launch Global,18a0101,540.27,2261538,21638,0.957,3895,34621,2026-05-04 11:41:58.198000-07:00
2025-12-05,PS5 Pro Launch Global,18a0101,645.08,2261538,16793,0.743,3023,26869,2026-05-04 11:41:58.198000-07:00
2025-12-06,PS5 Pro Launch Global,18a0101,901.11,2600769,20411,0.785,3674,32658,2026-05-04 11:41:58.198000-07:00
2025-12-07,PS5 Pro Launch Global,18a0101,832.96,2600769,16481,0.634,2967,26370,2026-05-04 11:41:58.198000-07:00
2025-12-08,PS5 Pro Launch Global,18a0101,759.25,2261538,17673,0.782,3181,28277,2026-05-04 11:41:58.198000-07:00
2025-12-09,PS5 Pro Launch Global,18a0101,801.67,2261538,19046,0.842,3428,30474,2026-05-04 11:41:58.198000-07:00
2025-12-10,PS5 Pro Launch Global,18a0101,565.85,2261538,18982,0.839,3417,30371,2026-05-04 11:41:58.198000-07:00
2025-12-11,PS5 Pro Launch Global,18a0101,751.76,2261538,13841,0.612,2491,22146,2026-05-04 11:41:58.198000-07:00
2025-12-12,PS5 Pro Launch Global,18a0101,634.47,2261538,15501,0.685,2790,24802,2026-05-04 11:41:58.198000-07:00
2025-12-13,PS5 Pro Launch Global,18a0101,537.37,2600769,25558,0.983,4600,40893,2026-05-04 11:41:58.198000-07:00
2025-12-14,PS5 Pro Launch Global,18a0101,754.76,2600769,22179,0.853,3992,35486,2026-05-04 11:41:58.198000-07:00
2025-12-15,PS5 Pro Launch Global,18a0101,738.66,2261538,16853,0.745,3034,26965,2026-05-04 11:41:58.198000-07:00
2025-11-01,PS5 Pro Launch Global,18a0101,260.33,1238462,10032,0.810,1806,16051,2026-05-04 11:41:58.198000-07:00
2025-11-02,PS5 Pro Launch Global,18a0101,364.53,1238462,18060,1.458,3251,28896,2026-05-04 11:41:58.198000-07:00
2025-11-03,PS5 Pro Launch Global,18a0101,265.59,1076923,15048,1.397,2709,24077,2026-05-04 11:41:58.198000-07:00
2025-11-04,PS5 Pro Launch Global,18a0101,327.68,1076923,13033,1.210,2346,20853,2026-05-04 11:41:58.198000-07:00
2025-11-05,PS5 Pro Launch Global,18a0101,314.31,1076923,13344,1.239,2402,21350,2026-05-04 11:41:58.198000-07:00
2025-11-06,PS5 Pro Launch Global,18a0101,347.29,1076923,14267,1.325,2568,22827,2026-05-04 11:41:58.198000-07:00
2025-11-07,PS5 Pro Launch Global,18a0101,841.33,3446154,38385,1.114,6909,61416,2026-05-04 11:41:58.198000-07:00
2025-11-08,PS5 Pro Launch Global,18a0101,262.04,1238462,13679,1.105,2462,21886,2026-05-04 11:41:58.198000-07:00
2025-11-09,PS5 Pro Launch Global,18a0101,358.72,1238462,16577,1.339,2984,26523,2026-05-04 11:41:58.198000-07:00
2025-11-10,PS5 Pro Launch Global,18a0101,327.68,1076923,8495,0.789,1529,13592,2026-05-04 11:41:58.198000-07:00
2025-11-11,PS5 Pro Launch Global,18a0101,293.52,1076923,13177,1.224,2372,21083,2026-05-04 11:41:58.198000-07:00
2025-11-12,PS5 Pro Launch Global,18a0101,254.00,1076923,9920,0.921,1786,15872,2026-05-04 11:41:58.198000-07:00
2025-11-13,PS5 Pro Launch Global,18a0101,259.65,1076923,7886,0.732,1419,12618,2026-05-04 11:41:58.198000-07:00
2025-11-14,PS5 Pro Launch Global,18a0101,275.10,1076923,9070,0.842,1633,14512,2026-05-04 11:41:58.198000-07:00
2025-11-15,PS5 Pro Launch Global,18a0101,400.06,1238462,10448,0.844,1881,16717,2026-05-04 11:41:58.198000-07:00
2025-11-16,PS5 Pro Launch Global,18a0101,243.59,1238462,15912,1.285,2864,25459,2026-05-04 11:41:58.198000-07:00
2025-11-17,PS5 Pro Launch Global,18a0101,255.49,1076923,11363,1.055,2045,18181,2026-05-04 11:41:58.198000-07:00
2025-11-18,PS5 Pro Launch Global,18a0101,336.00,1076923,13957,1.296,2512,22331,2026-05-04 11:41:58.198000-07:00
2025-11-19,PS5 Pro Launch Global,18a0101,361.55,1076923,13551,1.258,2439,21682,2026-05-04 11:41:58.198000-07:00
2025-11-20,PS5 Pro Launch Global,18a0101,247.17,1076923,13881,1.289,2499,22210,2026-05-04 11:41:58.198000-07:00
2025-11-21,PS5 Pro Launch Global,18a0101,282.82,1076923,7961,0.739,1433,12738,2026-05-04 11:41:58.198000-07:00
2025-11-22,PS5 Pro Launch Global,18a0101,378.20,1238462,16074,1.298,2893,25718,2026-05-04 11:41:58.198000-07:00
2025-11-23,PS5 Pro Launch Global,18a0101,314.31,1238462,9491,0.766,1708,15186,2026-05-04 11:41:58.198000-07:00
2025-11-24,PS5 Pro Launch Global,18a0101,216.87,1076923,10985,1.020,1977,17576,2026-05-04 11:41:58.198000-07:00
2025-11-25,PS5 Pro Launch Global,18a0101,336.00,1076923,12443,1.155,2240,19909,2026-05-04 11:41:58.198000-07:00
2025-11-26,PS5 Pro Launch Global,18a0101,240.34,1076923,8357,0.776,1504,13371,2026-05-04 11:41:58.198000-07:00
2025-11-27,PS5 Pro Launch Global,18a0101,336.29,1076923,10064,0.935,1812,16102,2026-05-04 11:41:58.198000-07:00
2025-11-28,PS5 Pro Launch Global,18a0101,499.09,2261538,18085,0.800,3255,28936,2026-05-04 11:41:58.198000-07:00
2025-11-29,PS5 Pro Launch Global,18a0101,732.51,2600769,17962,0.691,3233,28739,2026-05-04 11:41:58.198000-07:00
