REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,COST_MICROS,SPEND,IMPRESSIONS,CLICKS,KEYWORD,MATCH_TYPE,QUALITY_SCORE,AVG_POSITION,SEARCH_IMPRESSION_SHARE,LOADED_AT
2025-11-30,PS5 Pro Launch Global,765-432-8102,1403943635,1403.94,10350000,67565,best ps5 games,BROAD,9.7,1.27,0.936,2026-05-04 11:41:49.301000-07:00
2025-12-01,PS5 Pro Launch Global,765-432-8102,1788718680,1788.72,9000000,80028,best ps5 games,EXACT,7.0,1.75,0.497,2026-05-04 11:41:49.301000-07:00
2025-12-02,PS5 Pro Launch Global,765-432-8102,1135796256,1135.80,9000000,94075,best ps5 games,PHRASE,9.6,3.19,0.949,2026-05-04 11:41:49.301000-07:00
2025-12-03,PS5 Pro Launch Global,765-432-8102,1801552536,1801.55,9000000,80352,best ps5 games,EXACT,6.7,2.94,0.805,2026-05-04 11:41:49.301000-07:00
2025-12-04,PS5 Pro Launch Global,765-432-8102,1926682632,1926.68,9000000,85450,best ps5 games,PHRASE,7.7,2.28,0.873,2026-05-04 11:41:49.301000-07:00
2025-12-05,PS5 Pro Launch Global,765-432-8102,1658775888,1658.78,9000000,56347,best ps5 games,PHRASE,6.4,2.55,0.605,2026-05-04 11:41:49.301000-07:00
2025-12-06,PS5 Pro Launch Global,765-432-8102,1918661472,1918.66,10350000,96131,best ps5 games,BROAD,8.9,3.16,0.656,2026-05-04 11:41:49.301000-07:00
2025-12-07,PS5 Pro Launch Global,765-432-8102,1638241718,1638.24,10350000,117907,best ps5 games,PHRASE,8.9,2.90,0.779,2026-05-04 11:41:49.301000-07:00
2025-12-08,PS5 Pro Launch Global,765-432-8102,1820803320,1820.80,9000000,55757,best ps5 games,BROAD,9.9,3.12,0.624,2026-05-04 11:41:49.301000-07:00
2025-12-09,PS5 Pro Launch Global,765-432-8102,1788718680,1788.72,9000000,79553,best ps5 games,BROAD,6.4,1.23,0.628,2026-05-04 11:41:49.301000-07:00
2025-12-10,PS5 Pro Launch Global,765-432-8102,1195152840,1195.15,9000000,88546,best ps5 games,PHRASE,6.3,1.53,0.873,2026-05-04 11:41:49.301000-07:00
2025-12-12,PS5 Pro Launch Global,765-432-8102,2083897368,2083.90,9000000,50198,best ps5 games,BROAD,8.0,3.09,0.675,2026-05-04 11:41:49.301000-07:00
2025-12-13,PS5 Pro Launch Global,765-432-8102,1462979372,1462.98,10350000,54979,best ps5 games,PHRASE,9.4,1.23,0.537,2026-05-04 11:41:49.301000-07:00
2025-12-14,PS5 Pro Launch Global,765-432-8102,2300548900,2300.55,10350000,88944,best ps5 games,EXACT,9.2,2.63,0.918,2026-05-04 11:41:49.301000-07:00
2025-12-15,PS5 Pro Launch Global,765-432-8102,1560917736,1560.92,9000000,93312,best ps5 games,EXACT,8.0,2.90,0.902,2026-05-04 11:41:49.301000-07:00
2025-11-01,PS5 Pro Launch Global,765-432-8102,1003256136,1003.26,4928571,43371,best ps5 games,EXACT,8.1,1.49,0.869,2026-05-04 11:41:49.301000-07:00
2025-11-02,PS5 Pro Launch Global,765-432-8102,1050695568,1050.70,4928571,73337,best ps5 games,BROAD,7.2,1.79,0.724,2026-05-04 11:41:49.301000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-8102,870868800,870.87,4285714,56931,best ps5 games,EXACT,7.7,1.49,0.486,2026-05-04 11:41:49.301000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-8102,784545840,784.55,4285714,44338,best ps5 games,PHRASE,7.3,3.18,0.487,2026-05-04 11:41:49.301000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-8102,913648320,913.65,4285714,53102,best ps5 games,BROAD,9.0,2.07,0.484,2026-05-04 11:41:49.301000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-8102,678360960,678.36,4285714,37851,best ps5 games,EXACT,8.6,2.56,0.455,2026-05-04 11:41:49.301000-07:00
2025-11-07,PS5 Pro Launch Global,765-432-8102,2755001088,2755.00,13714286,124032,best ps5 games,EXACT,7.3,1.53,0.483,2026-05-04 11:41:49.301000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-8102,834582600,834.58,4928571,64671,best ps5 games,EXACT,8.0,1.81,0.481,2026-05-04 11:41:49.301000-07:00
2025-11-09,PS5 Pro Launch Global,765-432-8102,715984020,715.98,4928571,62277,best ps5 games,EXACT,6.2,1.96,0.808,2026-05-04 11:41:49.301000-07:00
2025-11-10,PS5 Pro Launch Global,765-432-8102,971706240,971.71,4285714,52498,best ps5 games,PHRASE,6.4,2.22,0.838,2026-05-04 11:41:49.301000-07:00
2025-11-11,PS5 Pro Launch Global,765-432-8102,690583680,690.58,4285714,48891,best ps5 games,EXACT,6.7,2.82,0.575,2026-05-04 11:41:49.301000-07:00
2025-11-12,PS5 Pro Launch Global,765-432-8102,676833120,676.83,4285714,33223,best ps5 games,PHRASE,6.2,2.38,0.533,2026-05-04 11:41:49.301000-07:00
2025-11-13,PS5 Pro Launch Global,765-432-8102,668430000,668.43,4285714,60826,best ps5 games,PHRASE,9.6,3.20,0.893,2026-05-04 11:41:49.301000-07:00
2025-11-14,PS5 Pro Launch Global,765-432-8102,683708400,683.71,4285714,60672,best ps5 games,EXACT,7.7,2.11,0.642,2026-05-04 11:41:49.301000-07:00
2025-11-15,PS5 Pro Launch Global,765-432-8102,670301604,670.30,4928571,67837,best ps5 games,PHRASE,6.9,1.29,0.569,2026-05-04 11:41:49.301000-07:00
2025-11-16,PS5 Pro Launch Global,765-432-8102,1132396812,1132.40,4928571,47709,best ps5 games,EXACT,9.5,1.55,0.613,2026-05-04 11:41:49.301000-07:00
2025-11-17,PS5 Pro Launch Global,765-432-8102,878508000,878.51,4285714,29897,best ps5 games,BROAD,9.2,3.13,0.840,2026-05-04 11:41:49.301000-07:00
2025-11-18,PS5 Pro Launch Global,765-432-8102,614191680,614.19,4285714,34066,best ps5 games,PHRASE,9.9,1.88,0.878,2026-05-04 11:41:49.301000-07:00
2025-11-20,PS5 Pro Launch Global,765-432-8102,889202880,889.20,4285714,38887,best ps5 games,PHRASE,6.1,1.82,0.619,2026-05-04 11:41:49.301000-07:00
2025-11-21,PS5 Pro Launch Global,765-432-8102,814338720,814.34,4285714,47160,best ps5 games,EXACT,8.4,2.37,0.912,2026-05-04 11:41:49.301000-07:00
2025-11-22,PS5 Pro Launch Global,765-432-8102,1055966616,1055.97,4928571,62739,best ps5 games,EXACT,7.9,2.95,0.928,2026-05-04 11:41:49.301000-07:00
2025-11-23,PS5 Pro Launch Global,765-432-8102,740582244,740.58,4928571,50358,best ps5 games,EXACT,7.7,2.10,0.609,2026-05-04 11:41:49.301000-07:00
2025-11-24,PS5 Pro Launch Global,765-432-8102,809755200,809.76,4285714,54905,best ps5 games,BROAD,8.0,1.84,0.528,2026-05-04 11:41:49.301000-07:00
2025-11-25,PS5 Pro Launch Global,765-432-8102,835728480,835.73,4285714,42939,best ps5 games,EXACT,8.8,2.69,0.761,2026-05-04 11:41:49.301000-07:00
2025-11-26,PS5 Pro Launch Global,765-432-8102,663082560,663.08,4285714,31200,best ps5 games,EXACT,8.9,1.73,0.508,2026-05-04 11:41:49.301000-07:00
2025-11-27,PS5 Pro Launch Global,765-432-8102,572176080,572.18,4285714,45483,best ps5 games,EXACT,9.8,1.75,0.762,2026-05-04 11:41:49.301000-07:00
2025-11-28,PS5 Pro Launch Global,765-432-8102,1560917736,1560.92,9000000,100195,best ps5 games,PHRASE,6.1,1.91,0.811,2026-05-04 11:41:49.301000-07:00
2025-11-29,PS5 Pro Launch Global,765-432-8102,1597654649,1597.65,10350000,106017,best ps5 games,EXACT,8.9,1.95,0.837,2026-05-04 11:41:49.301000-07:00
2025-11-30,PS5 Pro Launch Global,765-432-8102,1479583174,1479.58,10350000,107309,best ps5 games,BROAD,9.6,1.77,0.488,2026-05-04 11:41:49.301000-07:00
2025-12-01,PS5 Pro Launch Global,765-432-8102,1684443600,1684.44,9000000,64296,best ps5 games,EXACT,6.1,2.32,0.862,2026-05-04 11:41:49.301000-07:00
2025-12-02,PS5 Pro Launch Global,765-432-8102,1698881688,1698.88,9000000,105581,best ps5 games,BROAD,9.6,2.43,0.599,2026-05-04 11:41:49.301000-07:00
2025-12-03,PS5 Pro Launch Global,765-432-8102,1447017264,1447.02,9000000,91066,best ps5 games,PHRASE,6.6,1.71,0.874,2026-05-04 11:41:49.301000-07:00
2025-12-04,PS5 Pro Launch Global,765-432-8102,1803156768,1803.16,9000000,101347,best ps5 games,PHRASE,7.0,1.75,0.666,2026-05-04 11:41:49.301000-07:00
2025-12-05,PS5 Pro Launch Global,765-432-8102,1150234344,1150.23,9000000,72727,best ps5 games,PHRASE,7.4,2.27,0.768,2026-05-04 11:41:49.301000-07:00
2025-12-06,PS5 Pro Launch Global,765-432-8102,2352205170,2352.21,10350000,99112,best ps5 games,PHRASE,6.1,3.13,0.558,2026-05-04 11:41:49.301000-07:00
2025-12-07,PS5 Pro Launch Global,765-432-8102,1926040939,1926.04,10350000,93589,best ps5 games,PHRASE,7.9,1.31,0.857,2026-05-04 11:41:49.301000-07:00
2025-12-08,PS5 Pro Launch Global,765-432-8102,1440600336,1440.60,9000000,58925,best ps5 games,BROAD,7.9,2.19,0.919,2026-05-04 11:41:49.301000-07:00
2025-12-09,PS5 Pro Launch Global,765-432-8102,1299427920,1299.43,9000000,72036,best ps5 games,EXACT,6.1,3.18,0.679,2026-05-04 11:41:49.301000-07:00
2025-12-10,PS5 Pro Launch Global,765-432-8102,1358784504,1358.78,9000000,63778,best ps5 games,PHRASE,9.9,1.50,0.914,2026-05-04 11:41:49.301000-07:00
2025-12-12,PS5 Pro Launch Global,765-432-8102,1628295480,1628.30,9000000,81648,best ps5 games,EXACT,9.9,3.14,0.622,2026-05-04 11:41:49.301000-07:00
2025-12-13,PS5 Pro Launch Global,765-432-8102,1617948184,1617.95,10350000,101024,best ps5 games,BROAD,6.1,2.99,0.756,2026-05-04 11:41:49.301000-07:00
2025-12-14,PS5 Pro Launch Global,765-432-8102,1874384669,1874.38,10350000,54317,best ps5 games,BROAD,6.9,2.77,0.808,2026-05-04 11:41:49.301000-07:00
2025-12-15,PS5 Pro Launch Global,765-432-8102,1748612880,1748.61,9000000,47822,best ps5 games,BROAD,7.6,2.67,0.513,2026-05-04 11:41:49.301000-07:00
2025-11-01,PS5 Pro Launch Global,765-432-8102,1070022744,1070.02,4928571,58157,best ps5 games,BROAD,9.1,2.24,0.607,2026-05-04 11:41:49.301000-07:00
2025-11-02,PS5 Pro Launch Global,765-432-8102,777479580,777.48,4928571,78226,best ps5 games,PHRASE,7.2,2.13,0.884,2026-05-04 11:41:49.301000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-8102,805171680,805.17,4285714,64944,best ps5 games,EXACT,7.1,2.89,0.480,2026-05-04 11:41:49.301000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-8102,898369920,898.37,4285714,61906,best ps5 games,PHRASE,7.1,3.01,0.524,2026-05-04 11:41:49.301000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-8102,675305280,675.31,4285714,56835,best ps5 games,EXACT,8.5,3.06,0.775,2026-05-04 11:41:49.301000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-8102,928162800,928.16,4285714,39909,best ps5 games,EXACT,9.4,2.00,0.915,2026-05-04 11:41:49.301000-07:00
2025-11-07,PS5 Pro Launch Global,765-432-8102,2769668352,2769.67,13714286,159283,best ps5 games,PHRASE,8.3,2.23,0.921,2026-05-04 11:41:49.301000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-8102,897835176,897.84,4928571,43734,best ps5 games,EXACT,9.1,2.71,0.855,2026-05-04 11:41:49.301000-07:00
2025-11-09,PS5 Pro Launch Global,765-432-8102,626376204,626.38,4928571,52129,best ps5 games,PHRASE,9.3,2.65,0.573,2026-05-04 11:41:49.301000-07:00
2025-11-10,PS5 Pro Launch Global,765-432-8102,819686160,819.69,4285714,50510,best ps5 games,BROAD,6.4,2.76,0.858,2026-05-04 11:41:49.301000-07:00
2025-11-11,PS5 Pro Launch Global,765-432-8102,828853200,828.85,4285714,59931,best ps5 games,EXACT,8.7,1.91,0.560,2026-05-04 11:41:49.301000-07:00
2025-11-12,PS5 Pro Launch Global,765-432-8102,808227360,808.23,4285714,32050,best ps5 games,PHRASE,8.4,2.31,0.574,2026-05-04 11:41:49.301000-07:00
2025-11-13,PS5 Pro Launch Global,765-432-8102,703570320,703.57,4285714,31769,best ps5 games,BROAD,6.6,2.01,0.641,2026-05-04 11:41:49.301000-07:00
2025-11-14,PS5 Pro Launch Global,765-432-8102,962539200,962.54,4285714,43776,best ps5 games,EXACT,9.6,1.31,0.652,2026-05-04 11:41:49.301000-07:00
2025-11-15,PS5 Pro Launch Global,765-432-8102,1027854360,1027.85,4928571,69587,best ps5 games,BROAD,7.7,2.49,0.781,2026-05-04 11:41:49.301000-07:00
2025-11-16,PS5 Pro Launch Global,765-432-8102,1043667504,1043.67,4928571,39468,best ps5 games,EXACT,8.1,1.94,0.641,2026-05-04 11:41:49.301000-07:00
2025-11-17,PS5 Pro Launch Global,765-432-8102,786837600,786.84,4285714,36998,best ps5 games,BROAD,6.6,2.80,0.571,2026-05-04 11:41:49.301000-07:00
2025-11-18,PS5 Pro Launch Global,765-432-8102,720376560,720.38,4285714,41102,best ps5 games,BROAD,6.8,2.97,0.533,2026-05-04 11:41:49.301000-07:00
2025-11-20,PS5 Pro Launch Global,765-432-8102,693639360,693.64,4285714,44338,best ps5 games,PHRASE,9.2,1.67,0.635,2026-05-04 11:41:49.301000-07:00
2025-11-21,PS5 Pro Launch Global,765-432-8102,695167200,695.17,4285714,55080,best ps5 games,EXACT,8.5,2.19,0.705,2026-05-04 11:41:49.301000-07:00
2025-11-22,PS5 Pro Launch Global,765-432-8102,1070901252,1070.90,4928571,45516,best ps5 games,EXACT,7.3,1.51,0.530,2026-05-04 11:41:49.301000-07:00
2025-11-23,PS5 Pro Launch Global,765-432-8102,753759864,753.76,4928571,62542,best ps5 games,PHRASE,6.9,3.10,0.464,2026-05-04 11:41:49.301000-07:00
2025-11-24,PS5 Pro Launch Global,765-432-8102,889202880,889.20,4285714,49659,best ps5 games,EXACT,6.0,1.26,0.590,2026-05-04 11:41:49.301000-07:00
2025-11-25,PS5 Pro Launch Global,765-432-8102,751697280,751.70,4285714,41901,best ps5 games,EXACT,8.5,1.66,0.657,2026-05-04 11:41:49.301000-07:00
2025-11-26,PS5 Pro Launch Global,765-432-8102,815866560,815.87,4285714,27771,best ps5 games,EXACT,9.1,2.12,0.903,2026-05-04 11:41:49.301000-07:00
2025-11-27,PS5 Pro Launch Global,765-432-8102,721140480,721.14,4285714,45144,best ps5 games,EXACT,7.2,2.65,0.497,2026-05-04 11:41:49.301000-07:00
2025-11-28,PS5 Pro Launch Global,765-432-8102,1747008648,1747.01,9000000,93139,best ps5 games,PHRASE,7.9,2.97,0.614,2026-05-04 11:41:49.301000-07:00
2025-11-29,PS5 Pro Launch Global,765-432-8102,1903902538,1903.90,10350000,81922,best ps5 games,PHRASE,6.7,1.38,0.812,2026-05-04 11:41:49.301000-07:00
2025-11-30,PS5 Pro Launch Global,765-432-8102,2088389218,2088.39,10350000,66770,best ps5 games,BROAD,6.8,1.66,0.768,2026-05-04 11:41:49.301000-07:00
2025-12-01,PS5 Pro Launch Global,765-432-8102,1925078400,1925.08,9000000,75924,best ps5 games,EXACT,7.1,2.98,0.708,2026-05-04 11:41:49.301000-07:00
2025-12-02,PS5 Pro Launch Global,765-432-8102,1188735912,1188.74,9000000,59558,best ps5 games,BROAD,9.1,2.65,0.658,2026-05-04 11:41:49.301000-07:00
2025-12-03,PS5 Pro Launch Global,765-432-8102,1179110520,1179.11,9000000,103118,best ps5 games,BROAD,6.5,2.31,0.869,2026-05-04 11:41:49.301000-07:00
2025-12-04,PS5 Pro Launch Global,765-432-8102,1702090152,1702.09,9000000,105322,best ps5 games,PHRASE,6.7,1.21,0.729,2026-05-04 11:41:49.301000-07:00
2025-12-05,PS5 Pro Launch Global,765-432-8102,1901014920,1901.01,9000000,57002,best ps5 games,BROAD,8.0,1.69,0.611,2026-05-04 11:41:49.301000-07:00
2025-12-06,PS5 Pro Launch Global,765-432-8102,2317152701,2317.15,10350000,78991,best ps5 games,PHRASE,6.8,1.97,0.848,2026-05-04 11:41:49.301000-07:00
2025-12-07,PS5 Pro Launch Global,765-432-8102,1985076677,1985.08,10350000,64849,best ps5 games,PHRASE,7.5,2.88,0.567,2026-05-04 11:41:49.301000-07:00
2025-12-08,PS5 Pro Launch Global,765-432-8102,1358784504,1358.78,9000000,55123,best ps5 games,PHRASE,8.4,2.04,0.716,2026-05-04 11:41:49.301000-07:00
2025-12-09,PS5 Pro Launch Global,765-432-8102,1212799392,1212.80,9000000,81432,best ps5 games,EXACT,7.1,2.10,0.890,2026-05-04 11:41:49.301000-07:00
2025-12-10,PS5 Pro Launch Global,765-432-8102,1355576040,1355.58,9000000,52632,best ps5 games,EXACT,8.4,2.77,0.867,2026-05-04 11:41:49.301000-07:00
2025-12-12,PS5 Pro Launch Global,765-432-8102,1713319776,1713.32,9000000,50198,best ps5 games,BROAD,7.7,2.52,0.845,2026-05-04 11:41:49.301000-07:00
2025-12-13,PS5 Pro Launch Global,765-432-8102,1985076677,1985.08,10350000,58415,best ps5 games,BROAD,6.6,1.90,0.635,2026-05-04 11:41:49.301000-07:00
2025-12-14,PS5 Pro Launch Global,765-432-8102,1551532979,1551.53,10350000,105918,best ps5 games,EXACT,7.7,1.31,0.569,2026-05-04 11:41:49.301000-07:00
2025-12-15,PS5 Pro Launch Global,765-432-8102,1976413824,1976.41,9000000,47822,best ps5 games,BROAD,9.0,1.53,0.852,2026-05-04 11:41:49.301000-07:00
2025-11-01,PS5 Pro Launch Global,765-432-8102,1082321856,1082.32,4928571,72450,best ps5 games,EXACT,9.9,2.79,0.938,2026-05-04 11:41:49.301000-07:00
2025-11-02,PS5 Pro Launch Global,765-432-8102,989200008,989.20,4928571,52803,best ps5 games,EXACT,7.4,1.89,0.705,2026-05-04 11:41:49.301000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-8102,691347600,691.35,4285714,61149,best ps5 games,EXACT,9.1,1.82,0.803,2026-05-04 11:41:49.301000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-8102,594329760,594.33,4285714,34718,best ps5 games,BROAD,7.9,2.60,0.834,2026-05-04 11:41:49.301000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-8102,620303040,620.30,4285714,52687,best ps5 games,PHRASE,7.7,1.35,0.772,2026-05-04 11:41:49.301000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-8102,904481280,904.48,4285714,51840,best ps5 games,EXACT,7.1,2.97,0.478,2026-05-04 11:41:49.301000-07:00
2025-11-07,PS5 Pro Launch Global,765-432-8102,1747848960,1747.85,13714286,201062,best ps5 games,BROAD,7.7,3.06,0.815,2026-05-04 11:41:49.301000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-8102,816133932,816.13,4928571,49783,best ps5 games,PHRASE,8.3,1.97,0.590,2026-05-04 11:41:49.301000-07:00
2025-11-09,PS5 Pro Launch Global,765-432-8102,853031268,853.03,4928571,55819,best ps5 games,PHRASE,6.9,1.95,0.798,2026-05-04 11:41:49.301000-07:00
2025-11-10,PS5 Pro Launch Global,765-432-8102,993096000,993.10,4285714,43351,best ps5 games,PHRASE,6.1,1.61,0.569,2026-05-04 11:41:49.301000-07:00
2025-11-11,PS5 Pro Launch Global,765-432-8102,771559200,771.56,4285714,48497,best ps5 games,BROAD,9.2,3.19,0.899,2026-05-04 11:41:49.301000-07:00
2025-11-12,PS5 Pro Launch Global,765-432-8102,826561440,826.56,4285714,56674,best ps5 games,PHRASE,9.6,2.09,0.631,2026-05-04 11:41:49.301000-07:00
2025-11-13,PS5 Pro Launch Global,765-432-8102,766975680,766.98,4285714,56177,best ps5 games,BROAD,6.4,2.53,0.825,2026-05-04 11:41:49.301000-07:00
2025-11-14,PS5 Pro Launch Global,765-432-8102,695167200,695.17,4285714,55680,best ps5 games,EXACT,9.9,2.45,0.716,2026-05-04 11:41:49.301000-07:00
2025-11-15,PS5 Pro Launch Global,765-432-8102,645703380,645.70,4928571,51206,best ps5 games,BROAD,8.6,2.96,0.517,2026-05-04 11:41:49.301000-07:00
2025-11-16,PS5 Pro Launch Global,765-432-8102,809984376,809.98,4928571,64623,best ps5 games,EXACT,9.7,1.37,0.772,2026-05-04 11:41:49.301000-07:00
2025-11-17,PS5 Pro Launch Global,765-432-8102,802879920,802.88,4285714,59421,best ps5 games,EXACT,7.0,3.02,0.900,2026-05-04 11:41:49.301000-07:00
2025-11-18,PS5 Pro Launch Global,765-432-8102,909064800,909.06,4285714,49248,best ps5 games,EXACT,7.9,2.93,0.728,2026-05-04 11:41:49.301000-07:00
2025-11-20,PS5 Pro Launch Global,765-432-8102,572940000,572.94,4285714,37433,best ps5 games,BROAD,7.3,2.36,0.883,2026-05-04 11:41:49.301000-07:00
2025-11-21,PS5 Pro Launch Global,765-432-8102,748641600,748.64,4285714,37080,best ps5 games,EXACT,6.4,3.05,0.784,2026-05-04 11:41:49.301000-07:00
2025-11-22,PS5 Pro Launch Global,765-432-8102,1034882424,1034.88,4928571,62739,best ps5 games,EXACT,9.7,3.08,0.536,2026-05-04 11:41:49.301000-07:00
2025-11-23,PS5 Pro Launch Global,765-432-8102,861816348,861.82,4928571,61323,best ps5 games,EXACT,6.7,2.88,0.710,2026-05-04 11:41:49.301000-07:00
2025-11-24,PS5 Pro Launch Global,765-432-8102,654679440,654.68,4285714,30775,best ps5 games,PHRASE,8.6,1.94,0.921,2026-05-04 11:41:49.301000-07:00
2025-11-25,PS5 Pro Launch Global,765-432-8102,692111520,692.11,4285714,30819,best ps5 games,EXACT,9.0,1.85,0.638,2026-05-04 11:41:49.301000-07:00
2025-11-26,PS5 Pro Launch Global,765-432-8102,730307520,730.31,4285714,38057,best ps5 games,BROAD,9.4,1.33,0.898,2026-05-04 11:41:49.301000-07:00
2025-11-27,PS5 Pro Launch Global,765-432-8102,792185040,792.19,4285714,42429,best ps5 games,EXACT,6.8,2.06,0.911,2026-05-04 11:41:49.301000-07:00
2025-11-28,PS5 Pro Launch Global,765-432-8102,1902619152,1902.62,9000000,107957,best ps5 games,BROAD,7.2,2.10,0.771,2026-05-04 11:41:49.301000-07:00
2025-11-29,PS5 Pro Launch Global,765-432-8102,1671449321,1671.45,10350000,106017,best ps5 games,EXACT,6.5,1.35,0.575,2026-05-04 11:41:49.301000-07:00
