DATE_DAY,TIER,REGION,GROSS_ADDS,CANCELS,NET_SUBS,MRR_USD
2025-11-13,EXTRA,LATAM,208,59,347861,5795032.07
2025-11-13,EXTRA,EMEA,492,164,1203222,17489165.78
2025-11-14,PREMIUM,NA,455,230,929699,17544794.27
2025-11-14,PREMIUM,APAC,323,50,403323,7806555.41
2025-11-14,PREMIUM,LATAM,88,29,204989,3583991.19
2025-11-14,PREMIUM,EMEA,373,184,708367,14365676.13
2025-11-14,ESSENTIAL,NA,1194,545,3580616,33729197.04
2025-11-14,ESSENTIAL,APAC,931,325,1448420,15416193.38
2025-11-14,ESSENTIAL,LATAM,313,136,734258,6360076.06
2025-11-14,ESSENTIAL,EMEA,1010,277,2650252,24055635.29
2025-11-14,EXTRA,APAC,395,132,773917,9804449.34
2025-11-14,EXTRA,NA,612,238,1589246,25100850.94
2025-11-14,EXTRA,LATAM,224,82,336168,6008648.56
2025-11-14,EXTRA,EMEA,618,228,1093723,20168196.57
2025-11-15,PREMIUM,NA,682,221,1090171,19463174.12
2025-11-15,PREMIUM,APAC,172,79,379807,6984392.63
2025-11-15,PREMIUM,LATAM,119,53,202993,3560044.70
2025-11-15,PREMIUM,EMEA,322,164,663282,13142187.93
2025-11-15,ESSENTIAL,NA,1516,557,3369597,35803810.35
2025-11-15,ESSENTIAL,APAC,839,162,1500098,12533723.73
2025-11-15,ESSENTIAL,LATAM,322,134,761533,6288372.83
2025-11-15,ESSENTIAL,EMEA,1111,481,2108829,25562199.71
2025-11-15,EXTRA,APAC,578,115,696452,10297410.48
2025-11-15,EXTRA,NA,781,350,1621645,25867679.38
2025-11-15,EXTRA,LATAM,142,78,324110,5115841.16
2025-11-15,EXTRA,EMEA,645,275,1209515,20017265.25
2025-11-16,PREMIUM,NA,853,197,1020806,19407298.97
2025-11-16,PREMIUM,APAC,224,92,411310,7136053.72
2025-11-16,PREMIUM,LATAM,133,40,228062,3743634.45
2025-11-16,PREMIUM,EMEA,296,112,826046,13829540.85
2025-11-16,ESSENTIAL,NA,2443,568,3098288,29312278.38
2025-11-16,ESSENTIAL,APAC,840,178,1389564,12906580.50
2025-11-16,ESSENTIAL,LATAM,363,101,712008,6962383.15
2025-11-16,ESSENTIAL,EMEA,1296,545,2717003,23141817.52
2025-11-16,EXTRA,APAC,325,159,737377,9694902.42
2025-11-16,EXTRA,NA,1178,399,1539796,27401336.26
2025-11-16,EXTRA,LATAM,209,42,334341,5159659.93
2025-11-16,EXTRA,EMEA,1053,231,1248531,18998478.90
2025-11-17,PREMIUM,NA,550,180,1135724,16017540.42
2025-11-17,PREMIUM,APAC,184,101,428171,7575072.69
2025-11-17,PREMIUM,LATAM,134,42,234717,3556053.62
2025-11-17,PREMIUM,EMEA,474,130,761093,14764340.83
2025-11-17,ESSENTIAL,NA,2301,442,3513626,33729197.04
2025-11-17,ESSENTIAL,APAC,783,347,1372338,15545259.18
2025-11-17,ESSENTIAL,LATAM,324,120,626596,6811806.38
2025-11-17,ESSENTIAL,EMEA,1397,345,2457417,21215390.87
2025-11-17,EXTRA,APAC,386,171,761494,11995387.74
2025-11-17,EXTRA,NA,621,327,1539796,23337145.52
2025-11-17,EXTRA,LATAM,149,81,339457,5006294.24
2025-11-17,EXTRA,EMEA,514,176,1175532,19677669.80
2025-11-18,PREMIUM,NA,736,219,935911,18289796.15
2025-11-18,PREMIUM,APAC,244,90,449468,8676611.18
2025-11-18,PREMIUM,LATAM,79,40,223847,3400401.44
2025-11-18,PREMIUM,EMEA,452,168,777905,11946193.84
2025-11-18,ESSENTIAL,NA,1779,560,3607412,36238809.92
2025-11-18,ESSENTIAL,APAC,947,330,1500098,12289932.77
2025-11-18,ESSENTIAL,LATAM,381,133,679709,6654059.28
2025-11-18,ESSENTIAL,EMEA,1697,374,2113774,25290524.16
2025-11-18,EXTRA,APAC,413,140,789264,10757507.54
2025-11-18,EXTRA,NA,708,233,1860373,21905732.44
2025-11-18,EXTRA,LATAM,261,75,388055,5340412.35
2025-11-18,EXTRA,EMEA,787,210,1257341,17300501.64
2025-11-19,PREMIUM,NA,522,131,1100524,17786919.89
2025-11-19,PREMIUM,APAC,238,105,463667,7575072.69
2025-11-19,PREMIUM,LATAM,114,41,207652,3639866.33
2025-11-19,PREMIUM,EMEA,431,128,803886,12069917.36
2025-11-19,ESSENTIAL,NA,1455,706,3151880,34498811.66
2025-11-19,ESSENTIAL,APAC,541,267,1267547,13250755.98
2025-11-19,ESSENTIAL,LATAM,498,172,666790,6295543.16
2025-11-19,ESSENTIAL,EMEA,1804,547,2375832,22400884.19
2025-11-19,EXTRA,APAC,259,87,697914,9881132.18
2025-11-19,EXTRA,NA,848,385,1720547,27759189.53
2025-11-19,EXTRA,LATAM,146,53,367592,5219910.74
2025-11-19,EXTRA,EMEA,654,209,1178050,17715562.75
2025-11-20,PREMIUM,NA,416,247,1071536,19407298.97
2025-11-20,PREMIUM,APAC,181,93,439707,8125841.93
2025-11-20,PREMIUM,LATAM,100,33,218522,3835429.32
2025-11-20,PREMIUM,EMEA,302,170,745046,14695605.54
2025-11-20,ESSENTIAL,NA,1614,401,3496878,29613431.93
2025-11-20,ESSENTIAL,APAC,820,318,1314918,14268941.78
2025-11-20,ESSENTIAL,LATAM,459,99,714161,6811806.38
2025-11-20,ESSENTIAL,EMEA,983,457,2430222,25562199.71
2025-11-20,EXTRA,APAC,452,170,632873,11502426.60
2025-11-20,EXTRA,NA,962,367,1667686,25586508.95
2025-11-20,EXTRA,LATAM,253,52,401940,5816941.45
2025-11-20,EXTRA,EMEA,903,143,1203222,17451432.95
2025-11-21,PREMIUM,NA,742,237,1073606,18420171.48
2025-11-21,PREMIUM,APAC,206,65,488070,7104125.07
2025-11-21,PREMIUM,LATAM,91,51,225178,4190635.58
2025-11-21,PREMIUM,EMEA,411,102,693084,13375887.92
2025-11-21,ESSENTIAL,NA,1300,392,3433238,29011124.84
2025-11-21,ESSENTIAL,APAC,608,274,1491485,15473555.96
2025-11-21,ESSENTIAL,LATAM,301,106,660330,6144966.38
2025-11-21,ESSENTIAL,EMEA,1801,334,2430222,26401924.15
2025-11-21,EXTRA,APAC,335,155,737377,10122135.41
2025-11-21,EXTRA,NA,776,346,1555142,23490511.21
2025-11-21,EXTRA,LATAM,221,68,382574,5400663.16
2025-11-21,EXTRA,EMEA,716,251,1128964,17753295.57
2025-11-22,PREMIUM,NA,689,165,1010453,16371416.31
2025-11-22,PREMIUM,APAC,324,103,446362,8660646.86
2025-11-22,PREMIUM,LATAM,136,30,212532,3496187.39
2025-11-22,PREMIUM,EMEA,370,170,765678,14241952.61
2025-11-22,ESSENTIAL,NA,2562,478,3449985,32959582.43
2025-11-22,ESSENTIAL,APAC,1194,300,1511582,13810041.14
2025-11-22,ESSENTIAL,LATAM,330,164,652435,7622052.82
2025-11-22,ESSENTIAL,EMEA,1639,412,2593390,22746653.08
2025-11-22,EXTRA,APAC,428,163,776840,9979724.41
2025-11-22,EXTRA,NA,784,364,1785344,25279777.57
2025-11-22,EXTRA,LATAM,271,47,344207,5143227.89
2025-11-22,EXTRA,EMEA,1050,234,1347961,16168516.80
2025-11-23,PREMIUM,NA,409,142,1123301,17172293.33
2025-11-23,PREMIUM,APAC,220,99,382913,8469074.94
2025-11-23,PREMIUM,LATAM,118,43,189682,3967135.01
2025-11-23,PREMIUM,EMEA,306,170,719829,13142187.93
2025-11-23,ESSENTIAL,NA,2441,562,2847075,34632657.68
2025-11-23,ESSENTIAL,APAC,883,235,1528808,12992624.37
2025-11-23,ESSENTIAL,LATAM,584,151,739283,7342410.24
2025-11-23,ESSENTIAL,EMEA,1880,295,2271998,22079813.09
2025-11-23,EXTRA,APAC,525,123,755647,11787248.59
2025-11-23,EXTRA,NA,1224,307,1659160,26966800.14
2025-11-23,EXTRA,LATAM,194,85,383670,6008648.56
2025-11-23,EXTRA,EMEA,777,139,1162946,18847547.59
2025-11-24,PREMIUM,NA,566,150,1049794,18587796.91
2025-11-24,PREMIUM,APAC,241,82,381582,7551126.20
2025-11-24,PREMIUM,LATAM,165,54,233386,3568026.86
2025-11-24,PREMIUM,EMEA,568,117,826046,13485864.39
2025-11-24,ESSENTIAL,NA,1726,455,2850425,35435733.80
2025-11-24,ESSENTIAL,APAC,1033,322,1531679,12289932.77
2025-11-24,ESSENTIAL,LATAM,323,142,611523,7851503.14
2025-11-24,ESSENTIAL,EMEA,1329,420,2452472,25537501.94
2025-11-24,EXTRA,APAC,313,118,655528,11294287.45
2025-11-24,EXTRA,NA,911,198,1512512,23797242.59
2025-11-24,EXTRA,LATAM,142,68,392805,5488300.69
2025-11-24,EXTRA,EMEA,766,259,1069810,19847467.53
2025-11-25,PREMIUM,NA,642,192,926594,17954545.31
2025-11-25,PREMIUM,APAC,240,66,401549,7854448.39
2025-11-25,PREMIUM,LATAM,132,44,205211,3683768.22
2025-11-25,PREMIUM,EMEA,460,131,774848,12647293.82
2025-11-25,ESSENTIAL,NA,2299,435,3486830,36372655.94
2025-11-25,ESSENTIAL,APAC,823,277,1370903,13723997.27
2025-11-25,ESSENTIAL,LATAM,405,119,670379,6101944.45
2025-11-25,ESSENTIAL,EMEA,1400,426,2383249,24129728.62
2025-11-25,EXTRA,APAC,411,112,629219,9519627.35
2025-11-25,EXTRA,NA,1201,365,1672801,24794119.56
2025-11-25,EXTRA,LATAM,232,49,394632,5307548.27
2025-11-25,EXTRA,EMEA,576,196,1240980,17225035.98
2025-11-26,PREMIUM,NA,507,197,891393,17768294.84
2025-11-26,PREMIUM,APAC,317,71,433051,7215875.35
2025-11-26,PREMIUM,LATAM,147,49,212532,3739643.37
2025-11-26,PREMIUM,EMEA,467,168,824518,14090734.96
2025-11-26,ESSENTIAL,NA,2256,460,2904017,35736887.34
2025-11-26,ESSENTIAL,APAC,998,250,1250321,15717346.92
2025-11-26,ESSENTIAL,LATAM,451,161,706266,7557519.92
2025-11-26,ESSENTIAL,EMEA,1651,594,2212664,25364617.49
2025-11-26,EXTRA,APAC,537,139,697914,9311488.20
2025-11-26,EXTRA,NA,733,339,1597772,24436266.29
2025-11-26,EXTRA,LATAM,147,80,343841,5992216.52
2025-11-26,EXTRA,EMEA,794,283,1269927,18130623.85
2025-11-27,PREMIUM,NA,481,138,1072571,18029045.50
2025-11-27,PREMIUM,APAC,249,103,407760,7032285.60
2025-11-27,PREMIUM,LATAM,135,25,209870,3875340.14
2025-11-27,PREMIUM,EMEA,283,115,787075,13293405.57
2025-11-27,ESSENTIAL,NA,1219,812,2940861,30751123.10
2025-11-27,ESSENTIAL,APAC,854,348,1525937,14139875.97
2025-11-27,ESSENTIAL,LATAM,366,136,626596,6281202.51
2025-11-27,ESSENTIAL,EMEA,1597,308,2393138,23265306.41
2025-11-27,EXTRA,APAC,391,150,674528,11009465.46
2025-11-27,EXTRA,NA,820,264,1858668,27835872.37
2025-11-27,EXTRA,LATAM,167,47,385862,5044635.67
2025-11-27,EXTRA,EMEA,609,169,1349219,17658963.50
2025-11-28,PREMIUM,NA,535,211,982500,19481799.16
2025-11-28,PREMIUM,APAC,192,63,465441,7167982.37
2025-11-28,PREMIUM,LATAM,101,37,204324,3583991.19
2025-11-28,PREMIUM,EMEA,280,143,690027,14241952.61
2025-11-28,ESSENTIAL,NA,2274,653,3654305,29345739.89
2025-11-28,ESSENTIAL,APAC,1040,192,1339322,12275592.12
2025-11-28,ESSENTIAL,LATAM,372,168,710573,7256366.37
2025-11-28,ESSENTIAL,EMEA,1522,551,2625530,23561679.74
2025-11-28,EXTRA,APAC,387,170,685490,11655792.29
2025-11-28,EXTRA,NA,669,235,1797281,22493634.24
2025-11-28,EXTRA,LATAM,204,84,363208,5942920.41
2025-11-28,EXTRA,EMEA,590,281,1286289,19130543.80
2025-11-29,PREMIUM,NA,517,178,890358,18066295.59
2025-11-29,PREMIUM,APAC,235,73,463223,6848695.85
2025-11-29,PREMIUM,LATAM,157,47,204768,3460267.66
2025-11-29,PREMIUM,EMEA,296,168,701490,14131976.14
2025-11-29,ESSENTIAL,NA,2359,747,3453335,31888814.27
2025-11-29,ESSENTIAL,APAC,1054,179,1477130,13293777.92
2025-11-29,ESSENTIAL,LATAM,334,161,712008,6876339.28
2025-11-29,ESSENTIAL,EMEA,1111,540,2178052,25685688.60
2025-11-29,EXTRA,APAC,507,146,673067,9979724.41
2025-11-29,EXTRA,NA,681,248,1700084,24973046.20
2025-11-29,EXTRA,LATAM,211,68,388420,5017248.94
2025-11-29,EXTRA,EMEA,986,215,1160429,18394753.65
2025-11-30,PREMIUM,NA,433,238,966970,18848547.56
2025-11-30,PREMIUM,APAC,329,89,464110,7136053.72
2025-11-30,PREMIUM,LATAM,115,33,236492,3703723.63
2025-11-30,PREMIUM,EMEA,379,88,769499,13499611.45
2025-11-30,ESSENTIAL,NA,1402,480,3339452,30818046.11
2025-11-30,ESSENTIAL,APAC,632,320,1240272,14139875.97
2025-11-30,ESSENTIAL,LATAM,577,82,655306,7306558.63
2025-11-30,ESSENTIAL,EMEA,1011,436,2234914,25611595.27
2025-11-30,EXTRA,APAC,418,128,744685,9662038.34
2025-11-30,EXTRA,NA,1188,283,1457946,28040359.96
2025-11-30,EXTRA,LATAM,151,50,374535,4820064.48
2025-11-30,EXTRA,EMEA,560,139,1179308,17998558.96
2025-12-01,PREMIUM,NA,529,238,996994,18606421.95
2025-12-01,PREMIUM,APAC,222,59,445031,7120089.40
2025-12-01,PREMIUM,LATAM,156,46,241373,3619910.92
2025-12-01,PREMIUM,EMEA,536,150,810763,12647293.82
2025-12-01,ESSENTIAL,NA,2358,551,3299258,31085738.15
2025-12-01,ESSENTIAL,APAC,663,188,1243143,14555754.68
2025-12-01,ESSENTIAL,LATAM,318,133,750767,7528838.63
2025-12-01,ESSENTIAL,EMEA,870,287,2568668,27142857.47
2025-12-01,EXTRA,APAC,423,105,735916,10472685.55
2025-12-01,EXTRA,NA,991,209,1469882,25842118.43
2025-12-01,EXTRA,LATAM,245,42,400844,4732426.94
2025-12-01,EXTRA,EMEA,662,279,1175532,20715322.57
2025-12-02,PREMIUM,NA,755,198,1071536,18829922.52
2025-12-02,PREMIUM,APAC,277,94,439263,7670858.64
2025-12-02,PREMIUM,LATAM,126,46,240707,4218573.15
2025-12-02,PREMIUM,EMEA,371,120,742754,11849964.43
2025-12-02,ESSENTIAL,NA,1237,552,2877221,31119199.65
2025-12-02,ESSENTIAL,APAC,1054,203,1546034,13035646.31
2025-12-02,ESSENTIAL,LATAM,462,102,762251,6883509.60
2025-12-02,ESSENTIAL,EMEA,1154,331,2479667,22153906.42
2025-12-02,EXTRA,APAC,285,163,736646,10056407.26
2025-12-02,EXTRA,NA,847,324,1630171,27989238.06
2025-12-02,EXTRA,LATAM,129,66,347861,5460913.96
2025-12-02,EXTRA,EMEA,913,211,1110085,17319368.05
2025-12-03,PREMIUM,NA,493,129,951441,16483166.60
2025-12-03,PREMIUM,APAC,320,93,474315,8181717.08
2025-12-03,PREMIUM,LATAM,92,41,240485,3867357.97
2025-12-03,PREMIUM,EMEA,531,168,680858,13334646.75
2025-12-03,ESSENTIAL,NA,1243,647,3372947,32189967.81
2025-12-03,ESSENTIAL,APAC,965,346,1363725,12963943.08
2025-12-03,ESSENTIAL,LATAM,454,166,693347,6740103.15
2025-12-03,ESSENTIAL,EMEA,987,536,2543945,23438190.85
2025-12-03,EXTRA,APAC,400,163,680375,11809157.98
2025-12-03,EXTRA,NA,680,282,1480114,22519195.19
2025-12-03,EXTRA,LATAM,223,63,389151,5718349.22
2025-12-03,EXTRA,EMEA,877,233,1379426,20413459.95
2025-12-04,PREMIUM,NA,554,234,902782,17544794.27
2025-12-04,PREMIUM,APAC,309,53,487183,8540914.41
2025-12-04,PREMIUM,LATAM,168,48,217413,3663812.82
2025-12-04,PREMIUM,EMEA,289,139,671688,12839752.64
2025-12-04,ESSENTIAL,NA,2511,563,2907366,34030350.59
2025-12-04,ESSENTIAL,APAC,867,210,1286208,14942952.09
2025-12-04,ESSENTIAL,LATAM,425,82,757944,7858673.46
2025-12-04,ESSENTIAL,EMEA,1623,352,2526640,21388275.32
2025-12-04,EXTRA,APAC,490,98,672336,9705857.11
2025-12-04,EXTRA,NA,1046,245,1584131,22877048.46
2025-12-04,EXTRA,LATAM,181,77,380747,5685485.15
2025-12-04,EXTRA,EMEA,737,231,1162946,19922933.18
2025-12-05,PREMIUM,NA,722,158,1061183,17339918.76
2025-12-05,PREMIUM,APAC,321,69,453018,8772397.14
2025-12-05,PREMIUM,LATAM,165,52,210314,4194626.66
2025-12-05,PREMIUM,EMEA,534,104,803122,12963476.17
2025-12-05,ESSENTIAL,NA,2305,725,3630858,29044586.34
2025-12-05,ESSENTIAL,APAC,921,196,1329273,15573940.47
2025-12-05,ESSENTIAL,LATAM,258,95,648846,7865843.78
2025-12-05,ESSENTIAL,EMEA,1117,343,2155802,21141297.54
2025-12-05,EXTRA,APAC,275,110,621911,11798203.28
2025-12-05,EXTRA,NA,1265,309,1737599,22007976.23
2025-12-05,EXTRA,LATAM,181,77,392074,5548551.50
2025-12-05,EXTRA,EMEA,722,286,1218325,17036371.84
2025-12-06,PREMIUM,NA,726,229,970076,18438796.53
2025-12-06,PREMIUM,APAC,215,100,405986,8093913.28
2025-12-06,PREMIUM,LATAM,141,35,232721,3416365.76
2025-12-06,PREMIUM,EMEA,518,162,690027,12358605.59
2025-12-06,ESSENTIAL,NA,2203,733,3101637,31052276.64
2025-12-06,ESSENTIAL,APAC,1138,307,1422581,15688665.63
2025-12-06,ESSENTIAL,LATAM,492,155,640233,6317054.12
2025-12-06,ESSENTIAL,EMEA,1808,352,2341221,24549590.84
2025-12-06,EXTRA,APAC,434,115,681106,10516504.32
2025-12-06,EXTRA,NA,698,216,1672801,22723682.77
2025-12-06,EXTRA,LATAM,149,75,397555,4907702.02
