REPORT_DATE,CAMPAIGN_NAME,AD_ACCOUNT_ID,COST_MICROS,SPEND,IMPRESSIONS,CLICKS,AD_GROUP,KEYWORD,QUALITY_SCORE,CONVERSIONS,CONVERSION_VALUE,SEARCH_IMPRESSION_SHARE,LOADED_AT
2025-11-13,PS5 Pro Launch Global,765-432-9002,1188320000,1188.32,2734375,37820,AG_HERO_A_CAROUSEL,gta 6 preorder,6.5,3026,8987.17,0.567,2026-05-04 11:41:47.345000-07:00
2025-11-14,PS5 Pro Launch Global,765-432-9002,1119991600,1119.99,2734375,29890,AG_HERO_A_CAROUSEL,gta 6 preorder,8.4,2391,7102.76,0.383,2026-05-04 11:41:47.345000-07:00
2025-11-15,PS5 Pro Launch Global,765-432-9002,1253826140,1253.83,3144531,29878,AG_HERO_A_CAROUSEL,gta 6 preorder,8.4,2390,7099.91,0.638,2026-05-04 11:41:47.345000-07:00
2025-11-16,PS5 Pro Launch Global,765-432-9002,1947359400,1947.36,3144531,35697,AG_HERO_A_CAROUSEL,gta 6 preorder,6.0,2856,8482.68,0.810,2026-05-04 11:41:47.345000-07:00
2025-11-17,PS5 Pro Launch Global,765-432-9002,1323491400,1323.49,2734375,24321,AG_HERO_A_CAROUSEL,gta 6 preorder,8.5,1946,5779.40,0.404,2026-05-04 11:41:47.345000-07:00
2025-11-18,PS5 Pro Launch Global,765-432-9002,1118506200,1118.51,2734375,33075,AG_HERO_A_CAROUSEL,gta 6 preorder,8.6,2646,7859.61,0.402,2026-05-04 11:41:47.345000-07:00
2025-11-19,PS5 Pro Launch Global,765-432-9002,1314579000,1314.58,2734375,24343,AG_HERO_A_CAROUSEL,gta 6 preorder,6.4,1947,5784.63,0.795,2026-05-04 11:41:47.345000-07:00
2025-11-20,PS5 Pro Launch Global,765-432-9002,1466089800,1466.09,2734375,25738,AG_HERO_A_CAROUSEL,gta 6 preorder,9.4,2059,6116.12,0.869,2026-05-04 11:41:47.345000-07:00
2025-11-21,PS5 Pro Launch Global,765-432-9002,1065031800,1065.03,2734375,18375,AG_HERO_A_CAROUSEL,gta 6 preorder,8.4,1470,4366.45,0.659,2026-05-04 11:41:47.345000-07:00
2025-11-22,PS5 Pro Launch Global,765-432-9002,1564720360,1564.72,3144531,37674,AG_HERO_A_CAROUSEL,gta 6 preorder,8.4,3014,8952.47,0.809,2026-05-04 11:41:47.345000-07:00
2025-11-25,PS5 Pro Launch Global,765-432-9002,1449750400,1449.75,2734375,18559,AG_HERO_A_CAROUSEL,gta 6 preorder,7.8,1485,4410.18,0.771,2026-05-04 11:41:47.345000-07:00
2025-11-26,PS5 Pro Launch Global,765-432-9002,1137816400,1137.82,2734375,31281,AG_HERO_A_CAROUSEL,gta 6 preorder,9.8,2502,7433.31,0.473,2026-05-04 11:41:47.345000-07:00
2025-11-27,PS5 Pro Launch Global,765-432-9002,1815158800,1815.16,2734375,19924,AG_HERO_A_CAROUSEL,gta 6 preorder,7.5,1594,4734.54,0.463,2026-05-04 11:41:47.345000-07:00
2025-11-28,PS5 Pro Launch Global,765-432-9002,2676393720,2676.39,5742188,66628,AG_HERO_A_CAROUSEL,gta 6 preorder,8.1,5330,15832.81,0.816,2026-05-04 11:41:47.345000-07:00
2025-11-29,PS5 Pro Launch Global,765-432-9002,4588081451,4588.08,6603516,44582,AG_HERO_A_CAROUSEL,gta 6 preorder,8.1,3567,10594.02,0.502,2026-05-04 11:41:47.345000-07:00
2025-11-30,PS5 Pro Launch Global,765-432-9002,3687683748,3687.68,6603516,74551,AG_HERO_A_CAROUSEL,gta 6 preorder,8.8,5964,17715.56,0.619,2026-05-04 11:41:47.345000-07:00
2025-12-01,PS5 Pro Launch Global,765-432-9002,2816764020,2816.76,5742188,64152,AG_HERO_A_CAROUSEL,gta 6 preorder,7.8,5132,15244.44,0.660,2026-05-04 11:41:47.345000-07:00
2025-12-02,PS5 Pro Launch Global,765-432-9002,3081907920,3081.91,5742188,39727,AG_HERO_A_CAROUSEL,gta 6 preorder,8.9,3178,9440.33,0.745,2026-05-04 11:41:47.345000-07:00
2025-12-03,PS5 Pro Launch Global,765-432-9002,3612195720,3612.20,5742188,34178,AG_HERO_A_CAROUSEL,gta 6 preorder,6.6,2734,8121.72,0.532,2026-05-04 11:41:47.345000-07:00
2025-12-04,PS5 Pro Launch Global,765-432-9002,2302072920,2302.07,5742188,38459,AG_HERO_A_CAROUSEL,gta 6 preorder,8.5,3077,9139.01,0.834,2026-05-04 11:41:47.345000-07:00
2025-12-05,PS5 Pro Launch Global,765-432-9002,3702656580,3702.66,5742188,40131,AG_HERO_A_CAROUSEL,gta 6 preorder,7.9,3210,9536.33,0.668,2026-05-04 11:41:47.345000-07:00
2025-12-06,PS5 Pro Launch Global,765-432-9002,2815984397,2815.98,6603516,45168,AG_HERO_A_CAROUSEL,gta 6 preorder,6.9,3613,10733.27,0.680,2026-05-04 11:41:47.345000-07:00
2025-12-07,PS5 Pro Launch Global,765-432-9002,4103803704,4103.80,6603516,64884,AG_HERO_A_CAROUSEL,gta 6 preorder,9.4,5191,15418.39,0.501,2026-05-04 11:41:47.345000-07:00
2025-12-08,PS5 Pro Launch Global,765-432-9002,3955323120,3955.32,5742188,56191,AG_HERO_A_CAROUSEL,gta 6 preorder,7.1,4495,13352.67,0.397,2026-05-04 11:41:47.345000-07:00
2025-12-09,PS5 Pro Launch Global,765-432-9002,2826122040,2826.12,5742188,37568,AG_HERO_A_CAROUSEL,gta 6 preorder,8.0,3005,8927.29,0.792,2026-05-04 11:41:47.345000-07:00
2025-12-10,PS5 Pro Launch Global,765-432-9002,3877339620,3877.34,5742188,60445,AG_HERO_A_CAROUSEL,gta 6 preorder,6.2,4836,14363.55,0.813,2026-05-04 11:41:47.345000-07:00
2025-12-11,PS5 Pro Launch Global,765-432-9002,2242805460,2242.81,5742188,51151,AG_HERO_A_CAROUSEL,gta 6 preorder,6.1,4092,12155.01,0.789,2026-05-04 11:41:47.345000-07:00
2025-12-12,PS5 Pro Launch Global,765-432-9002,2192896020,2192.90,5742188,60968,AG_HERO_A_CAROUSEL,gta 6 preorder,6.8,4877,14487.83,0.470,2026-05-04 11:41:47.345000-07:00
2025-12-13,PS5 Pro Launch Global,765-432-9002,4405131948,4405.13,6603516,50863,AG_HERO_A_CAROUSEL,gta 6 preorder,6.6,4069,12086.58,0.462,2026-05-04 11:41:47.345000-07:00
2025-12-14,PS5 Pro Launch Global,765-432-9002,3630287892,3630.29,6603516,38554,AG_HERO_A_CAROUSEL,gta 6 preorder,7.3,3084,9161.59,0.695,2026-05-04 11:41:47.345000-07:00
2025-12-15,PS5 Pro Launch Global,765-432-9002,3540450900,3540.45,5742188,33488,AG_HERO_A_CAROUSEL,gta 6 preorder,9.9,2679,7957.76,0.388,2026-05-04 11:41:47.345000-07:00
2025-11-01,PS5 Pro Launch Global,765-432-9002,1914903410,1914.90,3144531,46539,AG_HERO_A_CAROUSEL,gta 6 preorder,8.7,3723,11059.06,0.636,2026-05-04 11:41:47.345000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-9002,1830012800,1830.01,2734375,22332,AG_HERO_A_CAROUSEL,gta 6 preorder,7.1,1787,5306.75,0.393,2026-05-04 11:41:47.345000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-9002,1754257400,1754.26,2734375,37363,AG_HERO_A_CAROUSEL,gta 6 preorder,7.1,2989,8878.57,0.610,2026-05-04 11:41:47.345000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-9002,1574524000,1574.52,2734375,33615,AG_HERO_A_CAROUSEL,gta 6 preorder,7.4,2689,7987.93,0.465,2026-05-04 11:41:47.345000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-9002,1295268800,1295.27,2734375,39638,AG_HERO_A_CAROUSEL,gta 6 preorder,8.8,3171,9419.18,0.832,2026-05-04 11:41:47.345000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-9002,1592051720,1592.05,3144531,42152,AG_HERO_A_CAROUSEL,gta 6 preorder,9.7,3372,10016.58,0.601,2026-05-04 11:41:47.345000-07:00
2025-11-09,PS5 Pro Launch Global,765-432-9002,1773121980,1773.12,3144531,38851,AG_HERO_A_CAROUSEL,gta 6 preorder,9.4,3108,9232.17,0.592,2026-05-04 11:41:47.345000-07:00
2025-11-10,PS5 Pro Launch Global,765-432-9002,1593834200,1593.83,2734375,30196,AG_HERO_A_CAROUSEL,gta 6 preorder,7.6,2416,7175.48,0.788,2026-05-04 11:41:47.345000-07:00
2025-11-11,PS5 Pro Launch Global,765-432-9002,1902797400,1902.80,2734375,22892,AG_HERO_A_CAROUSEL,gta 6 preorder,9.5,1831,5439.83,0.545,2026-05-04 11:41:47.345000-07:00
2025-11-12,PS5 Pro Launch Global,765-432-9002,1537389000,1537.39,2734375,22693,AG_HERO_A_CAROUSEL,gta 6 preorder,7.1,1815,5392.54,0.850,2026-05-04 11:41:47.345000-07:00
2025-11-13,PS5 Pro Launch Global,765-432-9002,1186834600,1186.83,2734375,30404,AG_HERO_A_CAROUSEL,gta 6 preorder,6.9,2432,7224.90,0.530,2026-05-04 11:41:47.345000-07:00
2025-11-14,PS5 Pro Launch Global,765-432-9002,1786936200,1786.94,2734375,29155,AG_HERO_A_CAROUSEL,gta 6 preorder,8.3,2332,6928.10,0.810,2026-05-04 11:41:47.345000-07:00
2025-11-15,PS5 Pro Launch Global,765-432-9002,1674045800,1674.05,3144531,37138,AG_HERO_A_CAROUSEL,gta 6 preorder,6.4,2971,8825.10,0.549,2026-05-04 11:41:47.345000-07:00
2025-11-16,PS5 Pro Launch Global,765-432-9002,1270908240,1270.91,3144531,42338,AG_HERO_A_CAROUSEL,gta 6 preorder,7.7,3387,10060.78,0.421,2026-05-04 11:41:47.345000-07:00
2025-11-17,PS5 Pro Launch Global,765-432-9002,1320520600,1320.52,2734375,21459,AG_HERO_A_CAROUSEL,gta 6 preorder,6.1,1717,5099.30,0.620,2026-05-04 11:41:47.345000-07:00
2025-11-18,PS5 Pro Launch Global,765-432-9002,1360626400,1360.63,2734375,23153,AG_HERO_A_CAROUSEL,gta 6 preorder,7.8,1852,5501.85,0.488,2026-05-04 11:41:47.345000-07:00
2025-11-19,PS5 Pro Launch Global,765-432-9002,1775053000,1775.05,2734375,29024,AG_HERO_A_CAROUSEL,gta 6 preorder,9.7,2322,6896.97,0.403,2026-05-04 11:41:47.345000-07:00
2025-11-20,PS5 Pro Launch Global,765-432-9002,1445294200,1445.29,2734375,25043,AG_HERO_A_CAROUSEL,gta 6 preorder,10.0,2003,5950.97,0.742,2026-05-04 11:41:47.345000-07:00
2025-11-21,PS5 Pro Launch Global,765-432-9002,1671075000,1671.08,2734375,21820,AG_HERO_A_CAROUSEL,gta 6 preorder,7.0,1746,5185.09,0.409,2026-05-04 11:41:47.345000-07:00
2025-11-22,PS5 Pro Launch Global,765-432-9002,2210423740,2210.42,3144531,21453,AG_HERO_A_CAROUSEL,gta 6 preorder,6.8,1716,5097.88,0.457,2026-05-04 11:41:47.345000-07:00
2025-11-25,PS5 Pro Launch Global,765-432-9002,1518078800,1518.08,2734375,21210,AG_HERO_A_CAROUSEL,gta 6 preorder,7.8,1697,5040.13,0.388,2026-05-04 11:41:47.345000-07:00
2025-11-26,PS5 Pro Launch Global,765-432-9002,1586407200,1586.41,2734375,24281,AG_HERO_A_CAROUSEL,gta 6 preorder,8.6,1942,5769.90,0.670,2026-05-04 11:41:47.345000-07:00
2025-11-27,PS5 Pro Launch Global,765-432-9002,1042750800,1042.75,2734375,34217,AG_HERO_A_CAROUSEL,gta 6 preorder,6.8,2737,8130.99,0.507,2026-05-04 11:41:47.345000-07:00
2025-11-28,PS5 Pro Launch Global,765-432-9002,3334574460,3334.57,5742188,66178,AG_HERO_A_CAROUSEL,gta 6 preorder,9.0,5294,15725.88,0.540,2026-05-04 11:41:47.345000-07:00
2025-11-29,PS5 Pro Launch Global,765-432-9002,3199818972,3199.82,6603516,57392,AG_HERO_A_CAROUSEL,gta 6 preorder,6.0,4591,13638.06,0.853,2026-05-04 11:41:47.345000-07:00
2025-11-30,PS5 Pro Launch Global,765-432-9002,2633034894,2633.03,6603516,52744,AG_HERO_A_CAROUSEL,gta 6 preorder,9.8,4220,12533.56,0.641,2026-05-04 11:41:47.345000-07:00
2025-12-01,PS5 Pro Launch Global,765-432-9002,2320788960,2320.79,5742188,48005,AG_HERO_A_CAROUSEL,gta 6 preorder,9.4,3840,11407.43,0.850,2026-05-04 11:41:47.345000-07:00
2025-12-02,PS5 Pro Launch Global,765-432-9002,2320788960,2320.79,5742188,41022,AG_HERO_A_CAROUSEL,gta 6 preorder,6.6,3282,9748.06,0.605,2026-05-04 11:41:47.345000-07:00
2025-12-03,PS5 Pro Launch Global,765-432-9002,2255282820,2255.28,5742188,42295,AG_HERO_A_CAROUSEL,gta 6 preorder,9.1,3384,10050.56,0.441,2026-05-04 11:41:47.345000-07:00
2025-12-04,PS5 Pro Launch Global,765-432-9002,3094385280,3094.39,5742188,41840,AG_HERO_A_CAROUSEL,gta 6 preorder,6.5,3347,9942.44,0.582,2026-05-04 11:41:47.345000-07:00
2025-12-05,PS5 Pro Launch Global,765-432-9002,3527973540,3527.97,5742188,43893,AG_HERO_A_CAROUSEL,gta 6 preorder,7.2,3511,10430.30,0.423,2026-05-04 11:41:47.345000-07:00
2025-12-06,PS5 Pro Launch Global,765-432-9002,4505574696,4505.57,6603516,53726,AG_HERO_A_CAROUSEL,gta 6 preorder,8.6,4298,12766.91,0.397,2026-05-04 11:41:47.345000-07:00
2025-12-07,PS5 Pro Launch Global,765-432-9002,2658145793,2658.15,6603516,58771,AG_HERO_A_CAROUSEL,gta 6 preorder,7.3,4702,13965.76,0.523,2026-05-04 11:41:47.345000-07:00
2025-12-08,PS5 Pro Launch Global,765-432-9002,3206681520,3206.68,5742188,55787,AG_HERO_A_CAROUSEL,gta 6 preorder,9.0,4463,13256.67,0.536,2026-05-04 11:41:47.345000-07:00
2025-12-09,PS5 Pro Launch Global,765-432-9002,3147414060,3147.41,5742188,61147,AG_HERO_A_CAROUSEL,gta 6 preorder,9.2,4892,14530.36,0.709,2026-05-04 11:41:47.345000-07:00
2025-12-10,PS5 Pro Launch Global,765-432-9002,2454920580,2454.92,5742188,60840,AG_HERO_A_CAROUSEL,gta 6 preorder,8.5,4867,14457.41,0.467,2026-05-04 11:41:47.345000-07:00
2025-12-11,PS5 Pro Launch Global,765-432-9002,3372006540,3372.01,5742188,60913,AG_HERO_A_CAROUSEL,gta 6 preorder,8.2,4873,14474.76,0.818,2026-05-04 11:41:47.345000-07:00
2025-12-12,PS5 Pro Launch Global,765-432-9002,2470517280,2470.52,5742188,35886,AG_HERO_A_CAROUSEL,gta 6 preorder,8.2,2871,8527.59,0.381,2026-05-04 11:41:47.345000-07:00
2025-12-13,PS5 Pro Launch Global,765-432-9002,4641889854,4641.89,6603516,38586,AG_HERO_A_CAROUSEL,gta 6 preorder,9.8,3087,9169.19,0.385,2026-05-04 11:41:47.345000-07:00
2025-12-14,PS5 Pro Launch Global,765-432-9002,3838347870,3838.35,6603516,52416,AG_HERO_A_CAROUSEL,gta 6 preorder,8.3,4193,12455.62,0.728,2026-05-04 11:41:47.345000-07:00
2025-12-15,PS5 Pro Launch Global,765-432-9002,3724491960,3724.49,5742188,40186,AG_HERO_A_CAROUSEL,gta 6 preorder,6.0,3215,9549.40,0.747,2026-05-04 11:41:47.345000-07:00
2025-11-01,PS5 Pro Launch Global,765-432-9002,2005438540,2005.44,3144531,38363,AG_HERO_A_CAROUSEL,gta 6 preorder,10.0,3069,9116.20,0.671,2026-05-04 11:41:47.345000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-9002,1455692000,1455.69,2734375,32557,AG_HERO_A_CAROUSEL,gta 6 preorder,8.9,2605,7736.52,0.485,2026-05-04 11:41:47.345000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-9002,1250706800,1250.71,2734375,38163,AG_HERO_A_CAROUSEL,gta 6 preorder,6.6,3053,9068.68,0.699,2026-05-04 11:41:47.345000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-9002,1532932800,1532.93,2734375,26733,AG_HERO_A_CAROUSEL,gta 6 preorder,9.9,2139,6352.56,0.840,2026-05-04 11:41:47.345000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-9002,1859720800,1859.72,2734375,31763,AG_HERO_A_CAROUSEL,gta 6 preorder,8.2,2541,7547.84,0.792,2026-05-04 11:41:47.345000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-9002,1923444460,1923.44,3144531,26419,AG_HERO_A_CAROUSEL,gta 6 preorder,8.3,2114,6277.95,0.766,2026-05-04 11:41:47.345000-07:00
2025-11-09,PS5 Pro Launch Global,765-432-9002,1692836110,1692.84,3144531,39734,AG_HERO_A_CAROUSEL,gta 6 preorder,8.0,3179,9441.99,0.496,2026-05-04 11:41:47.345000-07:00
2025-11-10,PS5 Pro Launch Global,765-432-9002,1534418200,1534.42,2734375,31465,AG_HERO_A_CAROUSEL,gta 6 preorder,7.4,2517,7477.03,0.786,2026-05-04 11:41:47.345000-07:00
2025-11-11,PS5 Pro Launch Global,765-432-9002,1797334000,1797.33,2734375,20125,AG_HERO_A_CAROUSEL,gta 6 preorder,7.1,1610,4782.30,0.566,2026-05-04 11:41:47.345000-07:00
2025-11-12,PS5 Pro Launch Global,765-432-9002,1703753800,1703.75,2734375,28928,AG_HERO_A_CAROUSEL,gta 6 preorder,8.3,2314,6874.16,0.837,2026-05-04 11:41:47.345000-07:00
2025-11-13,PS5 Pro Launch Global,765-432-9002,1146728800,1146.73,2734375,34853,AG_HERO_A_CAROUSEL,gta 6 preorder,9.3,2788,8282.12,0.410,2026-05-04 11:41:47.345000-07:00
2025-11-14,PS5 Pro Launch Global,765-432-9002,1632454600,1632.45,2734375,38955,AG_HERO_A_CAROUSEL,gta 6 preorder,6.0,3116,9256.88,0.744,2026-05-04 11:41:47.345000-07:00
2025-11-15,PS5 Pro Launch Global,765-432-9002,1742374200,1742.37,3144531,43561,AG_HERO_A_CAROUSEL,gta 6 preorder,7.2,3485,10351.40,0.636,2026-05-04 11:41:47.345000-07:00
2025-11-16,PS5 Pro Launch Global,765-432-9002,1701377160,1701.38,3144531,40954,AG_HERO_A_CAROUSEL,gta 6 preorder,9.3,3276,9731.90,0.821,2026-05-04 11:41:47.345000-07:00
2025-11-17,PS5 Pro Launch Global,765-432-9002,1440838000,1440.84,2734375,30282,AG_HERO_A_CAROUSEL,gta 6 preorder,6.3,2423,7195.91,0.429,2026-05-04 11:41:47.345000-07:00
2025-11-18,PS5 Pro Launch Global,765-432-9002,1504710200,1504.71,2734375,34729,AG_HERO_A_CAROUSEL,gta 6 preorder,9.5,2778,8252.65,0.561,2026-05-04 11:41:47.345000-07:00
2025-11-19,PS5 Pro Launch Global,765-432-9002,1668104200,1668.10,2734375,35109,AG_HERO_A_CAROUSEL,gta 6 preorder,6.7,2809,8342.95,0.585,2026-05-04 11:41:47.345000-07:00
2025-11-20,PS5 Pro Launch Global,765-432-9002,1235852800,1235.85,2734375,23419,AG_HERO_A_CAROUSEL,gta 6 preorder,8.3,1874,5565.06,0.837,2026-05-04 11:41:47.345000-07:00
2025-11-21,PS5 Pro Launch Global,765-432-9002,1045721600,1045.72,2734375,19523,AG_HERO_A_CAROUSEL,gta 6 preorder,7.6,1562,4639.25,0.380,2026-05-04 11:41:47.345000-07:00
2025-11-22,PS5 Pro Launch Global,765-432-9002,1631340550,1631.34,3144531,23285,AG_HERO_A_CAROUSEL,gta 6 preorder,10.0,1863,5533.22,0.702,2026-05-04 11:41:47.345000-07:00
2025-11-25,PS5 Pro Launch Global,765-432-9002,1479458400,1479.46,2734375,34466,AG_HERO_A_CAROUSEL,gta 6 preorder,7.0,2757,8190.16,0.403,2026-05-04 11:41:47.345000-07:00
2025-11-26,PS5 Pro Launch Global,765-432-9002,1072458800,1072.46,2734375,24500,AG_HERO_A_CAROUSEL,gta 6 preorder,9.5,1960,5821.94,0.673,2026-05-04 11:41:47.345000-07:00
2025-11-27,PS5 Pro Launch Global,765-432-9002,1893885000,1893.89,2734375,26421,AG_HERO_A_CAROUSEL,gta 6 preorder,8.3,2114,6278.42,0.850,2026-05-04 11:41:47.345000-07:00
2025-11-28,PS5 Pro Launch Global,765-432-9002,2863554120,2863.55,5742188,51772,AG_HERO_A_CAROUSEL,gta 6 preorder,9.6,4142,12302.58,0.401,2026-05-04 11:41:47.345000-07:00
2025-11-29,PS5 Pro Launch Global,765-432-9002,4272404243,4272.40,6603516,50218,AG_HERO_A_CAROUSEL,gta 6 preorder,7.1,4017,11933.31,0.390,2026-05-04 11:41:47.345000-07:00
2025-11-30,PS5 Pro Launch Global,765-432-9002,4649064336,4649.06,6603516,43615,AG_HERO_A_CAROUSEL,gta 6 preorder,9.8,3489,10364.23,0.493,2026-05-04 11:41:47.345000-07:00
2025-12-01,PS5 Pro Launch Global,765-432-9002,3936607080,3936.61,5742188,42331,AG_HERO_A_CAROUSEL,gta 6 preorder,9.6,3386,10059.12,0.549,2026-05-04 11:41:47.345000-07:00
2025-12-02,PS5 Pro Launch Global,765-432-9002,3518615520,3518.62,5742188,54840,AG_HERO_A_CAROUSEL,gta 6 preorder,10.0,4387,13031.63,0.680,2026-05-04 11:41:47.345000-07:00
2025-12-03,PS5 Pro Launch Global,765-432-9002,2208492720,2208.49,5742188,53830,AG_HERO_A_CAROUSEL,gta 6 preorder,9.2,4306,12791.63,0.446,2026-05-04 11:41:47.345000-07:00
2025-12-04,PS5 Pro Launch Global,765-432-9002,2716945140,2716.95,5742188,38036,AG_HERO_A_CAROUSEL,gta 6 preorder,7.9,3043,9038.50,0.647,2026-05-04 11:41:47.345000-07:00
2025-12-05,PS5 Pro Launch Global,765-432-9002,2745019200,2745.02,5742188,53090,AG_HERO_A_CAROUSEL,gta 6 preorder,6.1,4247,12615.78,0.589,2026-05-04 11:41:47.345000-07:00
2025-12-06,PS5 Pro Launch Global,765-432-9002,3239278835,3239.28,6603516,71318,AG_HERO_A_CAROUSEL,gta 6 preorder,10.0,5705,16947.30,0.827,2026-05-04 11:41:47.345000-07:00
2025-12-07,PS5 Pro Launch Global,765-432-9002,3110138159,3110.14,6603516,54540,AG_HERO_A_CAROUSEL,gta 6 preorder,8.9,4363,12960.34,0.513,2026-05-04 11:41:47.345000-07:00
2025-12-08,PS5 Pro Launch Global,765-432-9002,3381364560,3381.36,5742188,40829,AG_HERO_A_CAROUSEL,gta 6 preorder,8.1,3266,9702.20,0.619,2026-05-04 11:41:47.345000-07:00
2025-12-09,PS5 Pro Launch Global,765-432-9002,2975850360,2975.85,5742188,47159,AG_HERO_A_CAROUSEL,gta 6 preorder,9.7,3773,11206.40,0.410,2026-05-04 11:41:47.345000-07:00
2025-12-10,PS5 Pro Launch Global,765-432-9002,3677701860,3677.70,5742188,45432,AG_HERO_A_CAROUSEL,gta 6 preorder,9.8,3635,10796.01,0.726,2026-05-04 11:41:47.345000-07:00
2025-12-11,PS5 Pro Launch Global,765-432-9002,3387603240,3387.60,5742188,58180,AG_HERO_A_CAROUSEL,gta 6 preorder,9.3,4654,13825.32,0.856,2026-05-04 11:41:47.345000-07:00
2025-12-12,PS5 Pro Launch Global,765-432-9002,2298953580,2298.95,5742188,38202,AG_HERO_A_CAROUSEL,gta 6 preorder,7.8,3056,9077.94,0.684,2026-05-04 11:41:47.345000-07:00
2025-12-13,PS5 Pro Launch Global,765-432-9002,4501987667,4501.99,6603516,39463,AG_HERO_A_CAROUSEL,gta 6 preorder,8.0,3157,9377.59,0.695,2026-05-04 11:41:47.345000-07:00
2025-12-14,PS5 Pro Launch Global,765-432-9002,2607924419,2607.92,6603516,46351,AG_HERO_A_CAROUSEL,gta 6 preorder,6.8,3708,11014.39,0.864,2026-05-04 11:41:47.345000-07:00
2025-12-15,PS5 Pro Launch Global,765-432-9002,3921010380,3921.01,5742188,39070,AG_HERO_A_CAROUSEL,gta 6 preorder,6.0,3126,9284.21,0.718,2026-05-04 11:41:47.345000-07:00
2025-11-01,PS5 Pro Launch Global,765-432-9002,2191633430,2191.63,3144531,45596,AG_HERO_A_CAROUSEL,gta 6 preorder,8.1,3648,10834.98,0.836,2026-05-04 11:41:47.345000-07:00
2025-11-03,PS5 Pro Launch Global,765-432-9002,1928049200,1928.05,2734375,29328,AG_HERO_A_CAROUSEL,gta 6 preorder,9.3,2346,6969.21,0.728,2026-05-04 11:41:47.345000-07:00
2025-11-04,PS5 Pro Launch Global,765-432-9002,1711180800,1711.18,2734375,26421,AG_HERO_A_CAROUSEL,gta 6 preorder,8.1,2114,6278.42,0.727,2026-05-04 11:41:47.345000-07:00
2025-11-05,PS5 Pro Launch Global,765-432-9002,1051663200,1051.66,2734375,26998,AG_HERO_A_CAROUSEL,gta 6 preorder,6.6,2160,6415.54,0.640,2026-05-04 11:41:47.345000-07:00
2025-11-06,PS5 Pro Launch Global,765-432-9002,1160097400,1160.10,2734375,23363,AG_HERO_A_CAROUSEL,gta 6 preorder,7.2,1869,5551.75,0.430,2026-05-04 11:41:47.345000-07:00
2025-11-08,PS5 Pro Launch Global,765-432-9002,1991772860,1991.77,3144531,37105,AG_HERO_A_CAROUSEL,gta 6 preorder,7.8,2968,8817.26,0.444,2026-05-04 11:41:47.345000-07:00
