REPORT_DATE,CAMPAIGN_NAME,ADVERTISER_ID,SPEND,IMPRESSIONS,CLICKS,PLACEMENT,VIDEO_PLAY_ACTIONS,PROFILE_VISITS,COMPLETE_PAYMENT,LOADED_AT
2025-11-18,PS5 Pro Launch Global,adv_00720002,919.67,3055556,33528,TT_SPARK,742133,6035,503,2026-05-04 11:41:51.303000-07:00
2025-11-19,PS5 Pro Launch Global,adv_00720002,955.15,3055556,30340,TT_SPARK,1320245,5461,455,2026-05-04 11:41:51.303000-07:00
2025-11-21,PS5 Pro Launch Global,adv_00720002,656.38,3055556,23100,TT_SPARK,1008334,4158,347,2026-05-04 11:41:51.303000-07:00
2025-11-22,PS5 Pro Launch Global,adv_00720002,1212.24,3513889,28943,TT_SPARK,1301825,5210,434,2026-05-04 11:41:51.303000-07:00
2025-11-23,PS5 Pro Launch Global,adv_00720002,927.70,3513889,33587,TT_SPARK,841085,6046,504,2026-05-04 11:41:51.303000-07:00
2025-11-24,PS5 Pro Launch Global,adv_00720002,910.34,3055556,39145,TT_SPARK,1212689,7046,587,2026-05-04 11:41:51.303000-07:00
2025-11-25,PS5 Pro Launch Global,adv_00720002,1098.94,3055556,25923,TT_SPARK,1368645,4666,389,2026-05-04 11:41:51.303000-07:00
2025-11-26,PS5 Pro Launch Global,adv_00720002,1022.38,3055556,23711,TT_SPARK,1460067,4268,356,2026-05-04 11:41:51.303000-07:00
2025-11-27,PS5 Pro Launch Global,adv_00720002,950.49,3055556,27830,TT_SPARK,1357889,5009,417,2026-05-04 11:41:51.303000-07:00
2025-11-28,PS5 Pro Launch Global,adv_00720002,2058.76,6416667,79485,TT_SPARK,2077973,14307,1192,2026-05-04 11:41:51.303000-07:00
2025-11-29,PS5 Pro Launch Global,adv_00720002,2547.97,7379167,55544,TT_SPARK,2240315,9998,833,2026-05-04 11:41:51.303000-07:00
2025-11-30,PS5 Pro Launch Global,adv_00720002,2922.27,7379167,69707,TT_SPARK,3337745,12547,1046,2026-05-04 11:41:51.303000-07:00
2025-12-01,PS5 Pro Launch Global,adv_00720002,2297.97,6416667,75588,TT_SPARK,2682167,13606,1134,2026-05-04 11:41:51.303000-07:00
2025-12-02,PS5 Pro Launch Global,adv_00720002,1456.82,6416667,53079,TT_SPARK,2557940,9554,796,2026-05-04 11:41:51.303000-07:00
2025-12-03,PS5 Pro Launch Global,adv_00720002,1848.97,6416667,67791,TT_SPARK,1829520,12202,1017,2026-05-04 11:41:51.303000-07:00
2025-12-04,PS5 Pro Launch Global,adv_00720002,2194.05,6416667,75563,TT_SPARK,1942453,13601,1133,2026-05-04 11:41:51.303000-07:00
2025-12-05,PS5 Pro Launch Global,adv_00720002,1568.58,6416667,62596,TT_SPARK,1507660,11267,939,2026-05-04 11:41:51.303000-07:00
2025-12-06,PS5 Pro Launch Global,adv_00720002,1918.87,7379167,58974,TT_SPARK,2467593,10615,885,2026-05-04 11:41:51.303000-07:00
2025-12-07,PS5 Pro Launch Global,adv_00720002,1749.75,7379167,59895,TT_SPARK,2798770,10781,898,2026-05-04 11:41:51.303000-07:00
2025-12-08,PS5 Pro Launch Global,adv_00720002,1801.91,6416667,45173,TT_SPARK,1976333,8131,678,2026-05-04 11:41:51.303000-07:00
2025-12-10,PS5 Pro Launch Global,adv_00720002,1372.51,6416667,66220,TT_SPARK,2388540,11920,993,2026-05-04 11:41:51.303000-07:00
2025-12-11,PS5 Pro Launch Global,adv_00720002,2160.72,6416667,52796,TT_SPARK,2456300,9503,792,2026-05-04 11:41:51.303000-07:00
2025-12-12,PS5 Pro Launch Global,adv_00720002,1735.24,6416667,50450,TT_SPARK,1846460,9081,757,2026-05-04 11:41:51.303000-07:00
2025-12-13,PS5 Pro Launch Global,adv_00720002,2338.27,7379167,74966,TT_SPARK,2974099,13494,1124,2026-05-04 11:41:51.303000-07:00
2025-12-14,PS5 Pro Launch Global,adv_00720002,2302.19,7379167,60025,TT_SPARK,3389694,10805,900,2026-05-04 11:41:51.303000-07:00
2025-12-15,PS5 Pro Launch Global,adv_00720002,2076.41,6416667,40333,TT_SPARK,2044093,7260,605,2026-05-04 11:41:51.303000-07:00
2025-11-01,PS5 Pro Launch Global,adv_00720002,1148.89,3513889,49546,TT_SPARK,1663615,8918,743,2026-05-04 11:41:51.303000-07:00
2025-11-02,PS5 Pro Launch Global,adv_00720002,848.25,3513889,37646,TT_SPARK,1045171,6776,565,2026-05-04 11:41:51.303000-07:00
2025-11-03,PS5 Pro Launch Global,adv_00720002,932.75,3055556,37283,TT_SPARK,838933,6711,559,2026-05-04 11:41:51.303000-07:00
2025-11-04,PS5 Pro Launch Global,adv_00720002,980.36,3055556,45330,TT_SPARK,1016400,8159,680,2026-05-04 11:41:51.303000-07:00
2025-11-05,PS5 Pro Launch Global,adv_00720002,694.66,3055556,42592,TT_SPARK,1212689,7667,639,2026-05-04 11:41:51.303000-07:00
2025-11-06,PS5 Pro Launch Global,adv_00720002,1165.23,3055556,35787,TT_SPARK,1137400,6442,537,2026-05-04 11:41:51.303000-07:00
2025-11-07,PS5 Pro Launch Global,adv_00720002,3869.17,9777778,122871,TT_SPARK,3458987,22117,1843,2026-05-04 11:41:51.303000-07:00
2025-11-08,PS5 Pro Launch Global,adv_00720002,1201.51,3513889,42791,TT_SPARK,1601772,7702,642,2026-05-04 11:41:51.303000-07:00
2025-11-09,PS5 Pro Launch Global,adv_00720002,893.35,3513889,30917,TT_SPARK,791609,5565,464,2026-05-04 11:41:51.303000-07:00
2025-11-10,PS5 Pro Launch Global,adv_00720002,704.93,3055556,40832,TT_SPARK,852378,7350,612,2026-05-04 11:41:51.303000-07:00
2025-11-11,PS5 Pro Launch Global,adv_00720002,735.74,3055556,23613,TT_SPARK,1059422,4250,354,2026-05-04 11:41:51.303000-07:00
2025-11-12,PS5 Pro Launch Global,adv_00720002,747.88,3055556,22293,TT_SPARK,873889,4013,334,2026-05-04 11:41:51.303000-07:00
2025-11-13,PS5 Pro Launch Global,adv_00720002,653.58,3055556,39500,TT_SPARK,1419734,7110,593,2026-05-04 11:41:51.303000-07:00
2025-11-14,PS5 Pro Launch Global,adv_00720002,935.55,3055556,40519,TT_SPARK,1029845,7293,608,2026-05-04 11:41:51.303000-07:00
2025-11-15,PS5 Pro Launch Global,adv_00720002,1387.26,3513889,34012,TT_SPARK,1406961,6122,510,2026-05-04 11:41:51.303000-07:00
2025-11-16,PS5 Pro Launch Global,adv_00720002,1307.81,3513889,25047,TT_SPARK,791609,4508,376,2026-05-04 11:41:51.303000-07:00
2025-11-17,PS5 Pro Launch Global,adv_00720002,1003.71,3055556,30908,TT_SPARK,785155,5563,464,2026-05-04 11:41:51.303000-07:00
2025-11-18,PS5 Pro Launch Global,adv_00720002,1045.72,3055556,34848,TT_SPARK,1419734,6273,523,2026-05-04 11:41:51.303000-07:00
2025-11-19,PS5 Pro Launch Global,adv_00720002,1003.71,3055556,23540,TT_SPARK,1129334,4237,353,2026-05-04 11:41:51.303000-07:00
2025-11-21,PS5 Pro Launch Global,adv_00720002,843.11,3055556,23357,TT_SPARK,822800,4204,350,2026-05-04 11:41:51.303000-07:00
2025-11-22,PS5 Pro Launch Global,adv_00720002,935.22,3513889,26020,TT_SPARK,1419330,4684,390,2026-05-04 11:41:51.303000-07:00
2025-11-23,PS5 Pro Launch Global,adv_00720002,828.92,3513889,44590,TT_SPARK,831808,8026,669,2026-05-04 11:41:51.303000-07:00
2025-11-24,PS5 Pro Launch Global,adv_00720002,760.02,3055556,33411,TT_SPARK,1462755,6014,501,2026-05-04 11:41:51.303000-07:00
2025-11-25,PS5 Pro Launch Global,adv_00720002,659.18,3055556,36293,TT_SPARK,1080934,6533,544,2026-05-04 11:41:51.303000-07:00
2025-11-26,PS5 Pro Launch Global,adv_00720002,1038.25,3055556,23956,TT_SPARK,1427800,4312,359,2026-05-04 11:41:51.303000-07:00
2025-11-27,PS5 Pro Launch Global,adv_00720002,1142.82,3055556,30008,TT_SPARK,841622,5401,450,2026-05-04 11:41:51.303000-07:00
2025-11-28,PS5 Pro Launch Global,adv_00720002,1839.16,6416667,59865,TT_SPARK,3054847,10776,898,2026-05-04 11:41:51.303000-07:00
2025-11-29,PS5 Pro Launch Global,adv_00720002,1639.27,7379167,75014,TT_SPARK,2181872,13503,1125,2026-05-04 11:41:51.303000-07:00
2025-11-30,PS5 Pro Launch Global,adv_00720002,1894.06,7379167,85575,TT_SPARK,2253302,15404,1284,2026-05-04 11:41:51.303000-07:00
2025-12-01,PS5 Pro Launch Global,adv_00720002,1868.57,6416667,56569,TT_SPARK,1869047,10182,849,2026-05-04 11:41:51.303000-07:00
2025-12-02,PS5 Pro Launch Global,adv_00720002,1872.50,6416667,63212,TT_SPARK,1914220,11378,948,2026-05-04 11:41:51.303000-07:00
2025-12-03,PS5 Pro Launch Global,adv_00720002,2072.49,6416667,70178,TT_SPARK,1823873,12632,1053,2026-05-04 11:41:51.303000-07:00
2025-12-04,PS5 Pro Launch Global,adv_00720002,2276.41,6416667,51005,TT_SPARK,2100560,9181,765,2026-05-04 11:41:51.303000-07:00
2025-12-05,PS5 Pro Launch Global,adv_00720002,1515.64,6416667,65399,TT_SPARK,2620053,11772,981,2026-05-04 11:41:51.303000-07:00
2025-12-06,PS5 Pro Launch Global,adv_00720002,1594.17,7379167,82883,TT_SPARK,2045505,14919,1243,2026-05-04 11:41:51.303000-07:00
2025-12-07,PS5 Pro Launch Global,adv_00720002,2446.50,7379167,55167,TT_SPARK,3370213,9930,828,2026-05-04 11:41:51.303000-07:00
2025-12-08,PS5 Pro Launch Global,adv_00720002,1762.69,6416667,51949,TT_SPARK,2834627,9351,779,2026-05-04 11:41:51.303000-07:00
2025-12-10,PS5 Pro Launch Global,adv_00720002,1482.31,6416667,66661,TT_SPARK,3071787,11999,1000,2026-05-04 11:41:51.303000-07:00
2025-12-11,PS5 Pro Launch Global,adv_00720002,1882.30,6416667,66323,TT_SPARK,2230433,11938,995,2026-05-04 11:41:51.303000-07:00
2025-12-12,PS5 Pro Launch Global,adv_00720002,1403.88,6416667,35358,TT_SPARK,1857753,6364,530,2026-05-04 11:41:51.303000-07:00
2025-12-13,PS5 Pro Launch Global,adv_00720002,2762.18,7379167,62227,TT_SPARK,2084467,11201,933,2026-05-04 11:41:51.303000-07:00
2025-12-14,PS5 Pro Launch Global,adv_00720002,2766.69,7379167,76000,TT_SPARK,3558530,13680,1140,2026-05-04 11:41:51.303000-07:00
2025-12-15,PS5 Pro Launch Global,adv_00720002,1623.48,6416667,51975,TT_SPARK,2162673,9356,780,2026-05-04 11:41:51.303000-07:00
2025-11-01,PS5 Pro Launch Global,adv_00720002,1265.93,3513889,40761,TT_SPARK,1292549,7337,611,2026-05-04 11:41:51.303000-07:00
2025-11-02,PS5 Pro Launch Global,adv_00720002,1294.92,3513889,52984,TT_SPARK,1654339,9537,795,2026-05-04 11:41:51.303000-07:00
2025-11-03,PS5 Pro Launch Global,adv_00720002,675.05,3055556,34276,TT_SPARK,836245,6170,514,2026-05-04 11:41:51.303000-07:00
2025-11-04,PS5 Pro Launch Global,adv_00720002,714.27,3055556,45628,TT_SPARK,1253022,8213,684,2026-05-04 11:41:51.303000-07:00
2025-11-05,PS5 Pro Launch Global,adv_00720002,945.82,3055556,46141,TT_SPARK,696422,8305,692,2026-05-04 11:41:51.303000-07:00
2025-11-06,PS5 Pro Launch Global,adv_00720002,725.47,3055556,40480,TT_SPARK,868512,7286,607,2026-05-04 11:41:51.303000-07:00
2025-11-07,PS5 Pro Launch Global,adv_00720002,3038.57,9777778,129387,TT_SPARK,2675982,23290,1941,2026-05-04 11:41:51.303000-07:00
2025-11-08,PS5 Pro Launch Global,adv_00720002,1180.03,3513889,27200,TT_SPARK,1595587,4896,408,2026-05-04 11:41:51.303000-07:00
2025-11-09,PS5 Pro Launch Global,adv_00720002,1367.93,3513889,51308,TT_SPARK,847269,9235,770,2026-05-04 11:41:51.303000-07:00
2025-11-10,PS5 Pro Launch Global,adv_00720002,915.01,3055556,28072,TT_SPARK,1134712,5053,421,2026-05-04 11:41:51.303000-07:00
2025-11-11,PS5 Pro Launch Global,adv_00720002,1051.32,3055556,38512,TT_SPARK,1255712,6932,578,2026-05-04 11:41:51.303000-07:00
2025-11-12,PS5 Pro Launch Global,adv_00720002,1120.42,3055556,36784,TT_SPARK,1019089,6621,552,2026-05-04 11:41:51.303000-07:00
2025-11-13,PS5 Pro Launch Global,adv_00720002,937.41,3055556,23479,TT_SPARK,863133,4226,352,2026-05-04 11:41:51.303000-07:00
2025-11-14,PS5 Pro Launch Global,adv_00720002,938.35,3055556,42162,TT_SPARK,1102445,7589,632,2026-05-04 11:41:51.303000-07:00
2025-11-15,PS5 Pro Launch Global,adv_00720002,1038.30,3513889,48365,TT_SPARK,1252350,8706,725,2026-05-04 11:41:51.303000-07:00
2025-11-16,PS5 Pro Launch Global,adv_00720002,1045.81,3513889,40508,TT_SPARK,1632693,7291,608,2026-05-04 11:41:51.303000-07:00
2025-11-17,PS5 Pro Launch Global,adv_00720002,1206.31,3055556,41299,TT_SPARK,1102445,7434,619,2026-05-04 11:41:51.303000-07:00
2025-11-18,PS5 Pro Launch Global,adv_00720002,887.00,3055556,36168,TT_SPARK,1322934,6510,543,2026-05-04 11:41:51.303000-07:00
2025-11-19,PS5 Pro Launch Global,adv_00720002,905.67,3055556,40541,TT_SPARK,1406289,7297,608,2026-05-04 11:41:51.303000-07:00
2025-11-21,PS5 Pro Launch Global,adv_00720002,1089.60,3055556,29260,TT_SPARK,1478889,5267,439,2026-05-04 11:41:51.303000-07:00
2025-11-22,PS5 Pro Launch Global,adv_00720002,912.67,3513889,26312,TT_SPARK,1273995,4736,395,2026-05-04 11:41:51.303000-07:00
2025-11-23,PS5 Pro Launch Global,adv_00720002,798.86,3513889,24322,TT_SPARK,881283,4378,365,2026-05-04 11:41:51.303000-07:00
2025-11-24,PS5 Pro Launch Global,adv_00720002,875.79,3055556,31915,TT_SPARK,1045978,5745,479,2026-05-04 11:41:51.303000-07:00
2025-11-25,PS5 Pro Launch Global,adv_00720002,928.08,3055556,35552,TT_SPARK,1470822,6399,533,2026-05-04 11:41:51.303000-07:00
2025-11-26,PS5 Pro Launch Global,adv_00720002,1164.30,3055556,24200,TT_SPARK,1258400,4356,363,2026-05-04 11:41:51.303000-07:00
2025-11-27,PS5 Pro Launch Global,adv_00720002,722.67,3055556,34364,TT_SPARK,1134712,6186,515,2026-05-04 11:41:51.303000-07:00
2025-11-28,PS5 Pro Launch Global,adv_00720002,1562.70,6416667,68920,TT_SPARK,1598007,12406,1034,2026-05-04 11:41:51.303000-07:00
2025-11-29,PS5 Pro Launch Global,adv_00720002,2338.27,7379167,49818,TT_SPARK,3311770,8967,747,2026-05-04 11:41:51.303000-07:00
2025-11-30,PS5 Pro Launch Global,adv_00720002,2279.64,7379167,69707,TT_SPARK,3526061,12547,1046,2026-05-04 11:41:51.303000-07:00
2025-12-01,PS5 Pro Launch Global,adv_00720002,2190.13,6416667,67786,TT_SPARK,2845920,12201,1017,2026-05-04 11:41:51.303000-07:00
2025-12-02,PS5 Pro Launch Global,adv_00720002,2203.86,6416667,46323,TT_SPARK,2044093,8338,695,2026-05-04 11:41:51.303000-07:00
2025-12-03,PS5 Pro Launch Global,adv_00720002,2133.27,6416667,62062,TT_SPARK,2365953,11171,931,2026-05-04 11:41:51.303000-07:00
2025-12-04,PS5 Pro Launch Global,adv_00720002,2194.05,6416667,55255,TT_SPARK,3060494,9946,829,2026-05-04 11:41:51.303000-07:00
2025-12-05,PS5 Pro Launch Global,adv_00720002,2119.55,6416667,44845,TT_SPARK,1434253,8072,673,2026-05-04 11:41:51.303000-07:00
2025-12-06,PS5 Pro Launch Global,adv_00720002,2730.61,7379167,80758,TT_SPARK,2642922,14536,1211,2026-05-04 11:41:51.303000-07:00
2025-12-07,PS5 Pro Launch Global,adv_00720002,2288.66,7379167,45184,TT_SPARK,2941631,8133,678,2026-05-04 11:41:51.303000-07:00
2025-12-08,PS5 Pro Launch Global,adv_00720002,1580.35,6416667,57370,TT_SPARK,2947560,10327,861,2026-05-04 11:41:51.303000-07:00
2025-12-10,PS5 Pro Launch Global,adv_00720002,1480.35,6416667,67986,TT_SPARK,2162673,12237,1020,2026-05-04 11:41:51.303000-07:00
2025-12-11,PS5 Pro Launch Global,adv_00720002,2135.23,6416667,56723,TT_SPARK,2371600,10210,851,2026-05-04 11:41:51.303000-07:00
2025-12-12,PS5 Pro Launch Global,adv_00720002,1672.50,6416667,67267,TT_SPARK,2484533,12108,1009,2026-05-04 11:41:51.303000-07:00
2025-12-13,PS5 Pro Launch Global,adv_00720002,1880.53,7379167,47528,TT_SPARK,3201378,8555,713,2026-05-04 11:41:51.303000-07:00
2025-12-14,PS5 Pro Launch Global,adv_00720002,2392.38,7379167,42598,TT_SPARK,2707859,7668,639,2026-05-04 11:41:51.303000-07:00
2025-12-15,PS5 Pro Launch Global,adv_00720002,2111.70,6416667,37422,TT_SPARK,2535353,6736,561,2026-05-04 11:41:51.303000-07:00
2025-11-01,PS5 Pro Launch Global,adv_00720002,953.47,3513889,43572,TT_SPARK,1277088,7843,654,2026-05-04 11:41:51.303000-07:00
2025-11-02,PS5 Pro Launch Global,adv_00720002,1086.62,3513889,45315,TT_SPARK,1694538,8157,680,2026-05-04 11:41:51.303000-07:00
2025-11-03,PS5 Pro Launch Global,adv_00720002,1173.64,3055556,45701,TT_SPARK,682978,8226,686,2026-05-04 11:41:51.303000-07:00
2025-11-04,PS5 Pro Launch Global,adv_00720002,827.24,3055556,39664,TT_SPARK,1468134,7140,595,2026-05-04 11:41:51.303000-07:00
2025-11-05,PS5 Pro Launch Global,adv_00720002,698.39,3055556,29578,TT_SPARK,841622,5324,444,2026-05-04 11:41:51.303000-07:00
2025-11-06,PS5 Pro Launch Global,adv_00720002,1107.34,3055556,41360,TT_SPARK,946489,7445,620,2026-05-04 11:41:51.303000-07:00
2025-11-07,PS5 Pro Launch Global,adv_00720002,2097.42,9777778,103324,TT_SPARK,3699912,18598,1550,2026-05-04 11:41:51.303000-07:00
2025-11-08,PS5 Pro Launch Global,adv_00720002,1070.51,3513889,42791,TT_SPARK,1264719,7702,642,2026-05-04 11:41:51.303000-07:00
2025-11-09,PS5 Pro Launch Global,adv_00720002,1265.93,3513889,26641,TT_SPARK,899837,4795,400,2026-05-04 11:41:51.303000-07:00
2025-11-10,PS5 Pro Launch Global,adv_00720002,681.59,3055556,22968,TT_SPARK,908845,4134,345,2026-05-04 11:41:51.303000-07:00
2025-11-11,PS5 Pro Launch Global,adv_00720002,750.68,3055556,28392,TT_SPARK,1344445,5111,426,2026-05-04 11:41:51.303000-07:00
2025-11-12,PS5 Pro Launch Global,adv_00720002,1103.61,3055556,26473,TT_SPARK,1403600,4765,397,2026-05-04 11:41:51.303000-07:00
2025-11-13,PS5 Pro Launch Global,adv_00720002,1036.38,3055556,34252,TT_SPARK,779778,6165,514,2026-05-04 11:41:51.303000-07:00
2025-11-14,PS5 Pro Launch Global,adv_00720002,715.20,3055556,39698,TT_SPARK,1075555,7146,595,2026-05-04 11:41:51.303000-07:00
2025-11-15,PS5 Pro Launch Global,adv_00720002,1060.85,3513889,35884,TT_SPARK,1589402,6459,538,2026-05-04 11:41:51.303000-07:00
2025-11-16,PS5 Pro Launch Global,adv_00720002,860.06,3513889,41436,TT_SPARK,1570849,7458,622,2026-05-04 11:41:51.303000-07:00
2025-11-17,PS5 Pro Launch Global,adv_00720002,709.60,3055556,40233,TT_SPARK,1365955,7242,603,2026-05-04 11:41:51.303000-07:00
2025-11-18,PS5 Pro Launch Global,adv_00720002,908.47,3055556,31416,TT_SPARK,838933,5655,471,2026-05-04 11:41:51.303000-07:00
2025-11-19,PS5 Pro Launch Global,adv_00720002,668.51,3055556,31648,TT_SPARK,1021778,5697,475,2026-05-04 11:41:51.303000-07:00
2025-11-21,PS5 Pro Launch Global,adv_00720002,737.61,3055556,31570,TT_SPARK,924978,5683,474,2026-05-04 11:41:51.303000-07:00
2025-11-22,PS5 Pro Launch Global,adv_00720002,1226.20,3513889,26604,TT_SPARK,946220,4789,399,2026-05-04 11:41:51.303000-07:00
2025-11-23,PS5 Pro Launch Global,adv_00720002,1151.04,3513889,44300,TT_SPARK,1570849,7974,665,2026-05-04 11:41:51.303000-07:00
2025-11-24,PS5 Pro Launch Global,adv_00720002,862.72,3055556,29421,TT_SPARK,742133,5296,441,2026-05-04 11:41:51.303000-07:00
2025-11-25,PS5 Pro Launch Global,adv_00720002,1105.48,3055556,22220,TT_SPARK,1008334,4000,333,2026-05-04 11:41:51.303000-07:00
2025-11-26,PS5 Pro Launch Global,adv_00720002,910.34,3055556,23956,TT_SPARK,672222,4312,359,2026-05-04 11:41:51.303000-07:00
2025-11-27,PS5 Pro Launch Global,adv_00720002,709.60,3055556,19602,TT_SPARK,715245,3528,294,2026-05-04 11:41:51.303000-07:00
2025-11-28,PS5 Pro Launch Global,adv_00720002,2427.38,6416667,71939,TT_SPARK,1422960,12949,1079,2026-05-04 11:41:51.303000-07:00
2025-11-29,PS5 Pro Launch Global,adv_00720002,1598.68,7379167,91047,TT_SPARK,3565023,16388,1366,2026-05-04 11:41:51.303000-07:00
2025-11-30,PS5 Pro Launch Global,adv_00720002,2498.36,7379167,51005,TT_SPARK,1805239,9181,765,2026-05-04 11:41:51.303000-07:00
2025-12-01,PS5 Pro Launch Global,adv_00720002,2227.39,6416667,71199,TT_SPARK,1598007,12816,1068,2026-05-04 11:41:51.303000-07:00
2025-12-02,PS5 Pro Launch Global,adv_00720002,2072.49,6416667,43428,TT_SPARK,2044093,7817,651,2026-05-04 11:41:51.303000-07:00
2025-12-03,PS5 Pro Launch Global,adv_00720002,2429.34,6416667,42011,TT_SPARK,2574880,7562,630,2026-05-04 11:41:51.303000-07:00
2025-12-04,PS5 Pro Launch Global,adv_00720002,1609.76,6416667,45338,TT_SPARK,1541540,8161,680,2026-05-04 11:41:51.303000-07:00
2025-12-05,PS5 Pro Launch Global,adv_00720002,1823.48,6416667,71471,TT_SPARK,2817687,12865,1072,2026-05-04 11:41:51.303000-07:00
2025-12-06,PS5 Pro Launch Global,adv_00720002,2383.36,7379167,82352,TT_SPARK,2110442,14823,1235,2026-05-04 11:41:51.303000-07:00
2025-12-07,PS5 Pro Launch Global,adv_00720002,2455.52,7379167,66200,TT_SPARK,3532555,11916,993,2026-05-04 11:41:51.303000-07:00
2025-12-08,PS5 Pro Launch Global,adv_00720002,1637.21,6416667,37946,TT_SPARK,2157027,6830,569,2026-05-04 11:41:51.303000-07:00
2025-12-10,PS5 Pro Launch Global,adv_00720002,2427.38,6416667,49886,TT_SPARK,2541000,8979,748,2026-05-04 11:41:51.303000-07:00
2025-12-11,PS5 Pro Launch Global,adv_00720002,1421.53,6416667,37525,TT_SPARK,2038447,6755,563,2026-05-04 11:41:51.303000-07:00
2025-12-12,PS5 Pro Launch Global,adv_00720002,1870.53,6416667,62524,TT_SPARK,2298193,11254,938,2026-05-04 11:41:51.303000-07:00
2025-12-13,PS5 Pro Launch Global,adv_00720002,2241.31,7379167,55367,TT_SPARK,1662379,9966,831,2026-05-04 11:41:51.303000-07:00
2025-12-14,PS5 Pro Launch Global,adv_00720002,1763.28,7379167,75515,TT_SPARK,2149404,13593,1133,2026-05-04 11:41:51.303000-07:00
2025-12-15,PS5 Pro Launch Global,adv_00720002,2505.81,6416667,66528,TT_SPARK,1598007,11975,998,2026-05-04 11:41:51.303000-07:00
2025-11-01,PS5 Pro Launch Global,adv_00720002,1323.91,3513889,54114,TT_SPARK,1570849,9741,812,2026-05-04 11:41:51.303000-07:00
2025-11-02,PS5 Pro Launch Global,adv_00720002,1220.83,3513889,31023,TT_SPARK,1032802,5584,465,2026-05-04 11:41:51.303000-07:00
2025-11-03,PS5 Pro Launch Global,adv_00720002,662.91,3055556,32472,TT_SPARK,777089,5845,487,2026-05-04 11:41:51.303000-07:00
2025-11-04,PS5 Pro Launch Global,adv_00720002,864.59,3055556,25051,TT_SPARK,1320245,4509,376,2026-05-04 11:41:51.303000-07:00
2025-11-05,PS5 Pro Launch Global,adv_00720002,988.77,3055556,47324,TT_SPARK,1008334,8518,710,2026-05-04 11:41:51.303000-07:00
2025-11-06,PS5 Pro Launch Global,adv_00720002,1014.91,3055556,45467,TT_SPARK,919600,8184,682,2026-05-04 11:41:51.303000-07:00
2025-11-07,PS5 Pro Launch Global,adv_00720002,3606.25,9777778,128457,TT_SPARK,3846187,23122,1927,2026-05-04 11:41:51.303000-07:00
2025-11-08,PS5 Pro Launch Global,adv_00720002,847.17,3513889,32839,TT_SPARK,1345117,5911,493,2026-05-04 11:41:51.303000-07:00
2025-11-09,PS5 Pro Launch Global,adv_00720002,821.40,3513889,48019,TT_SPARK,1326563,8643,720,2026-05-04 11:41:51.303000-07:00
2025-11-10,PS5 Pro Launch Global,adv_00720002,935.55,3055556,33743,TT_SPARK,790533,6074,506,2026-05-04 11:41:51.303000-07:00
